control,n_events,baseline_acc,acc_delta_from_baseline,acc,mean_conf,pred_flip_rate,mean_abs_logit_diff,max_abs_logit_diff,delta_base_pred_logit_mean
identity,2560,0.7574218511581421,0.0,0.7574218511581421,0.7632830142974854,0.0,0.0,0.0,0.0
reverse,2560,0.7574218511581421,0.0,0.7574218511581421,0.763290524482727,0.0,0.00012297864304855466,1.6823511123657227,4.571676254272461e-05
particle0_to_end,2560,0.7574218511581421,0.0,0.7574218511581421,0.7632829546928406,0.0,2.1897540136706084e-07,7.62939453125e-06,0.0
particle0_to_middle,2560,0.7574218511581421,0.0,0.7574218511581421,0.7632829546928406,0.0,1.9732287626084144e-07,7.62939453125e-06,0.0
sort_pt_desc,2560,0.7574218511581421,0.0,0.7574218511581421,0.7632830142974854,0.0,0.0,0.0,0.0
sort_pt_asc,2560,0.7574218511581421,0.0,0.7574218511581421,0.763290524482727,0.0,0.0001231690839631483,1.6823511123657227,4.571676254272461e-05
random_shuffle_r0,2560,0.7574218511581421,0.0,0.7574218511581421,0.7632828950881958,0.0,8.972622254077578e-07,0.005381584167480469,2.980232238769531e-07
random_shuffle_r1,2560,0.7574218511581421,0.0,0.7574218511581421,0.7632830142974854,0.0,2.2708219660216855e-07,7.62939453125e-06,0.0
random_shuffle_r2,2560,0.7574218511581421,0.0,0.7574218511581421,0.7632829546928406,0.0,2.234765332786992e-07,7.62939453125e-06,0.0
