control,class_id,class_label,n,acc,acc_delta_from_baseline,pred_flip_rate,mean_abs_logit_diff,delta_base_pred_logit_mean
sort_pt_asc,9,label_Tbl,256,0.96875,0.0,0.0,2.3844768293201923e-07,0.0
random_shuffle_r0,0,label_QCD,256,0.69921875,0.0,0.0,2.3702595797203685e-07,0.0
random_shuffle_r0,1,label_Hbb,256,0.6484375,0.0,0.0,2.394139357875247e-07,-2.9802322387695312e-08
random_shuffle_r0,2,label_Hcc,256,0.58203125,0.0,0.0,2.053129719570279e-07,-5.960464477539063e-08
random_shuffle_r0,3,label_Hgg,256,0.69140625,0.0,0.0,2.0580482384957577e-07,-1.4901161193847656e-08
random_shuffle_r0,4,label_H4q,256,0.78125,0.0,0.0,2.2385211195796728e-07,5.960464477539063e-08
random_shuffle_r0,5,label_Hqql,256,0.95703125,0.0,0.0,2.533779479563236e-07,0.0
random_shuffle_r0,6,label_Zqq,256,0.609375,0.0,0.0,6.885794391564559e-06,3.248453140258789e-06
random_shuffle_r0,7,label_Wqq,256,0.73046875,0.0,0.0,2.032000310236981e-07,2.9802322387695312e-08
random_shuffle_r0,8,label_Tbqq,256,0.90625,0.0,0.0,2.376560530592542e-07,1.1920928955078125e-07
random_shuffle_r0,9,label_Tbl,256,0.96875,0.0,0.0,2.811837589433708e-07,0.0
random_shuffle_r1,0,label_QCD,256,0.69921875,0.0,0.0,2.3344037458628009e-07,1.1920928955078125e-07
random_shuffle_r1,1,label_Hbb,256,0.6484375,0.0,0.0,2.4438631385237386e-07,1.4901161193847656e-08
random_shuffle_r1,2,label_Hcc,256,0.58203125,0.0,0.0,2.0929583399720286e-07,0.0
random_shuffle_r1,3,label_Hgg,256,0.69140625,0.0,0.0,1.9663711725570465e-07,-2.9802322387695312e-08
random_shuffle_r1,4,label_H4q,256,0.78125,0.0,0.0,2.0816514734178782e-07,1.1920928955078125e-07
random_shuffle_r1,5,label_Hqql,256,0.95703125,0.0,0.0,2.3494939682677796e-07,0.0
random_shuffle_r1,6,label_Zqq,256,0.609375,0.0,0.0,2.0692532132216002e-07,-1.4901161193847656e-08
random_shuffle_r1,7,label_Wqq,256,0.73046875,0.0,0.0,1.8625578945830057e-07,2.9802322387695312e-08
random_shuffle_r1,8,label_Tbqq,256,0.90625,0.0,0.0,2.5390764335497806e-07,0.0
random_shuffle_r1,9,label_Tbl,256,0.96875,0.0,0.0,2.968590706586838e-07,0.0
random_shuffle_r2,0,label_QCD,256,0.69921875,0.0,0.0,2.1330488664261793e-07,0.0
random_shuffle_r2,1,label_Hbb,256,0.6484375,0.0,0.0,2.2323948201119492e-07,0.0
random_shuffle_r2,2,label_Hcc,256,0.58203125,0.0,0.0,1.9672151552185824e-07,0.0
random_shuffle_r2,3,label_Hgg,256,0.69140625,0.0,0.0,1.995853438074846e-07,-1.4901161193847656e-08
random_shuffle_r2,4,label_H4q,256,0.78125,0.0,0.0,2.0914448839448596e-07,0.0
random_shuffle_r2,5,label_Hqql,256,0.95703125,0.0,0.0,2.4735635406614165e-07,0.0
random_shuffle_r2,6,label_Zqq,256,0.609375,0.0,0.0,2.10195139516145e-07,-2.9802322387695312e-08
random_shuffle_r2,7,label_Wqq,256,0.73046875,0.0,0.0,1.9195722700260376e-07,0.0
random_shuffle_r2,8,label_Tbqq,256,0.90625,0.0,0.0,2.4605250814602186e-07,0.0
random_shuffle_r2,9,label_Tbl,256,0.96875,0.0,0.0,2.972083166241646e-07,0.0
