control,acc,flip_rate,mean_abs_logit_diff,delta_base_pred_logit_mean
baseline,0.7574218511581421,0.0,0.0,0.0
remove_particle0,0.563281238079071,0.3160156309604645,2.4905834197998047,-3.564497947692871
keep_only_particle0,0.20273438096046448,0.794140636920929,32.81978988647461,-26.510637283325195
remove_top1,0.563281238079071,0.3160156309604645,2.4905834197998047,-3.564497947692871
keep_top1,0.20273438096046448,0.794140636920929,32.81978988647461,-26.510637283325195
random_remove1,0.744921863079071,0.06093750149011612,0.4545328915119171,-0.21991848945617676
remove_top2,0.4566406309604645,0.4664062559604645,3.5341458320617676,-5.553091526031494
keep_top2,0.24296875298023224,0.7476562261581421,18.97852897644043,-16.797685623168945
random_remove2,0.719531238079071,0.09335937350988388,0.7154276371002197,-0.38206976652145386
remove_top4,0.3492187559604645,0.5921875238418579,5.024535655975342,-8.26481819152832
keep_top4,0.29218751192092896,0.700390636920929,12.585890769958496,-12.241983413696289
random_remove4,0.6871093511581421,0.17265625298023224,1.2816575765609741,-0.9011123180389404
remove_top8,0.2691406309604645,0.684374988079071,6.871470928192139,-11.223994255065918
keep_top8,0.3773437440395355,0.60546875,7.001746654510498,-6.429558277130127
random_remove8,0.5855468511581421,0.3089843690395355,2.4351694583892822,-2.5121607780456543
remove_top16,0.19804687798023224,0.787109375,9.175359725952148,-14.772403717041016
keep_top16,0.5390625,0.40507811307907104,2.8349366188049316,-1.7015856504440308
random_remove16,0.3792968690395355,0.56640625,5.197229385375977,-6.9017558097839355
