layer,neuron,n,mean_effect,mean_abs_effect,sign_consistency,examples
23,3544,1,-1.372615098953247,1.372615098953247,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": -1.372615098953247}]"
23,756,1,-1.254164695739746,1.254164695739746,1.0,"[{""suite"": ""text"", ""token"": "" Exercise"", ""effect"": -1.254164695739746}]"
23,3467,2,-0.3722970187664032,0.3722970187664032,1.0,"[{""suite"": ""math"", ""token"": "" To"", ""effect"": -0.5113040208816528}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.23329001665115356}]"
23,655,3,-0.37136255701382953,0.37136255701382953,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.30993685126304626}, {""suite"": ""math"", ""token"": "" The"", ""effect"": -0.39185771346092224}, {""suite"": ""text"", ""token"": "" The"", ""effect"": -0.41229310631752014}]"
20,764,2,0.3569585531949997,0.3569585531949997,1.0,"[{""suite"": ""math"", ""token"": "" To"", ""effect"": 0.41965654492378235}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.29426056146621704}]"
21,4024,1,0.3417850732803345,0.3417850732803345,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.3417850732803345}]"
23,1121,6,-0.2875717294712861,0.30992785344521206,0.6666666666666666,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.11545917391777039}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.034085217863321304}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.03298315405845642}, {""suite"": ""text"", ""token"": "" The"", ""effect"": -0.008068691939115524}]"
23,4392,7,-0.30526239637817654,0.30526239637817654,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.43099331855773926}, {""suite"": ""code"", ""token"": "" def"", ""effect"": -0.042716339230537415}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.031210720539093018}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.06092899665236473}]"
23,4449,2,-0.2677730480208993,0.2677730480208993,1.0,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.015740009024739265}, {""suite"": ""code"", ""token"": "" def"", ""effect"": -0.5198060870170593}]"
23,170,1,-0.24581824243068695,0.24581824243068695,1.0,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.24581824243068695}]"
23,2539,9,-0.08674655409736766,0.24546510591689083,0.6666666666666666,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.1954990178346634}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.11960986256599426}, {""suite"": ""code"", ""token"": "" def"", ""effect"": 0.04285162687301636}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.010721647180616856}]"
20,3366,8,0.24283872544765472,0.24283872544765472,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.49799036979675293}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.1926271915435791}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.12808644771575928}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.2893463671207428}]"
23,3935,1,-0.2370748519897461,0.2370748519897461,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": -0.2370748519897461}]"
20,718,6,0.22068585455417633,0.22068585455417633,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.25990819931030273}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.08660285174846649}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.19866517186164856}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.2077261358499527}]"
22,1222,9,0.08594606320063274,0.1927303390370475,0.6666666666666666,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.19244994223117828}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.08620892465114594}, {""suite"": ""code"", ""token"": "" def"", ""effect"": 0.06707213073968887}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.18276676535606384}]"
19,689,3,0.1804890235265096,0.1804890235265096,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.07785026729106903}, {""suite"": ""math"", ""token"": "" The"", ""effect"": 0.312237411737442}, {""suite"": ""text"", ""token"": "" The"", ""effect"": 0.15137939155101776}]"
23,4144,9,-0.15466905312819612,0.17656440194696188,0.7777777777777778,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.12111859768629074}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.08645526319742203}, {""suite"": ""code"", ""token"": "" def"", ""effect"": 0.01207380648702383}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.12260636687278748}]"
23,4297,4,-0.1749077441636473,0.1749077441636473,1.0,"[{""suite"": ""math"", ""token"": "" To"", ""effect"": -0.4019705355167389}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.2631882131099701}, {""suite"": ""math"", ""token"": "" The"", ""effect"": -0.008183526806533337}, {""suite"": ""text"", ""token"": "" Photos"", ""effect"": -0.026288701221346855}]"
23,2728,1,-0.16383211314678192,0.16383211314678192,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": -0.16383211314678192}]"
