test,n,success_to_Hqql_rate,flip_rate,mean_delta_margin
3A_real_hqql_hadron,150,0.62,0.6666666666666666,1.9643530599276224
3A_control_qcd_hadron,150,0.5333333333333333,0.82,2.035958711703618
