pred_label,n_pred,super_score_mean,super_score_p90,acc_within_pred
label_QCD,939,3.571013939139434,4.075901031494141,0.7784877529286475
label_Hbb,954,3.3855484301689036,3.8194100856781006,0.7253668763102725
label_Hcc,947,3.3534938417996627,3.7345945835113525,0.665258711721225
label_Hgg,1059,3.3763497632218487,3.8375797271728516,0.663833805476865
label_H4q,1118,3.379375622609434,3.806410551071167,0.7173524150268337
label_Hqql,1025,4.015178940935833,4.742032051086426,0.944390243902439
label_Zqq,977,3.5127841223225746,3.967357873916626,0.6530194472876152
label_Wqq,1082,3.5633537114878457,4.069524765014648,0.6977818853974121
label_Tbqq,1121,3.3180797225550602,3.716562509536743,0.8465655664585192
label_Tbl,1018,3.9274922555462553,4.5747151374816895,0.9607072691552063
