module,head,pair_role,n_total,A_Hqql_correct_n,A_Hqql_correct_mean,A_Hqql_correct_freq,B_Hqql_to_Tbl_n,B_Hqql_to_Tbl_mean,B_Hqql_to_Tbl_freq,C_Tbl_correct_n,C_Tbl_correct_mean,C_Tbl_correct_freq,D_Tbl_to_Hqql_n,D_Tbl_to_Hqql_mean,D_Tbl_to_Hqql_freq,trigger_score,loss_score,tbl_like_score,anomaly_score,freq_trigger_score
mod.blocks.5.attn,3,charged_hadron<-charged_hadron,13510,10223,0.31521774034910355,2.0446,2905,0.3838018187890775,1.4525,228,0.3643341238953565,0.0456,154,0.2897657266297898,0.077,0.09961837393406214,-0.14022700677837072,0.5291953149580053,0.0019393401095569274,-0.5921000000000001
mod.blocks.0.attn,1,photon<-photon,21511,7853,0.1975696171427189,1.5706,3819,0.24616247129537072,1.9095,6413,0.2389847646376913,1.2826,3426,0.16876723576865554,1.713,0.09278805500448867,-0.07631993673215495,0.45634140807567153,0.0006660054401588422,0.3389
mod.blocks.3.attn,1,charged_hadron<-charged_hadron,15892,6862,0.3505714513965144,1.3724,2902,0.4144644471877694,1.451,4062,0.4032190419396029,0.8124,2066,0.3300695336439141,1.033,0.09270873689311103,-0.08768674742391838,0.5850708298543639,0.0010425473164086807,0.0786
mod.blocks.1.attn,4,charged_hadron<-charged_hadron,32379,15004,0.4928970403713056,3.0008,4283,0.5353456751719385,2.1415,7881,0.4907614523789526,1.5762,5211,0.45224266751351044,2.6055,0.09090375142555543,-0.1273798633097393,1.050965650269527,0.004052873106275178,-0.8592999999999997
mod.blocks.1.attn,1,photon<-photon,21734,7267,0.25109494104827634,1.4534,4152,0.290790469446695,2.076,7602,0.2823569292309911,1.5204,2713,0.21630295504734517,1.3565,0.08240791695511715,-0.05769348097426169,0.5861729850835375,0.0006949904817333692,0.6226
mod.blocks.7.attn,1,photon<-photon,6480,1446,0.5507653071384048,0.2892,983,0.7085417463905571,0.4915,3438,0.7238076101682989,0.6876,613,0.6311768303833428,0.3065,0.07754711989243288,-0.04562894623172246,0.34074509630419875,0.0011838237686340879,0.20229999999999998
mod.blocks.3.attn,0,charged_hadron<-charged_hadron,22862,11268,0.5345924315001468,2.2536,3511,0.5785611397017784,1.7555,5427,0.5907796996556222,1.0854,2656,0.4808915031580142,1.328,0.07718706724796422,-0.0990878808031969,0.9942143987474992,0.0009431148088306239,-0.4981
mod.blocks.3.attn,1,photon<-photon,13436,5584,0.3771361835743901,1.1168,2805,0.42941704715424467,1.4025,3697,0.4890463305065398,0.7394,1350,0.38827935070351316,0.675,0.07332391117074603,-0.05838726844598158,0.5186273387322343,0.0043722522756989325,0.28570000000000007
mod.blocks.6.attn,3,charged_hadron<-charged_hadron,15546,11941,0.4680413398565674,2.3882,3153,0.511418384306967,1.5765,250,0.5446906825304031,0.05,202,0.44292860227351144,0.101,0.06838391057605495,-0.10359305755644428,0.7537973047106863,0.0022752898663712887,-0.8116999999999999
mod.blocks.0.attn,5,charged_hadron<-charged_hadron,45688,18743,0.5186153887257037,3.7486,6722,0.5388618111654748,3.361,13329,0.549262532108418,2.6658,6894,0.49543685941141796,3.447,0.06804822582007083,-0.07589573915772614,1.776157724237929,0.0007077506074169388,-0.38759999999999994
mod.blocks.1.attn,0,charged_hadron<-charged_hadron,20748,9521,0.4758421643502621,1.9042,3167,0.5177820238088033,1.5835,5605,0.5574276963320297,1.121,2455,0.4430410353569295,1.2275,0.06641176745260004,-0.07986188038095421,0.7571289122607111,0.0026329391841144445,-0.3207
mod.blocks.5.attn,5,charged_hadron<-charged_hadron,19462,8551,0.5850621954612099,1.7102,2617,0.6356018956638175,1.3085,5186,0.6357676747437844,1.0372,3108,0.6001650001637954,1.554,0.06613119771511214,-0.08643299528649964,0.8314681585499686,1.0963169114316712e-05,-0.40169999999999995
mod.blocks.6.attn,3,charged_hadron<-neutral_hadron,1512,535,0.4394772856034965,0.107,947,0.5777788210695624,0.4735,27,0.5087062021096548,0.0054,3,0.5250217020511627,0.0015,0.06548577704318216,-0.014798264294869043,0.24087238669892153,0.004523274124997184,0.3665
mod.blocks.6.attn,5,charged_hadron<-charged_hadron,27708,12286,0.49539388577955157,2.4572,4062,0.527347195961392,2.031,7207,0.5072985478619092,1.4414,4153,0.4459569888633904,2.0765,0.06489717297931795,-0.07851567377881834,1.0303233507075376,0.0013011005837136101,-0.4261999999999997
mod.blocks.5.attn,1,charged_hadron<-electron,8002,3588,0.46956236105217053,0.7176,1731,0.5440143991728728,0.8655,2099,0.510526439777552,0.4198,584,0.476343654631956,0.292,0.06443823899346778,-0.05342678255541592,0.44186063362747124,0.0021579051309192254,0.14790000000000003
mod.blocks.5.attn,3,photon<-charged_hadron,6064,4144,0.3179353025389483,0.8288,1734,0.39179191725476803,0.867,147,0.3761680712099789,0.0294,39,0.3444005571878873,0.0195,0.0640336849586157,-0.06121236227647139,0.3261377177390517,0.0010004524354739399,0.03820000000000001
mod.cls_blocks.1.attn,3,CLS<-photon,38975,12215,0.06761949327399398,2.443,6042,0.08804600951945674,3.021,14694,0.09639581240561923,2.9388,6024,0.08271096880914311,3.012,0.061708505577542976,-0.04990197918766551,0.24076224023918188,0.0005152538579721427,0.5779999999999998
mod.blocks.2.attn,0,charged_hadron<-charged_hadron,18488,9812,0.5356442543119496,1.9624,2796,0.5797575354117778,1.398,3783,0.5738385409006453,0.7566,2097,0.4725021517057901,1.0485,0.06167036697755975,-0.08656790283030276,0.8022262801791021,0.0003650265636396985,-0.5644
mod.blocks.0.attn,7,photon<-neutral_hadron,6048,1868,0.28618384807169184,0.3736,1380,0.3747054392012997,0.69,1370,0.4094668278293888,0.274,1430,0.428207728292767,0.715,0.0610798978794294,-0.03307166644602148,0.23456139489551525,0.002123222067550843,0.31639999999999996
mod.blocks.5.attn,1,charged_hadron<-muon,9616,4192,0.4944355253855349,0.8384,2066,0.5532564558773974,1.033,2507,0.5279309768801815,0.5014,851,0.5146638454407558,0.4255,0.06076202119809389,-0.04931546812437747,0.5453526991172275,0.0015388272916807093,0.19459999999999988
mod.blocks.0.attn,2,charged_hadron<-charged_hadron,38389,15535,0.5182821664514363,3.107,5230,0.541494361332566,2.615,12065,0.5299458532636214,2.413,5559,0.4457919881656501,2.7795,0.06069988961415414,-0.07212028949566995,1.38580840628437,0.0007009931649931047,-0.492
mod.blocks.5.attn,4,charged_hadron<-photon,13348,6128,0.6239684830266525,1.2256,2728,0.6678501206649539,1.364,3134,0.6174529043965912,0.6268,1358,0.5551099963760516,0.679,0.05985455373864302,-0.053781335089502114,0.8422057615969504,0.0030165028894127287,0.13840000000000008
mod.blocks.1.attn,5,charged_hadron<-charged_hadron,19782,10685,0.5616493677501652,2.137,3475,0.5960854659449283,1.7375,3637,0.6505578775711691,0.7274,1985,0.5969950387249665,0.9925,0.059832720613400926,-0.0735899418422088,0.9410526818787195,0.0032592325859710403,-0.39949999999999997
mod.blocks.6.attn,3,photon<-neutral_hadron,1327,409,0.42471281735996164,0.0818,896,0.5531580828828737,0.448,21,0.5118598015535445,0.0042,1,0.312686949968338,0.0005,0.057543478954264614,-0.010506822719774208,0.22931319109598794,0.0023764467825215553,0.3662
mod.blocks.6.attn,4,charged_hadron<-charged_hadron,38154,18416,0.6554930232219288,3.6832,5906,0.67479318369759,2.953,9059,0.6601109091204409,1.8118,4773,0.611884741632788,2.3865,0.05699337388462748,-0.07108635106395528,1.949307514632662,0.0008367923644522196,-0.7302
mod.blocks.0.attn,3,photon<-electron,15107,4495,0.5202861075572363,0.899,2356,0.5686221930351747,1.178,6289,0.9532507236440982,1.2578,1967,0.9156945010066699,0.9835,0.05693990869301148,-0.04345414084466666,0.21674453433812385,0.02190071341359928,0.2789999999999999
mod.blocks.7.attn,1,charged_hadron<-photon,4513,1116,0.5436222070300665,0.2232,671,0.712346647984047,0.3355,2217,0.7194553751315305,0.4434,509,0.6190512951734258,0.2545,0.056607049940060473,-0.03765929522092846,0.2366073224406671,0.0004024040726478594,0.11230000000000001
mod.blocks.7.attn,7,charged_hadron<-charged_hadron,6902,2889,0.41446222616607814,0.5778,1278,0.4983850244508476,0.639,1879,0.5404603299607997,0.3758,856,0.5070991281977045,0.428,0.05362666810396768,-0.048490592848939786,0.29158191040323217,0.0022563584439552462,0.06120000000000003
mod.blocks.1.attn,4,photon<-charged_hadron,15458,6060,0.49085273895129905,1.212,2565,0.532543142166054,1.2825,4987,0.45271980210896695,0.9974,1846,0.42603041992027346,0.923,0.05346794212292326,-0.05052876869628303,0.5806131462047501,0.004267989726230753,0.07050000000000001
mod.blocks.0.attn,2,neutral_hadron<-charged_hadron,18785,7561,0.611921834931489,1.5122,2959,0.6472357872089207,1.4795,5398,0.6023187857561528,1.0796,2867,0.5197648223441447,1.4335,0.05224699239446024,-0.053401758633932254,0.8911306435262282,0.0023467782332847235,-0.03269999999999995
mod.blocks.1.attn,2,charged_hadron<-charged_hadron,25457,11723,0.5072784223959611,2.3446,4100,0.5326552925604146,2.05,7412,0.5257488812766749,1.4824,2222,0.471504729666976,1.111,0.052022583837129564,-0.059498609787577546,1.0777852066171834,0.00035928936002204613,-0.2946
mod.blocks.2.attn,0,charged_hadron<-neutral_hadron,11080,2334,0.6520679335603882,0.4668,967,0.7569735650100284,0.4835,5207,0.7570508473753266,1.0414,2572,0.6755969329718298,1.286,0.05072187280590107,-0.04896994876069208,0.3659593526587271,3.9199063027912835e-06,0.016699999999999993
mod.blocks.0.attn,0,charged_hadron<-charged_hadron,31360,11724,0.48291528577392356,2.3448,3654,0.5105670290643816,1.827,10924,0.6471885370355916,2.1848,5058,0.5523775713764995,2.529,0.05051973499166676,-0.06483780766746591,0.6831984670372243,0.006902082376867421,-0.5178000000000003
mod.blocks.5.attn,2,charged_hadron<-charged_hadron,40897,18627,0.6292755316678738,3.7254,5600,0.6471513769615974,2.8,11339,0.6901449837879337,2.2678,5331,0.567346594217257,2.6655,0.05005236682242624,-0.06659467405723811,1.6916417563787312,0.00215193177989095,-0.9254000000000002
