bin,n_hqql,particlenet_hqql_to_tbl_rate,surrogate_hqql_to_tbl_rate,gap_surrogate_minus_particlenet
0.00-0.10,492,0.026422764227642278,0.3475609756097561,0.3211382113821138
0.10-0.15,1442,0.024271844660194174,0.37170596393897365,0.3474341192787795
0.15-0.20,1384,0.03395953757225433,0.5628612716763006,0.5289017341040463
0.20-0.30,663,0.07239819004524888,0.7134238310708899,0.6410256410256411
0.30+,43,0.2558139534883721,0.9069767441860465,0.6511627906976744
