head_id,n_A,n_B,n_C,A_score_hqql_mean,A_score_tbl_mean,A_activation_norm_mean,A_contrib_hqql_drop_mean,A_contrib_tbl_drop_mean,B_score_hqql_mean,B_score_tbl_mean,B_activation_norm_mean,B_contrib_hqql_drop_mean,B_contrib_tbl_drop_mean,C_score_hqql_mean,C_score_tbl_mean,C_activation_norm_mean,C_contrib_hqql_drop_mean,C_contrib_tbl_drop_mean,dist_BA_projection,dist_BC_projection,B_closer_to_C_score,B_minus_A_hqql_projection,B_minus_A_tbl_projection,B_minus_A_hqql_contrib_drop,B_minus_A_tbl_contrib_drop,diagnosis
L1_ch64:80,32,11,128,1202.7846908569336,1134.764898300171,17.354629665613174,0.32496278919279575,0.5422144141048193,1306.0173672762785,1131.8454423384233,17.520509373057973,0.06869829513809898,1.098520365628329,855.919723033905,710.9832365512848,14.719726823270321,-1.4855304553639144,-0.1304882224649191,103.27394978315564,616.2084757714307,-512.934525988275,103.2326764193449,-2.9194559617476443,-0.25626449405469676,0.5563059515235098,mixed_or_unclear
L0_ch40:48,32,11,128,239.7006380558014,455.97717809677124,8.730149120092392,4.809884361922741,2.496379876509309,175.6668368252841,396.2265229658647,10.424261656674473,3.6559076525948266,2.087922074578025,373.1311301589012,670.3446029424667,10.91487867385149,4.513623990118504,2.3978640837594867,87.58121081945559,337.83556490074216,-250.25435408128658,-64.0338012305173,-59.75065513090652,-1.1539767093279143,-0.4084578019312839,lost_hqql_evidence_candidate
L1_ch0:16,32,11,128,29.32828950881958,300.5077934265137,16.04729351401329,0.14348125457763672,-0.3727385997772217,138.45408110185102,446.8839083584872,15.821677034551447,-0.5558662522922863,0.5316162759607489,161.08560346066952,414.25779950618744,19.986542358994484,-1.1415911510121077,-0.003355173859745264,182.57712182358458,39.70703694711825,142.87008487646634,109.12579159303144,146.37611493197352,-0.699347506869923,0.9043548757379706,active_tbl_like_readout_candidate
L0_ch16:24,32,11,128,183.92669916152954,122.15890210866928,8.054295048117638,0.47282859962433577,1.9072996079921722,288.3186277909712,228.78594693270597,9.680564013394443,-0.4735339419408278,2.571359645236622,273.39100509881973,214.25491815805435,9.095739502459764,-3.434722920646891,0.8489432693459094,149.2213170122874,20.832299836767646,128.38901717551974,104.39192862944168,106.62704482403669,-0.9463625415651635,0.6640600372444498,active_tbl_like_readout_candidate
L1_ch80:96,32,11,128,1190.1986484527588,1152.298261642456,15.244060516357422,2.2812426388263702,2.227443341165781,1360.994140625,1255.7554765181108,16.36107210679488,2.1711747429587622,3.349453416737643,1313.4933154582977,1334.4763960838318,16.39586253464222,-0.6714810379780829,2.632579728960991,199.68599213812044,91.94189234940912,107.74409978871132,170.7954921722412,103.4572148756547,-0.11006789586760801,1.122010075571862,active_tbl_like_readout_candidate
L1_ch96:112,32,11,128,522.3985052108765,394.4106206893921,15.763994634151459,2.2013190649449825,0.8154447693377733,558.2987809614701,402.7917563698509,16.774123018438164,2.2523809346285733,1.4341444969177246,459.8424297571182,440.3341225385666,17.361924327909946,0.752418857300654,0.715907868463546,36.86561045558479,105.37116469898497,-68.50555424340018,35.900275750593664,8.381135680458783,0.05106186968359072,0.6186997275799513,mixed_or_unclear
L1_ch16:32,32,11,128,735.3577899932861,528.2865109443665,17.36744499206543,5.340343073010445,3.436532912775874,694.2330211292614,466.4366843483665,18.346678473732688,5.057960033416748,3.1578866893594917,690.6885662078857,451.9731537103653,20.272185742855072,8.903543207794428,3.638834271579981,74.274138595306,14.891503591177871,59.382635004128126,-41.12476886402476,-61.84982659599996,-0.2823830395936966,-0.27864622341638245,mixed_or_unclear
L0_ch32:40,32,11,128,143.58037328720093,119.71670699119568,4.942238621413708,0.2046292582526803,0.17678351514041424,100.87581114335494,100.6820234818892,5.192555514248935,0.17469299110499295,-0.08419196172194048,194.66440115869045,135.02725768834352,6.704073889181018,-1.4120931467041373,-0.17438034061342478,46.75466612218579,99.87940092812379,-53.124734805938,-42.70456214384599,-19.034683509306475,-0.02993626714768735,-0.2609754768623547,lost_hqql_evidence_candidate
L1_ch112:128,32,11,128,371.4059991836548,341.5262622833252,13.883200973272324,3.6580636464059353,2.3655185885727406,406.24027598987925,329.62411360307175,13.374075196006082,3.312621756033464,2.715622295032848,345.66485580801964,387.1031797528267,15.238236010074615,2.588278637267649,2.3050696747377515,36.81151971624544,83.50583557845972,-46.69431586221428,34.834276806224466,-11.902148680253447,-0.3454418903724714,0.3501037064601076,mixed_or_unclear
L0_ch56:64,32,11,128,243.1363754272461,214.55060029029846,11.19079664349556,1.1026587672531605,-0.9607305731624365,209.36701601201838,184.0118408203125,11.552528381347656,0.5507499846545133,-0.23003848032517868,268.6862560212612,227.6892944574356,10.503972690552473,0.8438361666630954,0.2839925151783973,45.53005013483387,73.6647282727439,-28.13467813791003,-33.76935941522771,-30.538759469985962,-0.5519087825986472,0.7306920928372578,lost_hqql_evidence_candidate
