module,head,pair_role,A,B,C,D,trigger_B_minus_A,loss_A_minus_B,tbl_like_B_close_C,anomaly_B_not_A_not_C,n
mod.blocks.6.attn,4,electron<-muon,0.8812362909317016,0.0,0.8583553510327493,0.7026288658380508,-0.8812362909317016,0.8812362909317016,-0.8583553510327493,0.7564138858454788,44
mod.blocks.4.attn,4,electron<-muon,0.8428526520729065,0.0,0.7425539577379823,0.39529813826084137,-0.8428526520729065,0.8428526520729065,-0.7425539577379823,0.6258635725866912,35
mod.blocks.7.attn,5,electron<-muon,0.7831164300441742,0.0,0.0,0.7908344268798828,-0.7831164300441742,0.7831164300441742,0.0,0.0,8
mod.blocks.2.attn,4,muon<-electron,0.7802714347839356,0.0,0.7539564754281726,0.8267959256966909,-0.7802714347839356,0.7802714347839356,-0.7539564754281726,0.5882907008469793,32
mod.blocks.6.attn,5,muon<-muon,0.7784086926416918,0.0,0.654899975657463,0.5782305337488651,-0.7784086926416918,0.7784086926416918,-0.654899975657463,0.5097798338626016,29
mod.blocks.4.attn,4,muon<-electron,0.7732260723908743,0.0,0.7515175360090592,0.7596151612021707,-0.7732260723908743,0.7732260723908743,-0.7515175360090592,0.5810929527011522,51
mod.blocks.7.attn,4,muon<-electron,0.6953409711519877,0.0,0.6165232539176941,0.75921630859375,-0.6953409711519877,0.6953409711519877,-0.6165232539176941,0.42869387811691295,10
mod.cls_blocks.1.attn,3,CLS<-CLS,0.6946683694201876,0.0,0.0,0.0,-0.6946683694201876,0.6946683694201876,0.0,0.0,71
mod.blocks.7.attn,4,muon<-muon,0.691341632604599,0.0,0.5740950286388398,0.5495752692222595,-0.691341632604599,0.691341632604599,-0.5740950286388398,0.3968957943693595,12
mod.blocks.6.attn,6,muon<-muon,0.6781712472438812,0.0,0.9232898056507111,0.48280660311381024,-0.6781712472438812,0.6781712472438812,-0.9232898056507111,0.6261485990657034,7
mod.blocks.4.attn,5,electron<-muon,0.6659151613712311,0.0,0.5172692537307739,0.0,-0.6659151613712311,0.6659151613712311,-0.5172692537307739,0.3444574385705046,5
mod.blocks.5.attn,4,muon<-muon,0.6639684190352758,0.0,0.6682149432599545,0.7225742191076279,-0.6639684190352758,0.6639684190352758,-0.6682149432599545,0.44367361945205847,36
