objective,module,tensor,analysis_group,dim,n,mean_contrib,mean_abs_contrib,mean_activation,mean_grad
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,57,15,0.15511747176448504,0.20229012941320737,0.6927862641712029,0.22390379011631012
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,57,15,0.15511747176448504,0.20229012941320737,0.6927862641712029,0.22390379011631012
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,34,16,0.14254179457202554,0.20189024368301034,-0.4987458111718297,-0.2858004868030548
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,34,16,0.14254179457202554,0.20189024368301034,-0.4987458111718297,-0.2858004868030548
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,66,16,0.1265911494847387,0.1265911494847387,-0.7769517935812473,-0.1629330813884735
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,66,16,0.1265911494847387,0.1265911494847387,-0.7769517935812473,-0.1629330813884735
B_tbl_minus_hqql,mod.fc.0,input,B_Hqql_to_Tbl,10,15,0.11239651727179686,0.13308143131434919,0.41893593445420263,0.2682904601097107
B_tbl_minus_hqql,mod.fc,input,B_Hqql_to_Tbl,10,15,0.11239651727179686,0.13308143131434919,0.41893593445420263,0.2682904601097107
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,10,15,0.11239651379485925,0.13308143032093842,0.41893593246738114,0.2682904601097107
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,10,15,0.11239651379485925,0.13308143032093842,0.41893593246738114,0.2682904601097107
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,57,16,0.09069190442096442,0.11521413328591734,-0.4050485428888351,-0.22390379011631012
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,57,16,0.09069190442096442,0.11521413328591734,-0.4050485428888351,-0.22390379011631012
B_tbl_minus_hqql,mod.fc.0,input,B_Hqql_to_Tbl,57,16,0.09069189440924674,0.11521413445007056,-0.40504850004799664,-0.22390379011631012
