objective,head_id,pair_role,B_mean_A,B_mean_AxGrad,A_mean_AxGrad,C_mean_AxGrad,D_mean_AxGrad,B_minus_A_AxGrad,B_minus_C_AxGrad,abs_B_mean_AxGrad,support_score
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,photon<-CLS,0.11050193384289742,-0.987593948841095,0.21689990100761256,0.0,0.0,-1.2044938498487074,-0.987593948841095,0.987593948841095,1.5898408737654486
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,muon<-muon,0.07970382273197174,-0.8065063953399658,0.02150188386440277,-0.19355245927969614,0.0,-0.8280082792043686,-0.6129539360602697,0.8065063953399658,1.2205105349421501
B_tbl_minus_hqql,mod.cls_blocks.0.attn.h4,muon<-muon,0.07970382273197174,-0.8065064549446106,0.0,0.0,0.0,-0.8065064549446106,-0.8065064549446106,0.8065064549446106,1.209759682416916
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,CLS<-CLS,0.10448062419891357,-0.4354952573776245,0.30403271259274334,0.0,0.0,-0.7395279699703678,-0.4354952573776245,0.4354952573776245,0.8052592423628084
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,0.08814272284507751,0.44480061531066895,0.1073901392519474,0.0,0.0,0.33741047605872154,0.44480061531066895,0.44480061531066895,0.6135058533400297
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,0.10877590626478195,-0.21159374713897705,0.46707360334694387,0.0,0.0,-0.6786673504859209,-0.21159374713897705,0.21159374713897705,0.5509274223819375
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,photon<-CLS,0.10268951207399368,-0.31533903628587723,0.11398486451556285,0.0,0.0,-0.42932390080144006,-0.31533903628587723,0.31533903628587723,0.5300009866865972
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,muon<-CLS,0.0,0.0,0.7981954216957092,0.0,0.0,-0.7981954216957092,0.0,0.0,0.3990977108478546
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,muon<-muon,0.07358706742525101,-0.19750894606113434,0.010680642910301685,-0.061668636898199715,0.0,-0.20818958897143602,-0.13584030916293463,0.19750894606113434,0.30160374054685235
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,CLS<-CLS,0.09569208323955536,-0.15464375168085098,0.1384514836827293,0.0,0.0,-0.2930952353635803,-0.15464375168085098,0.15464375168085098,0.3011913693626411
B_tbl_minus_hqql,mod.cls_blocks.0.attn.h6,muon<-muon,0.07358706742525101,-0.19750897586345673,0.0,0.0,0.0,-0.19750897586345673,-0.19750897586345673,0.19750897586345673,0.2962634637951851
B_tbl_minus_hqql,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,0.049954235021557124,-0.19357742156301225,0.0,0.0,0.0,-0.19357742156301225,-0.19357742156301225,0.19357742156301225,0.29036613234451836
signed_hqql_tbl,mod.cls_blocks.0.attn.h6,neutral_hadron<-CLS,0.09677211195230484,-0.13337567448616028,0.17120614945888518,0.0,0.0,-0.30458182394504546,-0.13337567448616028,0.13337567448616028,0.28566658645868304
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,0.043383874531303136,-0.18069025195602859,-0.021180580734558727,-0.1097857238103946,0.22878416214843053,-0.15950967122146986,-0.07090452814563399,0.18069025195602859,0.26044508756676354
signed_hqql_tbl,mod.cls_blocks.0.attn.h4,CLS<-muon,0.048267909636100136,-0.12315984225521485,0.011122049036202952,-0.06708427725243382,-0.00934407712581257,-0.13428189129141782,-0.05607556500278103,0.12315984225521485,0.19030078790092375
