objective,module,module_type,tensor,analysis_group,n,mean_score,mean_abs_score,mean_act_norm,mean_grad_norm
signed_hqql_tbl,mod.fc.0,Linear,output,A_Hqql_correct,16,1.336884843185544,1.7547572553157806,12.669180631637573,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,A_Hqql_correct,16,1.336884843185544,1.7547572553157806,12.669180631637573,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,input,A_Hqql_correct,16,1.3250288295093924,1.6050627008080482,5.339250683784485,0.6110813617706299
signed_hqql_tbl,mod.fc,Sequential,input,A_Hqql_correct,16,1.3250288295093924,1.6050627008080482,5.339250683784485,0.6110813617706299
signed_hqql_tbl,mod.fc.0,Linear,output,C_Tbl_correct,16,0.7652716897428036,1.4194496609270573,12.390793204307556,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,C_Tbl_correct,16,0.7652716897428036,1.4194496609270573,12.390793204307556,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,input,C_Tbl_correct,16,0.7771276994608343,1.1422779746353626,3.8858632892370224,0.6110813617706299
signed_hqql_tbl,mod.fc,Sequential,input,C_Tbl_correct,16,0.7771276994608343,1.1422779746353626,3.8858632892370224,0.6110813617706299
signed_hqql_tbl,mod.fc.0,Linear,output,B_Hqql_to_Tbl,16,0.4023088626563549,1.6596963591873646,12.888433516025543,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,B_Hqql_to_Tbl,16,0.4023088626563549,1.6596963591873646,12.888433516025543,0.3535533845424652
B_tbl_minus_hqql,mod.fc.0,Linear,output,B_Hqql_to_Tbl,16,0.4023087937384844,1.6596963070333004,12.888433158397675,0.3535533845424652
B_tbl_minus_hqql,mod.fc,Sequential,output,B_Hqql_to_Tbl,16,0.4023087937384844,1.6596963070333004,12.888433158397675,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,input,B_Hqql_to_Tbl,16,0.4141648500226438,0.8213464841246605,4.242026284337044,0.6110813617706299
signed_hqql_tbl,mod.fc,Sequential,input,B_Hqql_to_Tbl,16,0.4141648500226438,0.8213464841246605,4.242026284337044,0.6110813617706299
B_tbl_minus_hqql,mod.fc.0,Linear,input,B_Hqql_to_Tbl,16,0.41416480322368443,0.8213464543223381,4.242026120424271,0.6110813617706299
B_tbl_minus_hqql,mod.fc,Sequential,input,B_Hqql_to_Tbl,16,0.41416480322368443,0.8213464543223381,4.242026120424271,0.6110813617706299
signed_hqql_tbl,mod.fc.0,Linear,output,D_Tbl_to_Hqql,16,0.2687441147863865,1.4424304999411106,11.763333916664124,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,D_Tbl_to_Hqql,16,0.2687441147863865,1.4424304999411106,11.763333916664124,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,input,D_Tbl_to_Hqql,16,0.2568881281185895,0.6410575695335865,4.110065579414368,0.6110813617706299
signed_hqql_tbl,mod.fc,Sequential,input,D_Tbl_to_Hqql,16,0.2568881281185895,0.6410575695335865,4.110065579414368,0.6110813617706299
