objective,module,head,head_id,pair_role,analysis_group,mean_A,mean_write_dot_grad,mean_abs_write_dot_grad,mean_context_grad_norm,mean_value_norm,n_links
signed_hqql_tbl,mod.cls_blocks.1.attn,6,mod.cls_blocks.1.attn.h6,charged_hadron<-neutral_hadron,B_Hqql_to_Tbl,0.01695625529420085,-9.56572490040122e-05,0.00018981409510427223,0.003460273828084876,0.3892062757073379,2.5625
signed_hqql_tbl,mod.blocks.1.attn,3,mod.blocks.1.attn.h3,charged_hadron<-charged_hadron,A_Hqql_correct,0.021523305286838934,-8.7962365758521e-06,0.00018968876171532548,7.1892046803062276e-06,0.011973804349392693,591.8125
signed_hqql_tbl,mod.blocks.2.attn,4,mod.blocks.2.attn.h4,muon<-neutral_hadron,A_Hqql_correct,0.03519716113805771,0.0001893084408948198,0.0001893084408948198,0.0005906524020247161,0.7291300892829895,0.5
signed_hqql_tbl,mod.cls_blocks.1.attn,4,mod.cls_blocks.1.attn.h4,neutral_hadron<-neutral_hadron,C_Tbl_correct,0.014682207256555557,3.7732547543083245e-05,0.00018918076798749657,0.0076278791977809025,0.5111622626964862,0.8125
signed_hqql_tbl,mod.blocks.2.attn,0,mod.blocks.2.attn.h0,photon<-muon,A_Hqql_correct,0.03265255121957688,-2.778468964000543e-05,0.0001884965625192438,0.00024330469646624157,0.4525207792009626,1.3125
signed_hqql_tbl,mod.blocks.1.attn,1,mod.blocks.1.attn.h1,electron<-charged_hadron,A_Hqql_correct,0.024514308606071032,2.26572604218348e-05,0.00018795406788416291,0.00015861381798040592,0.1873767732203692,5.4375
B_tbl_minus_hqql,mod.cls_blocks.1.attn,2,mod.cls_blocks.1.attn.h2,neutral_hadron<-photon,B_Hqql_to_Tbl,0.010901638663977198,8.822648102159864e-05,0.0001879166840991509,0.0013176948300697518,0.08221764609498798,9.9375
signed_hqql_tbl,mod.blocks.3.attn,7,mod.blocks.3.attn.h7,photon<-muon,A_Hqql_correct,0.06656032516842797,4.182049139801945e-05,0.00018788082525134087,0.00012640761477606638,0.30632741110665457,1.3125
signed_hqql_tbl,mod.cls_blocks.1.attn,4,mod.cls_blocks.1.attn.h4,neutral_hadron<-photon,C_Tbl_correct,0.015432981115121107,0.00015943944051217002,0.0001877396242119945,0.0015255758395561806,0.08209878481351413,4.0625
signed_hqql_tbl,mod.blocks.0.attn,1,mod.blocks.0.attn.h1,muon<-neutral_hadron,A_Hqql_correct,0.017254414036870003,9.452569065615535e-05,0.00018768140580505133,0.0005235141725279391,1.3261429071426392,0.5
B_tbl_minus_hqql,mod.blocks.1.attn,7,mod.blocks.1.attn.h7,muon<-charged_hadron,B_Hqql_to_Tbl,0.024452248345250668,8.984019412942554e-05,0.00018748440577284148,0.00018973440012854078,0.21742851837821628,1.4375
signed_hqql_tbl,mod.blocks.1.attn,7,mod.blocks.1.attn.h7,muon<-charged_hadron,B_Hqql_to_Tbl,0.024452248345250668,8.984017388328262e-05,0.00018748436528055564,0.00018973444062082663,0.21742851837821628,1.4375
signed_hqql_tbl,mod.blocks.6.attn,5,mod.blocks.6.attn.h5,charged_hadron<-muon,A_Hqql_correct,0.054234904050827024,0.00018736004130914807,0.0001874478068202734,0.00012298932997509838,0.30852017402648924,1.25
signed_hqql_tbl,mod.blocks.1.attn,2,mod.blocks.1.attn.h2,electron<-charged_hadron,B_Hqql_to_Tbl,0.022147137890843785,-1.366909675519256e-05,0.00018707602558767095,0.00022555418613859837,0.19428681626039393,4.25
B_tbl_minus_hqql,mod.blocks.1.attn,2,mod.blocks.1.attn.h2,electron<-charged_hadron,B_Hqql_to_Tbl,0.02214714665623272,-1.3669045395491754e-05,0.00018707590232438902,0.0002255540423314361,0.19428680924808278,4.25
signed_hqql_tbl,mod.blocks.3.attn,7,mod.blocks.3.attn.h7,electron<-charged_hadron,B_Hqql_to_Tbl,0.02973158482243033,-0.00011803144212428699,0.00018681151628055994,0.00013922775670995608,0.14495733205009909,4.25
B_tbl_minus_hqql,mod.blocks.3.attn,7,mod.blocks.3.attn.h7,electron<-charged_hadron,B_Hqql_to_Tbl,0.029731585698969224,-0.00011803140959647648,0.00018681146149687907,0.0001392277909497566,0.14495732503778794,4.25
signed_hqql_tbl,mod.blocks.0.attn,4,mod.blocks.0.attn.h4,photon<-electron,B_Hqql_to_Tbl,0.044946038722991945,4.849709304315703e-06,0.00018651454177285944,8.229659537651709e-05,0.6895474297659737,2.1875
