true_label,pred_label,n
label_Tbqq,label_QCD,498
label_Hgg,label_QCD,410
label_H4q,label_QCD,410
label_Hbb,label_QCD,406
label_Hcc,label_QCD,398
label_Wqq,label_Zqq,321
label_QCD,label_Zqq,300
label_Zqq,label_Zqq,294
label_Tbl,label_QCD,264
label_Hqql,label_Zqq,226
label_Hqql,label_QCD,210
label_Zqq,label_QCD,189
label_QCD,label_QCD,175
label_Wqq,label_QCD,132
label_Tbl,label_Zqq,108
label_Hcc,label_Zqq,85
label_Hbb,label_Zqq,72
label_H4q,label_Zqq,63
label_Tbl,label_Hbb,61
label_Hgg,label_Zqq,57
label_Wqq,label_Hcc,45
label_Hqql,label_Hcc,42
label_Tbl,label_Hcc,39
label_H4q,label_H4q,22
label_Hgg,label_Hcc,21
label_Zqq,label_Hcc,21
label_QCD,label_Hcc,20
label_Hgg,label_H4q,19
label_Hcc,label_Wqq,18
label_Hqql,label_Hbb,17
label_Tbl,label_Tbl,17
label_Hbb,label_Wqq,15
label_H4q,label_Hcc,15
label_Tbl,label_Wqq,10
label_Tbqq,label_Zqq,10
label_Wqq,label_Hbb,9
label_Tbl,label_Hqql,8
label_QCD,label_H4q,8
label_Hbb,label_Hcc,7
label_Hbb,label_H4q,6
label_Hcc,label_H4q,6
label_Hgg,label_Wqq,5
label_Hqql,label_Wqq,5
label_Hbb,label_Tbl,4
label_Hqql,label_Hqql,4
label_Hqql,label_H4q,4
label_QCD,label_Wqq,4
label_Tbl,label_Hgg,3
label_Zqq,label_Tbl,3
label_Hcc,label_Hbb,2
label_Hqql,label_Tbl,2
label_Hqql,label_Hgg,2
label_H4q,label_Wqq,2
label_Tbqq,label_H4q,2
label_Wqq,label_Hgg,2
label_Wqq,label_Wqq,2
label_QCD,label_Tbqq,2
label_Zqq,label_H4q,2
label_Hbb,label_Hgg,1
label_Hbb,label_Hbb,1
label_Hcc,label_Hcc,1
label_Hcc,label_Hgg,1
label_Hcc,label_Tbl,1
label_Tbl,label_Tbqq,1
label_Tbl,label_H4q,1
label_Tbqq,label_Hcc,1
label_Tbqq,label_Wqq,1
label_Wqq,label_Tbl,1
label_QCD,label_Tbl,1
label_QCD,label_Hgg,1
label_QCD,label_Hbb,1
label_Zqq,label_Wqq,1
label_Zqq,label_Hbb,1
label_Zqq,label_Hgg,1
