objective,module,kind,analysis_group,n,mean_score,mean_abs_score,mean_delta_norm,mean_grad_norm
signed_hqql_tbl,mod.blocks.0,particle,C_Tbl_correct,16,-0.10175424837507308,0.6104342564940453,121.51004409790039,0.001801948561478639
signed_hqql_tbl,mod.blocks.1,particle,C_Tbl_correct,16,-0.12819481978658587,0.2951381104066968,123.06505060195923,0.0014386002221726812
signed_hqql_tbl,mod.blocks.0,particle,A_Hqql_correct,16,-0.09798146126559004,0.38182536186650395,94.51612091064453,0.0004508069750954746
signed_hqql_tbl,mod.blocks.4,particle,C_Tbl_correct,16,-0.13416982954367995,0.1970232066232711,113.4507474899292,0.0008201011532946723
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,16,-0.1459988218266517,0.1459988218266517,154.68439960479736,0.02689439430832863
signed_hqql_tbl,mod.blocks.2,particle,C_Tbl_correct,16,-0.11716102765058167,0.2564958222210407,103.75584363937378,0.001256805127923144
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,16,0.14379422552883625,0.14379422552883625,50.89183831214905,0.04652594379149377
signed_hqql_tbl,mod.blocks.1,particle,B_Hqql_to_Tbl,16,-0.09918362071039155,0.2914471747353673,123.94054937362671,0.001339838607236743
B_tbl_minus_hqql,mod.blocks.1,particle,B_Hqql_to_Tbl,16,-0.09918359096627682,0.29144715378060937,131.4871153831482,0.0015433802782354178
signed_hqql_tbl,mod.blocks.0,particle,B_Hqql_to_Tbl,16,-0.029680536390515044,0.5555725377053022,122.47068405151367,0.0016692008484824328
B_tbl_minus_hqql,mod.blocks.0,particle,B_Hqql_to_Tbl,16,-0.029680514562642202,0.5555724818259478,130.21342182159424,0.0019244473933213158
signed_hqql_tbl,mod.blocks.3,particle,C_Tbl_correct,16,-0.09945216932101175,0.21715369867160916,96.80202341079712,0.0010056089031422744
signed_hqql_tbl,mod.blocks.5,particle,C_Tbl_correct,16,-0.10703653172822669,0.17321934434585273,144.69920110702515,0.0006539194455399411
signed_hqql_tbl,mod.blocks.4,particle,B_Hqql_to_Tbl,16,-0.08507892604393419,0.19035663176327944,116.5246262550354,0.0007826897272025235
B_tbl_minus_hqql,mod.blocks.4,particle,B_Hqql_to_Tbl,16,-0.08507892410852946,0.19035661593079567,123.71396827697754,0.0008999387464427855
signed_hqql_tbl,mod.cls_blocks.0,cls,D_Tbl_to_Hqql,16,0.10358945233747363,0.10358945233747363,49.96779823303223,0.04850041517056525
signed_hqql_tbl,mod.cls_blocks.1,cls,D_Tbl_to_Hqql,16,-0.10358389210887253,0.10358389210887253,150.27272415161133,0.027703179977834225
signed_hqql_tbl,mod.blocks.0,particle,D_Tbl_to_Hqql,16,-0.018199652433395386,0.42145851720124483,132.29294204711914,0.0017037025463650934
signed_hqql_tbl,mod.blocks.7,particle,C_Tbl_correct,16,0.06136408864404075,0.24575461633503437,293.0705404281616,0.00029255907611513976
signed_hqql_tbl,mod.blocks.5,particle,B_Hqql_to_Tbl,16,-0.08057847988675348,0.1555906319990754,146.5077896118164,0.0006097998993936926
B_tbl_minus_hqql,mod.blocks.5,particle,B_Hqql_to_Tbl,16,-0.0805784800031688,0.15559062641113997,156.39078903198242,0.0007021495694061741
B_tbl_minus_hqql,mod.blocks.3,particle,B_Hqql_to_Tbl,16,-0.05426796025130898,0.22311047930270433,103.37308120727539,0.0011052380559704034
signed_hqql_tbl,mod.blocks.3,particle,B_Hqql_to_Tbl,16,-0.05426794505910948,0.22311051189899445,99.07905149459839,0.0009626838318581576
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,16,-0.08437455852981657,0.09030075476039201,149.68995904922485,0.027880656183697283
signed_hqql_tbl,mod.blocks.4,particle,D_Tbl_to_Hqql,16,0.07095669663976878,0.12252605170942843,121.97411584854126,0.0008059125411818968
signed_hqql_tbl,mod.blocks.4,particle,A_Hqql_correct,16,0.05857077264226973,0.11124277766793966,90.95396518707275,0.00020360305234135012
signed_hqql_tbl,mod.blocks.7,particle,B_Hqql_to_Tbl,16,0.02609657635912299,0.23407685477286577,304.23736000061035,0.00027126006898470223
B_tbl_minus_hqql,mod.blocks.7,particle,B_Hqql_to_Tbl,16,0.026096562694874592,0.23407683381810784,318.4888610839844,0.0003120833525827038
signed_hqql_tbl,mod.blocks.1,particle,A_Hqql_correct,16,-0.036382202204549685,0.1761525934562087,94.66462659835815,0.00035078995733783813
signed_hqql_tbl,mod.blocks.5,particle,D_Tbl_to_Hqql,16,0.05378001305507496,0.1019106563180685,156.32037019729614,0.0006456065784732345
signed_hqql_tbl,mod.blocks.2,particle,B_Hqql_to_Tbl,16,-0.02198468876304105,0.2217577574774623,104.18663597106934,0.001179921227048908
B_tbl_minus_hqql,mod.blocks.2,particle,B_Hqql_to_Tbl,16,-0.021984671911923215,0.22175772860646248,111.41644287109375,0.0013503903937817086
signed_hqql_tbl,mod.blocks.6,particle,D_Tbl_to_Hqql,16,0.049502195630338974,0.10808027547318488,206.9866647720337,0.0004384421645227121
signed_hqql_tbl,mod.blocks.6,particle,A_Hqql_correct,16,0.05312764615518972,0.09033120074309409,146.15053272247314,0.00011265986427133612
signed_hqql_tbl,mod.blocks.7,particle,D_Tbl_to_Hqql,16,0.03257415286498144,0.15866781445220113,316.7226276397705,0.000285564925889048
signed_hqql_tbl,mod.blocks.7,particle,A_Hqql_correct,16,0.03253273229347542,0.14814318879507482,252.63265705108643,7.524607076447865e-05
signed_hqql_tbl,mod.blocks.5,particle,A_Hqql_correct,16,0.041526585366227664,0.09996840148232877,113.39174270629883,0.0001651770985517942
