module,dim,weight_tgt_minus_src,bias_tgt_minus_src,src_label,tgt_label,legacy_weight_tbl_minus_hqql,legacy_bias_tbl_minus_hqql
mod.fc.0,103,1.2776089906692505,-0.11870063096284866,label_Zqq,label_Hbb,1.2776089906692505,-0.11870063096284866
mod.fc.0,10,-0.8910177946090698,-0.11870063096284866,label_Zqq,label_Hbb,-0.8910177946090698,-0.11870063096284866
mod.fc.0,79,0.8846343755722046,-0.11870063096284866,label_Zqq,label_Hbb,0.8846343755722046,-0.11870063096284866
mod.fc.0,66,0.7835183143615723,-0.11870063096284866,label_Zqq,label_Hbb,0.7835183143615723,-0.11870063096284866
mod.fc.0,2,-0.7796503901481628,-0.11870063096284866,label_Zqq,label_Hbb,-0.7796503901481628,-0.11870063096284866
mod.fc.0,57,0.7102783918380737,-0.11870063096284866,label_Zqq,label_Hbb,0.7102783918380737,-0.11870063096284866
mod.fc.0,18,0.7037568092346191,-0.11870063096284866,label_Zqq,label_Hbb,0.7037568092346191,-0.11870063096284866
mod.fc.0,3,0.6120679974555969,-0.11870063096284866,label_Zqq,label_Hbb,0.6120679974555969,-0.11870063096284866
mod.fc.0,23,-0.5560668706893921,-0.11870063096284866,label_Zqq,label_Hbb,-0.5560668706893921,-0.11870063096284866
mod.fc.0,82,0.4513292610645294,-0.11870063096284866,label_Zqq,label_Hbb,0.4513292610645294,-0.11870063096284866
mod.fc.0,54,0.41031748056411743,-0.11870063096284866,label_Zqq,label_Hbb,0.41031748056411743,-0.11870063096284866
mod.fc.0,96,-0.27392271161079407,-0.11870063096284866,label_Zqq,label_Hbb,-0.27392271161079407,-0.11870063096284866
mod.fc.0,91,-0.2268742471933365,-0.11870063096284866,label_Zqq,label_Hbb,-0.2268742471933365,-0.11870063096284866
mod.fc.0,124,-0.12154433131217957,-0.11870063096284866,label_Zqq,label_Hbb,-0.12154433131217957,-0.11870063096284866
mod.fc.0,123,-0.11423195898532867,-0.11870063096284866,label_Zqq,label_Hbb,-0.11423195898532867,-0.11870063096284866
mod.fc.0,34,0.10607261955738068,-0.11870063096284866,label_Zqq,label_Hbb,0.10607261955738068,-0.11870063096284866
mod.fc.0,8,-0.07135626673698425,-0.11870063096284866,label_Zqq,label_Hbb,-0.07135626673698425,-0.11870063096284866
mod.fc.0,45,0.06807690858840942,-0.11870063096284866,label_Zqq,label_Hbb,0.06807690858840942,-0.11870063096284866
mod.fc.0,121,0.031418055295944214,-0.11870063096284866,label_Zqq,label_Hbb,0.031418055295944214,-0.11870063096284866
mod.fc.0,58,-0.027320027351379395,-0.11870063096284866,label_Zqq,label_Hbb,-0.027320027351379395,-0.11870063096284866
mod.fc.0,110,0.02397998794913292,-0.11870063096284866,label_Zqq,label_Hbb,0.02397998794913292,-0.11870063096284866
mod.fc.0,6,-0.019817285239696503,-0.11870063096284866,label_Zqq,label_Hbb,-0.019817285239696503,-0.11870063096284866
mod.fc.0,80,0.01870536059141159,-0.11870063096284866,label_Zqq,label_Hbb,0.01870536059141159,-0.11870063096284866
mod.fc.0,76,-0.013756759464740753,-0.11870063096284866,label_Zqq,label_Hbb,-0.013756759464740753,-0.11870063096284866
mod.fc.0,78,0.000393550843000412,-0.11870063096284866,label_Zqq,label_Hbb,0.000393550843000412,-0.11870063096284866
mod.fc.0,115,-0.0003338456153869629,-0.11870063096284866,label_Zqq,label_Hbb,-0.0003338456153869629,-0.11870063096284866
mod.fc.0,4,-3.767386078834534e-05,-0.11870063096284866,label_Zqq,label_Hbb,-3.767386078834534e-05,-0.11870063096284866
mod.fc.0,11,3.14381904900074e-05,-0.11870063096284866,label_Zqq,label_Hbb,3.14381904900074e-05,-0.11870063096284866
mod.fc.0,118,2.9087532311677933e-05,-0.11870063096284866,label_Zqq,label_Hbb,2.9087532311677933e-05,-0.11870063096284866
mod.fc.0,20,-2.691708505153656e-05,-0.11870063096284866,label_Zqq,label_Hbb,-2.691708505153656e-05,-0.11870063096284866
mod.fc.0,109,2.001039683818817e-05,-0.11870063096284866,label_Zqq,label_Hbb,2.001039683818817e-05,-0.11870063096284866
mod.fc.0,40,1.809932291507721e-05,-0.11870063096284866,label_Zqq,label_Hbb,1.809932291507721e-05,-0.11870063096284866
mod.fc.0,51,1.563131809234619e-05,-0.11870063096284866,label_Zqq,label_Hbb,1.563131809234619e-05,-0.11870063096284866
mod.fc.0,52,-1.3776589184999466e-05,-0.11870063096284866,label_Zqq,label_Hbb,-1.3776589184999466e-05,-0.11870063096284866
mod.fc.0,112,1.1591240763664246e-05,-0.11870063096284866,label_Zqq,label_Hbb,1.1591240763664246e-05,-0.11870063096284866
mod.fc.0,29,1.0855495929718018e-05,-0.11870063096284866,label_Zqq,label_Hbb,1.0855495929718018e-05,-0.11870063096284866
mod.fc.0,49,1.0211020708084106e-05,-0.11870063096284866,label_Zqq,label_Hbb,1.0211020708084106e-05,-0.11870063096284866
mod.fc.0,105,1.0088086128234863e-05,-0.11870063096284866,label_Zqq,label_Hbb,1.0088086128234863e-05,-0.11870063096284866
mod.fc.0,15,9.81474295258522e-06,-0.11870063096284866,label_Zqq,label_Hbb,9.81474295258522e-06,-0.11870063096284866
mod.fc.0,71,-8.434057235717773e-06,-0.11870063096284866,label_Zqq,label_Hbb,-8.434057235717773e-06,-0.11870063096284866
