event_idx,group,head_id,rank,particle_idx,particle_activation_norm,pid,pt,charge,is_second_lepton_like,particle_role,best_lepton_idx,second_lepton_idx,nearest_hadron_to_best_lepton_idx,hardest_hadron_idx
12308,A_protected_highiso,L0_ch0:8,1,38,16.49371337890625,photon,1.2211767435073853,0.0,,photon_neighbor,0,,27,3
12308,A_protected_highiso,L0_ch0:8,2,39,15.236495971679688,photon,1.148496150970459,0.0,,photon_neighbor,0,,27,3
12308,A_protected_highiso,L0_ch0:8,3,9,13.895849227905273,charged_hadron,13.192272186279297,1.0,,hard_hadron,0,,27,3
12358,A_protected_highiso,L0_ch0:8,1,38,14.174642562866211,photon,1.3616751432418823,0.0,,photon_neighbor,0,,35,2
12358,A_protected_highiso,L0_ch0:8,2,41,13.498506546020508,photon,0.9220408797264099,0.0,,photon_neighbor,0,,35,2
12358,A_protected_highiso,L0_ch0:8,3,42,13.438632011413574,photon,0.8992358446121216,0.0,,photon_neighbor,0,,35,2
12438,A_protected_highiso,L0_ch0:8,1,36,17.26824188232422,photon,1.4195746183395386,0.0,,photon_neighbor,0,,31,1
12438,A_protected_highiso,L0_ch0:8,2,39,17.1461238861084,photon,1.323775053024292,0.0,,photon_neighbor,0,,31,1
12438,A_protected_highiso,L0_ch0:8,3,40,17.064470291137695,photon,1.142275094985962,0.0,,photon_neighbor,0,,31,1
12442,A_protected_highiso,L0_ch0:8,1,47,15.031051635742188,charged_hadron,3.44437313079834,1.0,,hadron_neighbor,0,49,44,1
12442,A_protected_highiso,L0_ch0:8,2,68,14.915614128112793,photon,1.1097240447998047,0.0,,photon_neighbor,0,49,44,1
12442,A_protected_highiso,L0_ch0:8,3,67,14.792444229125977,photon,1.1153390407562256,0.0,,photon_neighbor,0,49,44,1
12509,A_protected_highiso,L0_ch0:8,1,42,16.951946258544922,photon,0.9593586921691895,0.0,,photon_neighbor,0,25,11,2
12509,A_protected_highiso,L0_ch0:8,2,41,16.680463790893555,photon,0.9718731641769409,0.0,,photon_neighbor,0,25,11,2
12509,A_protected_highiso,L0_ch0:8,3,37,16.511981964111328,photon,1.3151379823684692,0.0,,photon_neighbor,0,25,11,2
12592,A_protected_highiso,L0_ch0:8,1,37,12.910258293151855,charged_hadron,1.4617711305618286,1.0,,hadron_neighbor,0,,25,2
12592,A_protected_highiso,L0_ch0:8,2,29,12.904192924499512,photon,2.436635971069336,0.0,,photon_neighbor,0,,25,2
12592,A_protected_highiso,L0_ch0:8,3,30,12.877191543579102,charged_hadron,2.0170767307281494,1.0,,hadron_neighbor,0,,25,2
12784,A_protected_highiso,L0_ch0:8,1,47,16.46234703063965,charged_hadron,0.5204013586044312,-1.0,,hadron_neighbor,0,,13,1
12784,A_protected_highiso,L0_ch0:8,2,39,16.09463882446289,photon,1.5030409097671509,0.0,,photon_neighbor,0,,13,1
12784,A_protected_highiso,L0_ch0:8,3,44,14.007454872131348,charged_hadron,1.1242210865020752,-1.0,,hadron_neighbor,0,,13,1
13089,A_protected_highiso,L0_ch0:8,1,35,15.887377738952637,photon,4.774827480316162,0.0,,photon_neighbor,1,,45,0
13089,A_protected_highiso,L0_ch0:8,2,64,15.798613548278809,photon,1.1959010362625122,0.0,,photon_neighbor,1,,45,0
13089,A_protected_highiso,L0_ch0:8,3,56,15.560722351074219,photon,1.7614539861679077,0.0,,photon_neighbor,1,,45,0
13279,A_protected_highiso,L0_ch0:8,1,45,16.106958389282227,photon,2.29241681098938,0.0,,photon_neighbor,0,,15,1
13279,A_protected_highiso,L0_ch0:8,2,46,15.363080978393555,photon,2.107839822769165,0.0,,photon_neighbor,0,,15,1
13279,A_protected_highiso,L0_ch0:8,3,36,14.684679985046387,photon,3.343043565750122,0.0,,photon_neighbor,0,,15,1
13374,A_protected_highiso,L0_ch0:8,1,42,14.566765785217285,charged_hadron,0.40191951394081116,-1.0,,hadron_neighbor,0,,20,2
13374,A_protected_highiso,L0_ch0:8,2,39,14.267041206359863,photon,1.0880905389785767,0.0,,photon_neighbor,0,,20,2
13374,A_protected_highiso,L0_ch0:8,3,41,14.229537010192871,charged_hadron,0.5589261054992676,-1.0,,hadron_neighbor,0,,20,2
13400,A_protected_highiso,L0_ch0:8,1,32,19.936128616333008,photon,2.534654140472412,0.0,,photon_neighbor,0,,36,1
13400,A_protected_highiso,L0_ch0:8,2,35,18.09349822998047,photon,2.3560378551483154,0.0,,photon_neighbor,0,,36,1
13400,A_protected_highiso,L0_ch0:8,3,5,17.63233757019043,photon,11.925918579101562,0.0,,photon_neighbor,0,,36,1
13529,A_protected_highiso,L0_ch0:8,1,40,15.963896751403809,photon,1.2569148540496826,0.0,,photon_neighbor,0,,9,2
13529,A_protected_highiso,L0_ch0:8,2,38,15.762457847595215,photon,1.2987438440322876,0.0,,photon_neighbor,0,,9,2
13529,A_protected_highiso,L0_ch0:8,3,39,15.032530784606934,charged_hadron,1.2652018070220947,1.0,,hadron_neighbor,0,,9,2
13897,A_protected_highiso,L0_ch0:8,1,36,20.525592803955078,charged_hadron,2.9711923599243164,1.0,,hadron_neighbor,0,,14,2
13897,A_protected_highiso,L0_ch0:8,2,32,20.122716903686523,charged_hadron,4.134951114654541,-1.0,,hadron_neighbor,0,,14,2
13897,A_protected_highiso,L0_ch0:8,3,42,19.772478103637695,photon,1.14399254322052,0.0,,photon_neighbor,0,,14,2
14139,A_protected_highiso,L0_ch0:8,1,37,14.687867164611816,charged_hadron,2.101313352584839,1.0,,hadron_neighbor,0,,14,1
14139,A_protected_highiso,L0_ch0:8,2,42,14.396686553955078,photon,1.5343717336654663,0.0,,photon_neighbor,0,,14,1
14139,A_protected_highiso,L0_ch0:8,3,36,14.369531631469727,photon,2.400096893310547,0.0,,photon_neighbor,0,,14,1
14355,A_protected_highiso,L0_ch0:8,1,37,17.92933464050293,photon,2.0038137435913086,0.0,,photon_neighbor,0,,25,1
14355,A_protected_highiso,L0_ch0:8,2,17,16.729015350341797,photon,5.824073791503906,0.0,,photon_neighbor,0,,25,1
14355,A_protected_highiso,L0_ch0:8,3,25,16.43458366394043,charged_hadron,3.7164037227630615,1.0,,nearest_hadron_to_best_lepton,0,,25,1
14381,A_protected_highiso,L0_ch0:8,1,44,16.879671096801758,photon,0.5466781258583069,0.0,,photon_neighbor,0,,26,1
14381,A_protected_highiso,L0_ch0:8,2,46,15.973433494567871,charged_hadron,0.2976926565170288,-1.0,,hadron_neighbor,0,,26,1
14381,A_protected_highiso,L0_ch0:8,3,45,15.940122604370117,photon,0.4612649083137512,0.0,,photon_neighbor,0,,26,1
14596,A_protected_highiso,L0_ch0:8,1,58,14.432209968566895,charged_hadron,1.4016443490982056,-1.0,,hadron_neighbor,0,37,20,1
14596,A_protected_highiso,L0_ch0:8,2,44,14.28604793548584,charged_hadron,1.9951958656311035,1.0,,hadron_neighbor,0,37,20,1
14596,A_protected_highiso,L0_ch0:8,3,55,14.279115676879883,charged_hadron,1.465348243713379,1.0,,hadron_neighbor,0,37,20,1
14600,A_protected_highiso,L0_ch0:8,1,35,14.5694580078125,photon,1.91953706741333,0.0,,photon_neighbor,0,,12,2
14600,A_protected_highiso,L0_ch0:8,2,36,13.95761489868164,charged_hadron,1.635278344154358,1.0,,hadron_neighbor,0,,12,2
14600,A_protected_highiso,L0_ch0:8,3,40,13.686524391174316,photon,1.242114543914795,0.0,,photon_neighbor,0,,12,2
14625,A_protected_highiso,L0_ch0:8,1,59,21.7005558013916,photon,1.0910636186599731,0.0,,photon_neighbor,0,10,44,1
14625,A_protected_highiso,L0_ch0:8,2,56,20.89164161682129,photon,1.3071688413619995,0.0,,photon_neighbor,0,10,44,1
14625,A_protected_highiso,L0_ch0:8,3,57,20.723419189453125,photon,1.254207730293274,0.0,,photon_neighbor,0,10,44,1
14742,A_protected_highiso,L0_ch0:8,1,51,17.54681968688965,photon,0.8734622001647949,0.0,,photon_neighbor,0,,16,1
14742,A_protected_highiso,L0_ch0:8,2,38,16.280485153198242,photon,2.28955078125,0.0,,photon_neighbor,0,,16,1
