feature,abs_weight
best_lepton_iso_pt_ratio,0.3725101221475121
particle0_knn_muon_frac,0.3603405153990472
particle0_knn_electron_frac,0.3465406375914515
particle0_knn_charged_hadron_frac,0.30732040093626917
best_lepton_pt,0.25745865562118553
has_lepton,0.24107721728044754
deltaR_p0_lepton,0.23973576926018383
deltaR_lead_lepton,0.23973576926018383
missing_pt_proxy,0.17215956049219092
particle0_knn_pt_sum,0.16726324346594212
particle0_knn_photon_frac,0.15035290731498827
confidence,0.10617798058316291
particle0_is_lepton,0.09078045008023736
leading_is_lepton,0.09078045008023736
particle0_is_muon,0.07196403375554876
particle0_pt,0.06865733911316582
leading_pt,0.06865733911316582
particle0_knn_neutral_hadron_frac,0.02816080406643596
particle0_charge,0.02712367621315758
particle0_is_electron,0.007303960476332377
particle0_iso_pt_ratio,0.006106556181286698
leading_iso_pt_ratio,0.006106556181286698
particle0_pt_rank,0.0
leading_pt_rank,0.0
