signal_id,source,class_pair,status,score,reason,recommended_next_action,claim_level
confusion::label_Zqq->label_Wqq,CONFUSION_MONITOR_V1,label_Zqq->label_Wqq,ALERT,1.4303036508525266,"confusion_rate=0.2114, delta=-0.0122, count=866",run feature ranker for this class pair,0
confusion::label_Wqq->label_Zqq,CONFUSION_MONITOR_V1,label_Wqq->label_Zqq,ALERT,0.9210577200235467,"confusion_rate=0.1443, delta=-0.0022, count=591",run feature ranker for this class pair,0
confusion::label_Hcc->label_Hbb,CONFUSION_MONITOR_V1,label_Hcc->label_Hbb,ALERT,0.7149837599511535,"confusion_rate=0.1160, delta=-0.0002, count=475",run feature ranker for this class pair,0
confusion::label_Hbb->label_Hcc,CONFUSION_MONITOR_V1,label_Hbb->label_Hcc,ALERT,0.7132351604278369,"confusion_rate=0.1157, delta=-0.0083, count=474",run feature ranker for this class pair,0
confusion::label_Hgg->label_H4q,CONFUSION_MONITOR_V1,label_Hgg->label_H4q,ALERT,0.6506373884098938,"confusion_rate=0.1069, delta=-0.0005, count=438",run feature ranker for this class pair,0
confusion::label_Hbb->label_Hgg,CONFUSION_MONITOR_V1,label_Hbb->label_Hgg,ALERT,0.5990224435476588,"confusion_rate=0.0916, delta=0.0056, count=375",run feature ranker for this class pair,0
confusion::label_H4q->label_Hgg,CONFUSION_MONITOR_V1,label_H4q->label_Hgg,ALERT,0.5125366885119751,"confusion_rate=0.0872, delta=-0.0085, count=357",run feature ranker for this class pair,0
confusion::label_Hcc->label_Hgg,CONFUSION_MONITOR_V1,label_Hcc->label_Hgg,ALERT,0.4624793578959021,"confusion_rate=0.0798, delta=-0.0012, count=327",run feature ranker for this class pair,0
confusion::label_Hcc->label_Zqq,CONFUSION_MONITOR_V1,label_Hcc->label_Zqq,ALERT,0.4610176558406366,"confusion_rate=0.0605, delta=0.0127, count=248",run feature ranker for this class pair,0
confusion::label_QCD->label_Hgg,CONFUSION_MONITOR_V1,label_QCD->label_Hgg,ALERT,0.4090273161459009,"confusion_rate=0.0686, delta=0.0022, count=281",run feature ranker for this class pair,0
confusion::label_Hcc->label_H4q,CONFUSION_MONITOR_V1,label_Hcc->label_H4q,ALERT,0.3612369438054566,"confusion_rate=0.0647, delta=-0.0125, count=265",run feature ranker for this class pair,0
confusion::label_Hgg->label_Hbb,CONFUSION_MONITOR_V1,label_Hgg->label_Hbb,ALERT,0.3535957808406366,"confusion_rate=0.0605, delta=0.0020, count=248",run feature ranker for this class pair,0
confusion::label_Hgg->label_Hcc,CONFUSION_MONITOR_V1,label_Hgg->label_Hcc,ALERT,0.34681725530595126,"confusion_rate=0.0625, delta=-0.0020, count=256",run feature ranker for this class pair,0
confusion::label_Wqq->label_QCD,CONFUSION_MONITOR_V1,label_Wqq->label_QCD,ALERT,0.3324748291754762,"confusion_rate=0.0603, delta=-0.0002, count=247",run feature ranker for this class pair,0
confusion::label_Zqq->label_QCD,CONFUSION_MONITOR_V1,label_Zqq->label_QCD,ALERT,0.3067856296705074,"confusion_rate=0.0518, delta=0.0029, count=212",run feature ranker for this class pair,0
confusion::label_QCD->label_Wqq,CONFUSION_MONITOR_V1,label_QCD->label_Wqq,ALERT,0.2681982596222329,"confusion_rate=0.0503, delta=-0.0005, count=206",run feature ranker for this class pair,0
confusion::label_QCD->label_Zqq,CONFUSION_MONITOR_V1,label_QCD->label_Zqq,WATCH,0.2254283870702281,"confusion_rate=0.0435, delta=-0.0054, count=178",run feature ranker for this class pair,0
confusion::label_Hqql->label_Tbl,CONFUSION_MONITOR_V1,label_Hqql->label_Tbl,WATCH,0.2238006513685459,"confusion_rate=0.0376, delta=0.0034, count=154",run feature ranker for this class pair,0
confusion::label_QCD->label_Tbqq,CONFUSION_MONITOR_V1,label_QCD->label_Tbqq,WATCH,0.21795109402433552,"confusion_rate=0.0378, delta=0.0027, count=155",run feature ranker for this class pair,0
confusion::label_Hbb->label_Zqq,CONFUSION_MONITOR_V1,label_Hbb->label_Zqq,WATCH,0.20891161732430277,"confusion_rate=0.0408, delta=-0.0032, count=167",run feature ranker for this class pair,0
confusion::label_Zqq->label_H4q,CONFUSION_MONITOR_V1,label_Zqq->label_H4q,WATCH,0.18652633701571836,"confusion_rate=0.0254, delta=0.0068, count=104",run feature ranker for this class pair,0
confusion::label_Tbl->label_Hqql,CONFUSION_MONITOR_V1,label_Tbl->label_Hqql,WATCH,0.17642162112981172,"confusion_rate=0.0354, delta=-0.0066, count=145",run feature ranker for this class pair,0
