module,dim,weight_tgt_minus_src,bias_tgt_minus_src,src_label,tgt_label,legacy_weight_tbl_minus_hqql,legacy_bias_tbl_minus_hqql
mod.fc.0,54,-1.6964067220687866,-0.6702732443809509,label_Hqql,label_Tbl,-1.6964067220687866,-0.6702732443809509
mod.fc.0,76,1.4145793914794922,-0.6702732443809509,label_Hqql,label_Tbl,1.4145793914794922,-0.6702732443809509
mod.fc.0,18,-1.2686177492141724,-0.6702732443809509,label_Hqql,label_Tbl,-1.2686177492141724,-0.6702732443809509
mod.fc.0,103,1.25152587890625,-0.6702732443809509,label_Hqql,label_Tbl,1.25152587890625,-0.6702732443809509
mod.fc.0,121,0.977470338344574,-0.6702732443809509,label_Hqql,label_Tbl,0.977470338344574,-0.6702732443809509
mod.fc.0,96,-0.7730405330657959,-0.6702732443809509,label_Hqql,label_Tbl,-0.7730405330657959,-0.6702732443809509
mod.fc.0,58,0.5745218992233276,-0.6702732443809509,label_Hqql,label_Tbl,0.5745218992233276,-0.6702732443809509
mod.fc.0,23,0.5696371793746948,-0.6702732443809509,label_Hqql,label_Tbl,0.5696371793746948,-0.6702732443809509
mod.fc.0,45,-0.48215559124946594,-0.6702732443809509,label_Hqql,label_Tbl,-0.48215559124946594,-0.6702732443809509
mod.fc.0,57,0.47194164991378784,-0.6702732443809509,label_Hqql,label_Tbl,0.47194164991378784,-0.6702732443809509
mod.fc.0,10,-0.3488597869873047,-0.6702732443809509,label_Hqql,label_Tbl,-0.3488597869873047,-0.6702732443809509
mod.fc.0,8,0.23268666863441467,-0.6702732443809509,label_Hqql,label_Tbl,0.23268666863441467,-0.6702732443809509
mod.fc.0,2,0.20393377542495728,-0.6702732443809509,label_Hqql,label_Tbl,0.20393377542495728,-0.6702732443809509
mod.fc.0,91,0.18423211574554443,-0.6702732443809509,label_Hqql,label_Tbl,0.18423211574554443,-0.6702732443809509
mod.fc.0,34,-0.1707550287246704,-0.6702732443809509,label_Hqql,label_Tbl,-0.1707550287246704,-0.6702732443809509
mod.fc.0,79,-0.10766482353210449,-0.6702732443809509,label_Hqql,label_Tbl,-0.10766482353210449,-0.6702732443809509
mod.fc.0,6,0.088742196559906,-0.6702732443809509,label_Hqql,label_Tbl,0.088742196559906,-0.6702732443809509
mod.fc.0,66,0.08377087116241455,-0.6702732443809509,label_Hqql,label_Tbl,0.08377087116241455,-0.6702732443809509
mod.fc.0,3,0.06577682495117188,-0.6702732443809509,label_Hqql,label_Tbl,0.06577682495117188,-0.6702732443809509
mod.fc.0,80,-0.050974130630493164,-0.6702732443809509,label_Hqql,label_Tbl,-0.050974130630493164,-0.6702732443809509
mod.fc.0,110,-0.039949655532836914,-0.6702732443809509,label_Hqql,label_Tbl,-0.039949655532836914,-0.6702732443809509
mod.fc.0,123,0.012944400310516357,-0.6702732443809509,label_Hqql,label_Tbl,0.012944400310516357,-0.6702732443809509
mod.fc.0,124,0.0038715004920959473,-0.6702732443809509,label_Hqql,label_Tbl,0.0038715004920959473,-0.6702732443809509
mod.fc.0,82,0.003074824810028076,-0.6702732443809509,label_Hqql,label_Tbl,0.003074824810028076,-0.6702732443809509
mod.fc.0,78,-0.0022265692241489887,-0.6702732443809509,label_Hqql,label_Tbl,-0.0022265692241489887,-0.6702732443809509
mod.fc.0,115,-0.0003446713089942932,-0.6702732443809509,label_Hqql,label_Tbl,-0.0003446713089942932,-0.6702732443809509
mod.fc.0,49,-2.9772520065307617e-05,-0.6702732443809509,label_Hqql,label_Tbl,-2.9772520065307617e-05,-0.6702732443809509
mod.fc.0,118,2.4337321519851685e-05,-0.6702732443809509,label_Hqql,label_Tbl,2.4337321519851685e-05,-0.6702732443809509
mod.fc.0,87,2.1982938051223755e-05,-0.6702732443809509,label_Hqql,label_Tbl,2.1982938051223755e-05,-0.6702732443809509
mod.fc.0,74,-1.7061829566955566e-05,-0.6702732443809509,label_Hqql,label_Tbl,-1.7061829566955566e-05,-0.6702732443809509
mod.fc.0,125,1.704879105091095e-05,-0.6702732443809509,label_Hqql,label_Tbl,1.704879105091095e-05,-0.6702732443809509
mod.fc.0,111,1.6380101442337036e-05,-0.6702732443809509,label_Hqql,label_Tbl,1.6380101442337036e-05,-0.6702732443809509
mod.fc.0,70,-1.5508383512496948e-05,-0.6702732443809509,label_Hqql,label_Tbl,-1.5508383512496948e-05,-0.6702732443809509
mod.fc.0,50,1.3453885912895203e-05,-0.6702732443809509,label_Hqql,label_Tbl,1.3453885912895203e-05,-0.6702732443809509
mod.fc.0,15,-1.3410113751888275e-05,-0.6702732443809509,label_Hqql,label_Tbl,-1.3410113751888275e-05,-0.6702732443809509
mod.fc.0,81,-1.2936070561408997e-05,-0.6702732443809509,label_Hqql,label_Tbl,-1.2936070561408997e-05,-0.6702732443809509
mod.fc.0,38,-1.2770295143127441e-05,-0.6702732443809509,label_Hqql,label_Tbl,-1.2770295143127441e-05,-0.6702732443809509
mod.fc.0,108,1.2587755918502808e-05,-0.6702732443809509,label_Hqql,label_Tbl,1.2587755918502808e-05,-0.6702732443809509
mod.fc.0,29,1.210533082485199e-05,-0.6702732443809509,label_Hqql,label_Tbl,1.210533082485199e-05,-0.6702732443809509
mod.fc.0,61,1.1613592505455017e-05,-0.6702732443809509,label_Hqql,label_Tbl,1.1613592505455017e-05,-0.6702732443809509
