head_id,pair_role,objective,B_mean_A,B_write_dot_grad,B_abs_write_dot_grad,B_value_norm,B_context_grad_norm,B_minus_A_write,B_minus_C_write,write_support_score,B_AxGrad,B_minus_A_AxGrad,B_minus_C_AxGrad,attention_support_score,module,head,head_grad_signed,head_grad_signed_abs,head_grad_pred_logit,head_grad_pred_logit_abs,compiled_rule_count,exact_pair_rule_count,compiled_routes,bundle_evidence_count,bundle_best_B_delta_margin,bundle_best_B_delta_tbl_pred,evidence_score,diagnosis,mechanism_summary
mod.cls_blocks.0.attn.h4,photon<-CLS,signed_hqql_tbl,0.09632870554924011,-1.2669728994369507,1.2669728994369507,152.1468505859375,0.09123043715953827,-1.2648304683777194,-1.2669728994369507,2.216131358485048,-1.2669728994369507,-1.2648304683777194,-1.2669728994369507,1.8993881336258105,mod.cls_blocks.0.attn,4,,,,,0,0,,0,,,2.5339457988739014,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h4 uses photon<-CLS; natural A×grad=-1.2670, value/write=-1.2670 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h4,CLS<-CLS,signed_hqql_tbl,0.11405619233846664,-0.7503599375486374,0.7503599375486374,152.1468505859375,0.05209905281662941,-0.8964489371865056,-0.7503599375486374,1.3861743905290496,-0.7503599375486374,-0.8964489371865056,-0.7503599375486374,1.1985844061418902,mod.cls_blocks.0.attn,4,,,,,0,0,,0,,,1.5007198750972748,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h4 uses CLS<-CLS; natural A×grad=-0.7504, value/write=-0.7504 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,signed_hqql_tbl,0.10742107033729553,-0.6761612296104431,0.6761612296104431,152.1468505859375,0.0467805489897728,-0.7450775466859341,-0.6761612296104431,1.217740310356021,-0.6761612296104431,-0.7450775466859341,-0.6761612296104431,1.0487000029534101,mod.cls_blocks.0.attn,4,,,,,0,0,,0,,,1.3523224592208862,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h4 uses charged_hadron<-CLS; natural A×grad=-0.6762, value/write=-0.6762 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h6,photon<-CLS,signed_hqql_tbl,0.08939097076654434,-0.3937637209892273,0.3937637209892273,102.39976501464844,0.051010504364967346,-0.39853728003799915,-0.3937637209892273,0.6914732912555337,-0.3937637209892273,-0.39853728003799915,-0.3937637209892273,0.5930323610082269,mod.cls_blocks.0.attn,6,,,,,0,0,,0,,,0.7875274419784546,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h6 uses photon<-CLS; natural A×grad=-0.3938, value/write=-0.3938 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h4,neutral_hadron<-CLS,signed_hqql_tbl,0.1450539231300354,-0.38214439153671265,0.38214439153671265,152.1468505859375,0.023604676127433777,-0.7337072212249041,-0.38214439153671265,0.8445341000333428,-0.38214439153671265,-0.7337072212249041,-0.38214439153671265,0.7489980021491647,mod.cls_blocks.0.attn,4,,,,,0,0,,0,,,0.7642887830734253,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h4 uses neutral_hadron<-CLS; natural A×grad=-0.3821, value/write=-0.3821 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h6,CLS<-CLS,signed_hqql_tbl,0.10469549149274826,-0.24437755346298218,0.24437755346298218,102.39976501464844,0.03324301540851593,-0.29523489883195,-0.24437755346298218,0.4530893912447027,-0.24437755346298218,-0.29523489883195,-0.24437755346298218,0.39199500287895717,mod.cls_blocks.0.attn,6,,,,,0,0,,0,,,0.48875510692596436,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h6 uses CLS<-CLS; natural A×grad=-0.2444, value/write=-0.2444 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h4,neutral_hadron<-neutral_hadron,B_tbl_minus_hqql,0.06711439602077007,-0.18855438195168972,0.2554522752761841,15.878657341003418,0.015915811760351062,-0.18855438195168972,-0.18855438195168972,0.3466946417465806,-0.18855438195168972,-0.18855438195168972,-0.18855438195168972,0.2828315729275346,mod.cls_blocks.0.attn,4,,,,,0,0,,0,,,0.4440066572278738,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h4 uses neutral_hadron<-neutral_hadron; natural A×grad=-0.1886, value/write=-0.1886 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h6,charged_hadron<-CLS,signed_hqql_tbl,0.09090251103043556,-0.2077483981847763,0.2077483981847763,102.39976501464844,0.029937172308564186,-0.27226264867931604,-0.2077483981847763,0.3958168220706284,-0.2077483981847763,-0.27226264867931604,-0.2077483981847763,0.34387972252443433,mod.cls_blocks.0.attn,6,,,,,0,0,,0,,,0.4154967963695526,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h6 uses charged_hadron<-CLS; natural A×grad=-0.2077, value/write=-0.2077 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h6,neutral_hadron<-CLS,signed_hqql_tbl,0.14758597314357758,-0.1682496964931488,0.1682496964931488,102.39976501464844,0.022087212651968002,-0.2736952010542154,-0.1682496964931488,0.3471597211435437,-0.1682496964931488,-0.2736952010542154,-0.1682496964931488,0.3050972970202565,mod.cls_blocks.0.attn,6,,,,,0,0,,0,,,0.3364993929862976,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h6 uses neutral_hadron<-CLS; natural A×grad=-0.1682, value/write=-0.1682 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h4,photon<-photon,B_tbl_minus_hqql,0.03564679238104051,-0.0970110950931426,0.21030681748544017,4.223700984831779,0.0091076678326053,-0.0970110950931426,-0.0970110950931426,0.19809334701107395,-0.0970110950931426,-0.0970110950931426,-0.0970110950931426,0.1455166426397139,mod.cls_blocks.0.attn,4,,,,,0,0,,0,,,0.30731791257858276,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h4 uses photon<-photon; natural A×grad=-0.0970, value/write=-0.0970 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h6,neutral_hadron<-neutral_hadron,B_tbl_minus_hqql,0.06509949639439583,-0.06438499502837658,0.08115189336240292,12.02037000656128,0.009687422774732113,-0.06438499502837658,-0.06438499502837658,0.1168654658831656,-0.06438499502837658,-0.06438499502837658,-0.06438499502837658,0.09657749254256487,mod.cls_blocks.0.attn,6,,,,,0,0,,0,,,0.1455368883907795,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h6 uses neutral_hadron<-neutral_hadron; natural A×grad=-0.0644, value/write=-0.0644 so it resists Tbl / protective. Routes: "
