objective,module,kind,analysis_group,n,mean_score,mean_abs_score,mean_delta_norm,mean_grad_norm
signed_hqql_tbl,mod.cls_blocks.0,cls,C_Tbl_correct,16,0.39725717063993216,0.39725717063993216,39.052372455596924,0.08501988905481994
signed_hqql_tbl,mod.cls_blocks.1,cls,C_Tbl_correct,16,-0.3647438397165388,0.3647438397165388,124.1126356124878,0.038940695696510375
signed_hqql_tbl,mod.blocks.0,particle,B_Hqql_to_Tbl,16,-0.08323979820124805,0.8534412663429976,124.27404165267944,0.0015504593138757627
B_tbl_minus_hqql,mod.blocks.0,particle,B_Hqql_to_Tbl,16,-0.08323980669956654,0.8534411648288369,131.43521213531494,0.0017452996617066674
signed_hqql_tbl,mod.blocks.0,particle,C_Tbl_correct,16,-0.09937616460956633,0.7338614892214537,131.13861989974976,0.0021611082192976028
signed_hqql_tbl,mod.cls_blocks.1,cls,A_Hqql_correct,16,-0.21389682032167912,0.21389682032167912,153.672954082489,0.0315531671512872
signed_hqql_tbl,mod.blocks.7,particle,A_Hqql_correct,16,0.18549849023111165,0.3046959023922682,262.87220096588135,8.056688329816097e-05
signed_hqql_tbl,mod.blocks.7,particle,C_Tbl_correct,16,0.1688065892085433,0.3539662202820182,308.21194076538086,0.00032354392806155374
signed_hqql_tbl,mod.blocks.0,particle,A_Hqql_correct,16,-0.07320300897117704,0.7161168400198221,108.9801173210144,0.0007237284480652306
signed_hqql_tbl,mod.blocks.7,particle,D_Tbl_to_Hqql,16,0.14442710392177105,0.3266168888658285,288.8622007369995,0.0001671603772592789
signed_hqql_tbl,mod.blocks.0,particle,D_Tbl_to_Hqql,16,-0.03853719698963687,0.7319458834826946,130.520028591156,0.0014220242665032856
signed_hqql_tbl,mod.blocks.1,particle,C_Tbl_correct,16,-0.08486389403697103,0.4297949206084013,132.04541206359863,0.0019382362661417574
signed_hqql_tbl,mod.blocks.1,particle,B_Hqql_to_Tbl,16,-0.0809194315224886,0.4183936482295394,124.48720216751099,0.0013186228461563587
B_tbl_minus_hqql,mod.blocks.1,particle,B_Hqql_to_Tbl,16,-0.08091942395549268,0.4183936072513461,132.0444564819336,0.0014920156500011217
signed_hqql_tbl,mod.blocks.1,particle,A_Hqql_correct,16,-0.06722474144771695,0.39652459789067507,109.84026384353638,0.0006403838488040492
signed_hqql_tbl,mod.blocks.3,particle,C_Tbl_correct,16,-0.08852407056838274,0.2817852087318897,104.01690483093262,0.0015911186346784234
signed_hqql_tbl,mod.cls_blocks.0,cls,A_Hqql_correct,16,0.1252539185807109,0.12962081655859947,47.83380174636841,0.06149923778139055
signed_hqql_tbl,mod.cls_blocks.1,cls,D_Tbl_to_Hqql,16,-0.12412747996859252,0.1266546999104321,154.29621124267578,0.031561297830194235
signed_hqql_tbl,mod.blocks.2,particle,C_Tbl_correct,16,-0.0796163392951712,0.2987655457109213,113.44413471221924,0.0018411991695757024
signed_hqql_tbl,mod.blocks.2,particle,B_Hqql_to_Tbl,16,-0.07167751439556014,0.29964021127671003,105.01473617553711,0.001159992847533431
B_tbl_minus_hqql,mod.blocks.2,particle,B_Hqql_to_Tbl,16,-0.07167751430824865,0.29964017029851675,111.2343168258667,0.001325079778325744
signed_hqql_tbl,mod.blocks.5,particle,C_Tbl_correct,16,-0.09518234693678096,0.20081848138943315,156.85744762420654,0.0009939324299921282
signed_hqql_tbl,mod.blocks.1,particle,D_Tbl_to_Hqql,16,-0.029565782941062935,0.40929905883967876,132.0595440864563,0.0012637624240596779
B_tbl_minus_hqql,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,16,0.10294556152075529,0.10294556152075529,44.8753936290741,0.05985593283548951
signed_hqql_tbl,mod.cls_blocks.0,cls,B_Hqql_to_Tbl,16,0.10294555383734405,0.10294555383734405,44.8753936290741,0.05985593423247337
signed_hqql_tbl,mod.blocks.6,particle,D_Tbl_to_Hqql,16,0.0756462577264756,0.17131470842286944,196.0397253036499,0.00036113334317633417
signed_hqql_tbl,mod.blocks.4,particle,C_Tbl_correct,16,-0.04827202600426972,0.2616355326026678,123.25123691558838,0.0013127625643392093
signed_hqql_tbl,mod.blocks.6,particle,C_Tbl_correct,16,0.05182264599716291,0.21897589694708586,206.97391414642334,0.0006361311061482411
signed_hqql_tbl,mod.blocks.2,particle,A_Hqql_correct,16,-0.040161536482628435,0.2647320032119751,91.87476587295532,0.0005930377919867169
signed_hqql_tbl,mod.blocks.5,particle,B_Hqql_to_Tbl,16,-0.05926572030875832,0.17446944396942854,143.8279538154602,0.0005481718317241757
B_tbl_minus_hqql,mod.blocks.5,particle,B_Hqql_to_Tbl,16,-0.059265709191095084,0.17446941742673516,152.42956590652466,0.0006358480241033249
signed_hqql_tbl,mod.blocks.6,particle,A_Hqql_correct,16,0.06188725458923727,0.15445440029725432,161.8835802078247,0.00017436424786865246
signed_hqql_tbl,mod.blocks.2,particle,D_Tbl_to_Hqql,16,-0.022022887744242325,0.28942365385591984,110.87419891357422,0.0011909356217074674
B_tbl_minus_hqql,mod.blocks.7,particle,B_Hqql_to_Tbl,16,0.025688893176265992,0.27184682013466954,298.0052375793457,0.00018300776991964085
signed_hqql_tbl,mod.blocks.7,particle,B_Hqql_to_Tbl,16,0.02568887628876837,0.2718468336388469,286.59594535827637,0.00015964257477207866
signed_hqql_tbl,mod.blocks.3,particle,D_Tbl_to_Hqql,16,0.01999245275510475,0.2942463383078575,99.76384449005127,0.0010134978183486965
signed_hqql_tbl,mod.blocks.4,particle,B_Hqql_to_Tbl,16,-0.034958429518155754,0.23184254299849272,115.02299213409424,0.0007712613551120739
B_tbl_minus_hqql,mod.blocks.4,particle,B_Hqql_to_Tbl,16,-0.03495841441326775,0.23184253321960568,120.5558819770813,0.0008878984644979937
B_tbl_minus_hqql,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,16,-0.07319429353810847,0.07361719594337046,152.01123714447021,0.03248419752344489
signed_hqql_tbl,mod.cls_blocks.1,cls,B_Hqql_to_Tbl,16,-0.07319429027847946,0.07361719268374145,152.01124095916748,0.032484197872690856
signed_hqql_tbl,mod.blocks.5,particle,D_Tbl_to_Hqql,16,0.044647941074799746,0.18202991597354412,152.1832447052002,0.000598823729887954
