layer,group_id,channels,grad,abs_grad,positive_grad,head_id,rank,class_id,class_label,n,objective_logit_mean
2,4,ch128:160,1.8701085895299911,1.8701085895299911,1.8701085895299911,L2_ch128:160,1,5,label_Hqql,256,3.180993527173996
2,0,ch0:32,0.6473935842514038,0.6473935842514038,0.6473935842514038,L2_ch0:32,2,5,label_Hqql,256,3.180993527173996
0,0,ch0:8,-0.5865562167018652,0.5865562167018652,0.0,L0_ch0:8,3,5,label_Hqql,256,3.180993527173996
1,2,ch32:48,0.5250746794044971,0.5250746794044971,0.5250746794044971,L1_ch32:48,4,5,label_Hqql,256,3.180993527173996
0,6,ch48:56,0.4893455784767866,0.4893455784767866,0.4893455784767866,L0_ch48:56,5,5,label_Hqql,256,3.180993527173996
2,5,ch160:192,0.47683658078312874,0.47683658078312874,0.47683658078312874,L2_ch160:192,6,5,label_Hqql,256,3.180993527173996
0,7,ch56:64,0.448392778635025,0.448392778635025,0.448392778635025,L0_ch56:64,7,5,label_Hqql,256,3.180993527173996
1,7,ch112:128,0.43866102024912834,0.43866102024912834,0.43866102024912834,L1_ch112:128,8,5,label_Hqql,256,3.180993527173996
1,6,ch96:112,0.42956866323947906,0.42956866323947906,0.42956866323947906,L1_ch96:112,9,5,label_Hqql,256,3.180993527173996
2,2,ch64:96,0.40533705055713654,0.40533705055713654,0.40533705055713654,L2_ch64:96,10,5,label_Hqql,256,3.180993527173996
0,3,ch24:32,-0.38697379222139716,0.38697379222139716,0.0,L0_ch24:32,11,5,label_Hqql,256,3.180993527173996
1,1,ch16:32,-0.3468681750819087,0.3468681750819087,0.0,L1_ch16:32,12,5,label_Hqql,256,3.180993527173996
1,5,ch80:96,0.28871897608041763,0.28871897608041763,0.28871897608041763,L1_ch80:96,13,5,label_Hqql,256,3.180993527173996
0,1,ch8:16,0.2834477764554322,0.2834477764554322,0.2834477764554322,L0_ch8:16,14,5,label_Hqql,256,3.180993527173996
0,2,ch16:24,-0.27647212613373995,0.27647212613373995,0.0,L0_ch16:24,15,5,label_Hqql,256,3.180993527173996
0,5,ch40:48,0.25672920420765877,0.25672920420765877,0.25672920420765877,L0_ch40:48,16,5,label_Hqql,256,3.180993527173996
1,4,ch64:80,-0.2216439638286829,0.2216439638286829,0.0,L1_ch64:80,17,5,label_Hqql,256,3.180993527173996
2,7,ch224:256,-0.2126053785905242,0.2126053785905242,0.0,L2_ch224:256,18,5,label_Hqql,256,3.180993527173996
2,1,ch32:64,-0.12133702356368303,0.12133702356368303,0.0,L2_ch32:64,19,5,label_Hqql,256,3.180993527173996
