layer,group_id,channels,grad,abs_grad,positive_grad,head_id,rank,class_id,class_label,n,objective_logit_mean
1,0,ch0:16,-0.11434852425009012,0.11434852425009012,0.0,L1_ch0:16,20,5,label_Hqql,256,3.180993527173996
1,3,ch48:64,0.06765324855223298,0.06765324855223298,0.06765324855223298,L1_ch48:64,21,5,label_Hqql,256,3.180993527173996
0,4,ch32:40,-0.055372767616063356,0.055372767616063356,0.0,L0_ch32:40,22,5,label_Hqql,256,3.180993527173996
2,3,ch96:128,-0.026773988269269466,0.026773988269269466,0.0,L2_ch96:128,23,5,label_Hqql,256,3.180993527173996
2,6,ch192:224,-0.006787766236811876,0.006787766236811876,0.0,L2_ch192:224,24,5,label_Hqql,256,3.180993527173996
2,4,ch128:160,1.5447233319282532,1.5447233319282532,1.5447233319282532,L2_ch128:160,1,9,label_Tbl,256,3.13112074136734
1,2,ch32:48,1.3993553072214127,1.3993553072214127,1.3993553072214127,L1_ch32:48,2,9,label_Tbl,256,3.13112074136734
2,0,ch0:32,1.041146695613861,1.041146695613861,1.041146695613861,L2_ch0:32,3,9,label_Tbl,256,3.13112074136734
0,6,ch48:56,0.8824673816561699,0.8824673816561699,0.8824673816561699,L0_ch48:56,4,9,label_Tbl,256,3.13112074136734
1,7,ch112:128,0.8018221035599709,0.8018221035599709,0.8018221035599709,L1_ch112:128,5,9,label_Tbl,256,3.13112074136734
0,1,ch8:16,0.7731169201433659,0.7731169201433659,0.7731169201433659,L0_ch8:16,6,9,label_Tbl,256,3.13112074136734
2,7,ch224:256,0.6898137703537941,0.6898137703537941,0.6898137703537941,L2_ch224:256,7,9,label_Tbl,256,3.13112074136734
1,1,ch16:32,-0.6028676247224212,0.6028676247224212,0.0,L1_ch16:32,8,9,label_Tbl,256,3.13112074136734
2,1,ch32:64,0.45647553727030754,0.45647553727030754,0.45647553727030754,L2_ch32:64,9,9,label_Tbl,256,3.13112074136734
2,2,ch64:96,0.40483208745718,0.40483208745718,0.40483208745718,L2_ch64:96,10,9,label_Tbl,256,3.13112074136734
0,5,ch40:48,0.36066555231809616,0.36066555231809616,0.36066555231809616,L0_ch40:48,11,9,label_Tbl,256,3.13112074136734
0,2,ch16:24,0.351259782910347,0.351259782910347,0.351259782910347,L0_ch16:24,12,9,label_Tbl,256,3.13112074136734
0,0,ch0:8,0.3306330554187298,0.3306330554187298,0.3306330554187298,L0_ch0:8,13,9,label_Tbl,256,3.13112074136734
2,3,ch96:128,-0.269960580393672,0.269960580393672,0.0,L2_ch96:128,14,9,label_Tbl,256,3.13112074136734
0,3,ch24:32,-0.2568589495494962,0.2568589495494962,0.0,L0_ch24:32,15,9,label_Tbl,256,3.13112074136734
2,6,ch192:224,-0.23468271270394325,0.23468271270394325,0.0,L2_ch192:224,16,9,label_Tbl,256,3.13112074136734
1,3,ch48:64,0.18186477199196815,0.18186477199196815,0.18186477199196815,L1_ch48:64,17,9,label_Tbl,256,3.13112074136734
0,7,ch56:64,0.18010923080146313,0.18010923080146313,0.18010923080146313,L0_ch56:64,18,9,label_Tbl,256,3.13112074136734
1,4,ch64:80,-0.17443837877362967,0.17443837877362967,0.0,L1_ch64:80,19,9,label_Tbl,256,3.13112074136734
1,0,ch0:16,-0.16999893821775913,0.16999893821775913,0.0,L1_ch0:16,20,9,label_Tbl,256,3.13112074136734
1,5,ch80:96,0.12645453866571188,0.12645453866571188,0.12645453866571188,L1_ch80:96,21,9,label_Tbl,256,3.13112074136734
1,6,ch96:112,0.08616638835519552,0.08616638835519552,0.08616638835519552,L1_ch96:112,22,9,label_Tbl,256,3.13112074136734
2,5,ch160:192,0.07118374854326248,0.07118374854326248,0.07118374854326248,L2_ch160:192,23,9,label_Tbl,256,3.13112074136734
0,4,ch32:40,-0.03450731071643531,0.03450731071643531,0.0,L0_ch32:40,24,9,label_Tbl,256,3.13112074136734
0,0,ch0:8,-1.1570508629083633,1.1570508629083633,0.0,L0_ch0:8,1,4,label_H4q,256,0.5722464388236403
2,0,ch0:32,1.054504707455635,1.054504707455635,1.054504707455635,L2_ch0:32,2,4,label_H4q,256,0.5722464388236403
0,6,ch48:56,0.979293055832386,0.979293055832386,0.979293055832386,L0_ch48:56,3,4,label_H4q,256,0.5722464388236403
1,7,ch112:128,0.972509928047657,0.972509928047657,0.972509928047657,L1_ch112:128,4,4,label_H4q,256,0.5722464388236403
1,1,ch16:32,0.9519746787846088,0.9519746787846088,0.9519746787846088,L1_ch16:32,5,4,label_H4q,256,0.5722464388236403
0,2,ch16:24,-0.9508500173687935,0.9508500173687935,0.0,L0_ch16:24,6,4,label_H4q,256,0.5722464388236403
0,5,ch40:48,0.8881407827138901,0.8881407827138901,0.8881407827138901,L0_ch40:48,7,4,label_H4q,256,0.5722464388236403
2,7,ch224:256,0.6132841408252716,0.6132841408252716,0.6132841408252716,L2_ch224:256,8,4,label_H4q,256,0.5722464388236403
1,0,ch0:16,-0.5760897062718868,0.5760897062718868,0.0,L1_ch0:16,9,4,label_H4q,256,0.5722464388236403
1,2,ch32:48,-0.5031279809772968,0.5031279809772968,0.0,L1_ch32:48,10,4,label_H4q,256,0.5722464388236403
1,5,ch80:96,-0.43749425560235977,0.43749425560235977,0.0,L1_ch80:96,11,4,label_H4q,256,0.5722464388236403
0,7,ch56:64,0.37843914702534676,0.37843914702534676,0.37843914702534676,L0_ch56:64,12,4,label_H4q,256,0.5722464388236403
1,4,ch64:80,0.336247846018523,0.336247846018523,0.336247846018523,L1_ch64:80,13,4,label_H4q,256,0.5722464388236403
0,3,ch24:32,0.2607838709373027,0.2607838709373027,0.2607838709373027,L0_ch24:32,14,4,label_H4q,256,0.5722464388236403
2,5,ch160:192,-0.25161124113947153,0.25161124113947153,0.0,L2_ch160:192,15,4,label_H4q,256,0.5722464388236403
1,6,ch96:112,0.22144429991021752,0.22144429991021752,0.22144429991021752,L1_ch96:112,16,4,label_H4q,256,0.5722464388236403
2,4,ch128:160,-0.13231771206483245,0.13231771206483245,0.0,L2_ch128:160,17,4,label_H4q,256,0.5722464388236403
2,2,ch64:96,0.07254376169294119,0.07254376169294119,0.07254376169294119,L2_ch64:96,18,4,label_H4q,256,0.5722464388236403
2,3,ch96:128,-0.07133069401606917,0.07133069401606917,0.0,L2_ch96:128,19,4,label_H4q,256,0.5722464388236403
1,3,ch48:64,0.04233679105527699,0.04233679105527699,0.04233679105527699,L1_ch48:64,20,4,label_H4q,256,0.5722464388236403
2,6,ch192:224,-0.04063894529826939,0.04063894529826939,0.0,L2_ch192:224,21,4,label_H4q,256,0.5722464388236403
0,1,ch8:16,0.03485100157558918,0.03485100157558918,0.03485100157558918,L0_ch8:16,22,4,label_H4q,256,0.5722464388236403
2,1,ch32:64,-0.03463023668155074,0.03463023668155074,0.0,L2_ch32:64,23,4,label_H4q,256,0.5722464388236403
0,4,ch32:40,0.004599567037075758,0.004599567037075758,0.004599567037075758,L0_ch32:40,24,4,label_H4q,256,0.5722464388236403
2,2,ch64:96,0.9094665572047234,0.9094665572047234,0.9094665572047234,L2_ch64:96,1,0,label_QCD,256,-1.5193215757608414
0,6,ch48:56,-0.8989282548427582,0.8989282548427582,0.0,L0_ch48:56,2,0,label_QCD,256,-1.5193215757608414
0,5,ch40:48,0.6786789707839489,0.6786789707839489,0.6786789707839489,L0_ch40:48,3,0,label_QCD,256,-1.5193215757608414
1,1,ch16:32,-0.6487196609377861,0.6487196609377861,0.0,L1_ch16:32,4,0,label_QCD,256,-1.5193215757608414
1,6,ch96:112,-0.5719617307186127,0.5719617307186127,0.0,L1_ch96:112,5,0,label_QCD,256,-1.5193215757608414
1,2,ch32:48,0.5415442660450935,0.5415442660450935,0.5415442660450935,L1_ch32:48,6,0,label_QCD,256,-1.5193215757608414
1,4,ch64:80,-0.5338942222297192,0.5338942222297192,0.0,L1_ch64:80,7,0,label_QCD,256,-1.5193215757608414
0,0,ch0:8,-0.5119593963027,0.5119593963027,0.0,L0_ch0:8,8,0,label_QCD,256,-1.5193215757608414
2,5,ch160:192,-0.2924032863229513,0.2924032863229513,0.0,L2_ch160:192,9,0,label_QCD,256,-1.5193215757608414
2,7,ch224:256,0.27297460474073887,0.27297460474073887,0.27297460474073887,L2_ch224:256,10,0,label_QCD,256,-1.5193215757608414
0,4,ch32:40,0.2724107075482607,0.2724107075482607,0.2724107075482607,L0_ch32:40,11,0,label_QCD,256,-1.5193215757608414
2,0,ch0:32,-0.2690129317343235,0.2690129317343235,0.0,L2_ch0:32,12,0,label_QCD,256,-1.5193215757608414
0,1,ch8:16,0.21120037604123354,0.21120037604123354,0.21120037604123354,L0_ch8:16,13,0,label_QCD,256,-1.5193215757608414
2,1,ch32:64,-0.17899014428257942,0.17899014428257942,0.0,L2_ch32:64,14,0,label_QCD,256,-1.5193215757608414
2,3,ch96:128,0.14534654701128602,0.14534654701128602,0.14534654701128602,L2_ch96:128,15,0,label_QCD,256,-1.5193215757608414
2,4,ch128:160,0.134183491114527,0.134183491114527,0.134183491114527,L2_ch128:160,16,0,label_QCD,256,-1.5193215757608414
1,5,ch80:96,-0.12270044488832355,0.12270044488832355,0.0,L1_ch80:96,17,0,label_QCD,256,-1.5193215757608414
1,3,ch48:64,-0.09779837727546692,0.09779837727546692,0.0,L1_ch48:64,18,0,label_QCD,256,-1.5193215757608414
0,7,ch56:64,-0.08853156305849552,0.08853156305849552,0.0,L0_ch56:64,19,0,label_QCD,256,-1.5193215757608414
1,0,ch0:16,-0.04730554623529315,0.04730554623529315,0.0,L1_ch0:16,20,0,label_QCD,256,-1.5193215757608414
2,6,ch192:224,-0.027648996096104383,0.027648996096104383,0.0,L2_ch192:224,21,0,label_QCD,256,-1.5193215757608414
0,2,ch16:24,-0.026303174439817667,0.026303174439817667,0.0,L0_ch16:24,22,0,label_QCD,256,-1.5193215757608414
0,3,ch24:32,0.020207423949614167,0.020207423949614167,0.020207423949614167,L0_ch24:32,23,0,label_QCD,256,-1.5193215757608414
1,7,ch112:128,0.01775871217250824,0.01775871217250824,0.01775871217250824,L1_ch112:128,24,0,label_QCD,256,-1.5193215757608414
1,1,ch16:32,1.659661129117012,1.659661129117012,1.659661129117012,L1_ch16:32,1,7,label_Wqq,256,-0.06911192554980516
0,5,ch40:48,1.1669776737689972,1.1669776737689972,1.1669776737689972,L0_ch40:48,2,7,label_Wqq,256,-0.06911192554980516
2,7,ch224:256,1.1220963969826698,1.1220963969826698,1.1220963969826698,L2_ch224:256,3,7,label_Wqq,256,-0.06911192554980516
1,7,ch112:128,0.9042019248008728,0.9042019248008728,0.9042019248008728,L1_ch112:128,4,7,label_Wqq,256,-0.06911192554980516
0,3,ch24:32,0.7905941233038902,0.7905941233038902,0.7905941233038902,L0_ch24:32,5,7,label_Wqq,256,-0.06911192554980516
0,1,ch8:16,0.5421709008514881,0.5421709008514881,0.5421709008514881,L0_ch8:16,6,7,label_Wqq,256,-0.06911192554980516
1,4,ch64:80,-0.4824717119336128,0.4824717119336128,0.0,L1_ch64:80,7,7,label_Wqq,256,-0.06911192554980516
2,6,ch192:224,0.3292715549468994,0.3292715549468994,0.3292715549468994,L2_ch192:224,8,7,label_Wqq,256,-0.06911192554980516
2,2,ch64:96,0.31953778862953186,0.31953778862953186,0.31953778862953186,L2_ch64:96,9,7,label_Wqq,256,-0.06911192554980516
0,6,ch48:56,0.2918649725615978,0.2918649725615978,0.2918649725615978,L0_ch48:56,10,7,label_Wqq,256,-0.06911192554980516
1,5,ch80:96,-0.22358867712318897,0.22358867712318897,0.0,L1_ch80:96,11,7,label_Wqq,256,-0.06911192554980516
1,2,ch32:48,-0.1701410710811615,0.1701410710811615,0.0,L1_ch32:48,12,7,label_Wqq,256,-0.06911192554980516
2,4,ch128:160,-0.16949067637324333,0.16949067637324333,0.0,L2_ch128:160,13,7,label_Wqq,256,-0.06911192554980516
2,1,ch32:64,-0.1682922118343413,0.1682922118343413,0.0,L2_ch32:64,14,7,label_Wqq,256,-0.06911192554980516
0,2,ch16:24,0.1613979684188962,0.1613979684188962,0.1613979684188962,L0_ch16:24,15,7,label_Wqq,256,-0.06911192554980516
1,6,ch96:112,-0.11052090395241976,0.11052090395241976,0.0,L1_ch96:112,16,7,label_Wqq,256,-0.06911192554980516
2,0,ch0:32,-0.10669779870659113,0.10669779870659113,0.0,L2_ch0:32,17,7,label_Wqq,256,-0.06911192554980516
1,0,ch0:16,0.08237015921622515,0.08237015921622515,0.08237015921622515,L1_ch0:16,18,7,label_Wqq,256,-0.06911192554980516
2,3,ch96:128,0.06725140521302819,0.06725140521302819,0.06725140521302819,L2_ch96:128,19,7,label_Wqq,256,-0.06911192554980516
0,4,ch32:40,0.04952581878751516,0.04952581878751516,0.04952581878751516,L0_ch32:40,20,7,label_Wqq,256,-0.06911192554980516
2,5,ch160:192,-0.04451479169074446,0.04451479169074446,0.0,L2_ch160:192,21,7,label_Wqq,256,-0.06911192554980516
0,0,ch0:8,0.036581289023160934,0.036581289023160934,0.036581289023160934,L0_ch0:8,22,7,label_Wqq,256,-0.06911192554980516
0,7,ch56:64,0.03103929804638028,0.03103929804638028,0.03103929804638028,L0_ch56:64,23,7,label_Wqq,256,-0.06911192554980516
1,3,ch48:64,0.030671345070004463,0.030671345070004463,0.030671345070004463,L1_ch48:64,24,7,label_Wqq,256,-0.06911192554980516
1,1,ch16:32,1.0984360873699188,1.0984360873699188,1.0984360873699188,L1_ch16:32,1,6,label_Zqq,256,-0.37066845037043095
2,7,ch224:256,1.0056715086102486,1.0056715086102486,1.0056715086102486,L2_ch224:256,2,6,label_Zqq,256,-0.37066845037043095
0,5,ch40:48,0.9495573863387108,0.9495573863387108,0.9495573863387108,L0_ch40:48,3,6,label_Zqq,256,-0.37066845037043095
1,7,ch112:128,0.8062441274523735,0.8062441274523735,0.8062441274523735,L1_ch112:128,4,6,label_Zqq,256,-0.37066845037043095
0,1,ch8:16,0.6468952298164368,0.6468952298164368,0.6468952298164368,L0_ch8:16,5,6,label_Zqq,256,-0.37066845037043095
1,4,ch64:80,-0.3464277908205986,0.3464277908205986,0.0,L1_ch64:80,6,6,label_Zqq,256,-0.37066845037043095
0,2,ch16:24,0.2983144293539226,0.2983144293539226,0.2983144293539226,L0_ch16:24,7,6,label_Zqq,256,-0.37066845037043095
2,2,ch64:96,0.29095152020454407,0.29095152020454407,0.29095152020454407,L2_ch64:96,8,6,label_Zqq,256,-0.37066845037043095
1,6,ch96:112,-0.28199770115315914,0.28199770115315914,0.0,L1_ch96:112,9,6,label_Zqq,256,-0.37066845037043095
1,0,ch0:16,0.28023853339254856,0.28023853339254856,0.28023853339254856,L1_ch0:16,10,6,label_Zqq,256,-0.37066845037043095
1,5,ch80:96,-0.2789967190474272,0.2789967190474272,0.0,L1_ch80:96,11,6,label_Zqq,256,-0.37066845037043095
0,7,ch56:64,-0.26664015650749207,0.26664015650749207,0.0,L0_ch56:64,12,6,label_Zqq,256,-0.37066845037043095
0,0,ch0:8,-0.2539625968784094,0.2539625968784094,0.0,L0_ch0:8,13,6,label_Zqq,256,-0.37066845037043095
1,2,ch32:48,-0.24618822894990444,0.24618822894990444,0.0,L1_ch32:48,14,6,label_Zqq,256,-0.37066845037043095
0,4,ch32:40,0.16041375556960702,0.16041375556960702,0.16041375556960702,L0_ch32:40,15,6,label_Zqq,256,-0.37066845037043095
2,1,ch32:64,-0.13795201666653156,0.13795201666653156,0.0,L2_ch32:64,16,6,label_Zqq,256,-0.37066845037043095
0,3,ch24:32,0.11698064114898443,0.11698064114898443,0.11698064114898443,L0_ch24:32,17,6,label_Zqq,256,-0.37066845037043095
2,5,ch160:192,-0.11086021410301328,0.11086021410301328,0.0,L2_ch160:192,18,6,label_Zqq,256,-0.37066845037043095
0,6,ch48:56,0.10521285329014063,0.10521285329014063,0.10521285329014063,L0_ch48:56,19,6,label_Zqq,256,-0.37066845037043095
2,4,ch128:160,-0.09255705936811864,0.09255705936811864,0.0,L2_ch128:160,20,6,label_Zqq,256,-0.37066845037043095
2,6,ch192:224,0.07717391615733504,0.07717391615733504,0.07717391615733504,L2_ch192:224,21,6,label_Zqq,256,-0.37066845037043095
1,3,ch48:64,0.07429164601489902,0.07429164601489902,0.07429164601489902,L1_ch48:64,22,6,label_Zqq,256,-0.37066845037043095
2,3,ch96:128,-0.026857679709792137,0.026857679709792137,0.0,L2_ch96:128,23,6,label_Zqq,256,-0.37066845037043095
2,0,ch0:32,0.017380182864144444,0.017380182864144444,0.017380182864144444,L2_ch0:32,24,6,label_Zqq,256,-0.37066845037043095
1,7,ch112:128,1.2413812056183815,1.2413812056183815,1.2413812056183815,L1_ch112:128,1,2,label_Hcc,256,-0.00981896324083209
0,5,ch40:48,0.9443121962249279,0.9443121962249279,0.9443121962249279,L0_ch40:48,2,2,label_Hcc,256,-0.00981896324083209
1,1,ch16:32,0.8966165445744991,0.8966165445744991,0.8966165445744991,L1_ch16:32,3,2,label_Hcc,256,-0.00981896324083209
2,7,ch224:256,0.7717313691973686,0.7717313691973686,0.7717313691973686,L2_ch224:256,4,2,label_Hcc,256,-0.00981896324083209
0,1,ch8:16,0.7574020624160767,0.7574020624160767,0.7574020624160767,L0_ch8:16,5,2,label_Hcc,256,-0.00981896324083209
1,6,ch96:112,0.4957165289670229,0.4957165289670229,0.4957165289670229,L1_ch96:112,6,2,label_Hcc,256,-0.00981896324083209
0,6,ch48:56,0.4174903333187103,0.4174903333187103,0.4174903333187103,L0_ch48:56,7,2,label_Hcc,256,-0.00981896324083209
0,2,ch16:24,0.33066932344809175,0.33066932344809175,0.33066932344809175,L0_ch16:24,8,2,label_Hcc,256,-0.00981896324083209
2,1,ch32:64,0.323121789842844,0.323121789842844,0.323121789842844,L2_ch32:64,9,2,label_Hcc,256,-0.00981896324083209
0,0,ch0:8,-0.31036158837378025,0.31036158837378025,0.0,L0_ch0:8,10,2,label_Hcc,256,-0.00981896324083209
2,0,ch0:32,-0.30190572515130043,0.30190572515130043,0.0,L2_ch0:32,11,2,label_Hcc,256,-0.00981896324083209
0,3,ch24:32,0.2531804470345378,0.2531804470345378,0.2531804470345378,L0_ch24:32,12,2,label_Hcc,256,-0.00981896324083209
0,4,ch32:40,0.2370311925187707,0.2370311925187707,0.2370311925187707,L0_ch32:40,13,2,label_Hcc,256,-0.00981896324083209
2,2,ch64:96,0.230256961658597,0.230256961658597,0.230256961658597,L2_ch64:96,14,2,label_Hcc,256,-0.00981896324083209
1,0,ch0:16,0.21694076620042324,0.21694076620042324,0.21694076620042324,L1_ch0:16,15,2,label_Hcc,256,-0.00981896324083209
1,3,ch48:64,0.18537842063233256,0.18537842063233256,0.18537842063233256,L1_ch48:64,16,2,label_Hcc,256,-0.00981896324083209
2,3,ch96:128,-0.1735556647181511,0.1735556647181511,0.0,L2_ch96:128,17,2,label_Hcc,256,-0.00981896324083209
1,5,ch80:96,-0.15810902137309313,0.15810902137309313,0.0,L1_ch80:96,18,2,label_Hcc,256,-0.00981896324083209
2,6,ch192:224,-0.1566345253959298,0.1566345253959298,0.0,L2_ch192:224,19,2,label_Hcc,256,-0.00981896324083209
2,4,ch128:160,0.14935941947624087,0.14935941947624087,0.14935941947624087,L2_ch128:160,20,2,label_Hcc,256,-0.00981896324083209
2,5,ch160:192,0.10405852692201734,0.10405852692201734,0.10405852692201734,L2_ch160:192,21,2,label_Hcc,256,-0.00981896324083209
0,7,ch56:64,-0.09612730331718922,0.09612730331718922,0.0,L0_ch56:64,22,2,label_Hcc,256,-0.00981896324083209
1,2,ch32:48,-0.08771513635292649,0.08771513635292649,0.0,L1_ch32:48,23,2,label_Hcc,256,-0.00981896324083209
1,4,ch64:80,0.015706686535850167,0.015706686535850167,0.015706686535850167,L1_ch64:80,24,2,label_Hcc,256,-0.00981896324083209
