objective,module,head,head_id,pair_role,analysis_group,mean_A,mean_grad_A,mean_AxGrad,abs_mean_AxGrad,n_links
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,electron<-muon,C_Tbl_correct,0.12709627952426672,0.9215684551745653,0.21127500219154172,0.21127500219154172,0.125
B_tbl_minus_hqql,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,muon<-muon,B_Hqql_to_Tbl,0.09683825168758631,-1.9294532537460327,-0.21087430324405432,0.21087430324405432,0.5
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-CLS,A_Hqql_correct,0.13677825685590506,1.66124383546412,0.20310155831975862,0.20310155831975862,1.0
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,CLS<-muon,C_Tbl_correct,0.092606279378136,-1.5384395147363346,-0.19769706022149572,0.19769706022149572,0.75
signed_hqql_tbl,mod.cls_blocks.0.attn,6,mod.cls_blocks.0.attn.h6,muon<-muon,D_Tbl_to_Hqql,0.09493966897328694,2.038167178630829,0.18098768343528113,0.18098768343528113,0.375
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-muon,B_Hqql_to_Tbl,0.0831271215075893,-1.489674679003656,-0.1809188803849143,0.1809188803849143,0.875
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-electron,D_Tbl_to_Hqql,0.06992855496131457,1.7386481750469942,0.18080792017281055,0.18080792017281055,0.8125
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,charged_hadron<-CLS,A_Hqql_correct,0.1251595802605152,2.8617972135543823,0.17537416517734528,0.17537416517734528,0.125
B_tbl_minus_hqql,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,CLS<-electron,B_Hqql_to_Tbl,0.06588579561900008,-1.506594629450278,-0.17286534700542688,0.17286534700542688,0.6875
signed_hqql_tbl,mod.cls_blocks.0.attn,4,mod.cls_blocks.0.attn.h4,muon<-CLS,A_Hqql_correct,0.12658956460654736,1.029766209423542,0.17151510156691074,0.17151510156691074,0.25
