suite,layer,head,T,heatmap_entropy,heatmap_bos_mass,heatmap_self_mass,heatmap_local4_mass,qk_content_only_A_rel,qk_content_only_Y_rel,head_ablation_Y_rel,sae_baseline,transformerlens_baseline
text,11,7,7,1.8560874650574988e-06,0.9999997615814209,0.14285729825496674,0.7142857313156128,1.0425937175750732,16.844703674316406,1.0,not_implemented,not_implemented
text,11,7,8,4.352388600636914e-07,1.0,0.1250000149011612,0.625,1.0677367448806763,17.570276260375977,1.0,not_implemented,not_implemented
symbols,11,7,20,5.673031409969553e-06,0.9999988675117493,0.050000667572021484,0.2500002384185791,1.2370185852050781,28.457414627075195,1.0,not_implemented,not_implemented
symbols,11,7,12,1.8348998764849966e-06,0.9999997019767761,0.08333344757556915,0.416666716337204,1.2071385383605957,23.606931686401367,1.0,not_implemented,not_implemented
symbols,11,7,28,5.283107839204604e-06,0.9999987483024597,0.03571479395031929,0.17857223749160767,1.240715742111206,24.14283561706543,1.0,not_implemented,not_implemented
symbols,11,7,19,2.8366187052597525e-06,0.9999995231628418,0.05263175442814827,0.26315799355506897,1.2387173175811768,22.080055236816406,1.0,not_implemented,not_implemented
code,11,11,11,2.638827936607413e-05,0.9999951124191284,0.09091157466173172,0.45454755425453186,1.2298554182052612,19.21627426147461,1.0,not_implemented,not_implemented
code,11,11,10,4.062217158207204e-06,0.9999993443489075,0.1000005230307579,0.5000001788139343,1.120792269706726,17.722755432128906,1.0,not_implemented,not_implemented
code,11,11,18,1.6783102182671428e-05,0.9999964237213135,0.05555637180805206,0.27777838706970215,1.2534098625183105,19.861312866210938,1.0,not_implemented,not_implemented
code,11,11,18,3.0630541004939005e-05,0.9999932050704956,0.05555909126996994,0.2777791917324066,1.2063478231430054,18.566492080688477,1.0,not_implemented,not_implemented
math,11,11,19,2.3461447199224494e-05,0.9999943971633911,0.05263463407754898,0.2631608247756958,1.277881383895874,20.798887252807617,1.0,not_implemented,not_implemented
math,11,11,12,4.389473906485364e-05,0.9999913573265076,0.08333822339773178,0.41666969656944275,1.2434310913085938,20.61406135559082,1.0,not_implemented,not_implemented
math,11,11,11,6.49654321023263e-05,0.9999865293502808,0.09091883897781372,0.45454850792884827,1.1397215127944946,16.750995635986328,1.0,not_implemented,not_implemented
math,11,11,15,1.1908273336302955e-05,0.999997615814209,0.06666788458824158,0.3333337903022766,1.243288278579712,20.885578155517578,1.0,not_implemented,not_implemented
text,11,11,10,1.8067084965878166e-05,0.9999967813491821,0.10000129789113998,0.5000007152557373,1.153948426246643,19.248872756958008,1.0,not_implemented,not_implemented
text,11,11,11,8.564859308535233e-05,0.9999816417694092,0.09091508388519287,0.45455673336982727,1.2257933616638184,21.264917373657227,1.0,not_implemented,not_implemented
text,11,11,7,2.0276736904634163e-05,0.9999968409538269,0.1428600549697876,0.7142860293388367,1.0616687536239624,16.5904598236084,1.0,not_implemented,not_implemented
text,11,11,8,6.389983354893047e-06,0.9999990463256836,0.12500081956386566,0.6250000596046448,1.1590919494628906,19.00705909729004,1.0,not_implemented,not_implemented
symbols,11,11,20,5.702339331037365e-05,0.9999856352806091,0.05000310763716698,0.25000327825546265,1.245983362197876,25.202898025512695,1.0,not_implemented,not_implemented
symbols,11,11,12,3.608231418184005e-05,0.9999922513961792,0.08333916962146759,0.4166679382324219,1.2627395391464233,22.692672729492188,1.0,not_implemented,not_implemented
symbols,11,11,28,0.00010913079313468188,0.9999657869338989,0.035724036395549774,0.17859138548374176,1.2471660375595093,23.53395652770996,1.0,not_implemented,not_implemented
symbols,11,11,19,4.30157124355901e-05,0.9999887347221375,0.05263298377394676,0.2631590962409973,1.2793656587600708,21.36493682861328,1.0,not_implemented,not_implemented
code,16,3,11,0.005588336382061243,0.9982508420944214,0.09144742041826248,0.45510777831077576,1.152599573135376,24.22650718688965,1.0,not_implemented,not_implemented
code,16,3,10,0.017148718237876892,0.9942545890808105,0.10273241996765137,0.5032573342323303,1.1353100538253784,22.32301902770996,1.0,not_implemented,not_implemented
code,16,3,18,0.008531267754733562,0.9965934753417969,0.057009901851415634,0.2799990475177765,1.1021796464920044,20.332107543945312,1.0,not_implemented,not_implemented
code,16,3,18,0.009436575695872307,0.9961940050125122,0.057855963706970215,0.2809488773345947,1.1593514680862427,22.574552536010742,1.0,not_implemented,not_implemented
math,16,3,19,0.013727490790188313,0.9940488934516907,0.05540018901228905,0.2669505178928375,1.1527626514434814,24.638660430908203,1.0,not_implemented,not_implemented
math,16,3,12,0.0044534336775541306,0.9985594749450684,0.08388962596654892,0.41793352365493774,1.1146448850631714,20.59745979309082,1.0,not_implemented,not_implemented
math,16,3,11,0.01385308988392353,0.995415985584259,0.09198808670043945,0.4572010040283203,1.0344815254211426,20.036632537841797,1.0,not_implemented,not_implemented
math,16,3,15,0.009085839614272118,0.9963046908378601,0.0688832476735115,0.3366994261741638,1.0848215818405151,24.126298904418945,1.0,not_implemented,not_implemented
text,16,3,10,0.00659502437338233,0.9980212450027466,0.10059678554534912,0.5014417767524719,1.0598398447036743,22.674468994140625,1.0,not_implemented,not_implemented
text,16,3,11,0.008565169759094715,0.9971039891242981,0.09185478091239929,0.4568154811859131,1.0986653566360474,20.677658081054688,1.0,not_implemented,not_implemented
text,16,3,7,0.013854725286364555,0.9961230158805847,0.1444709748029709,0.7159785032272339,1.0958017110824585,21.23225975036621,1.0,not_implemented,not_implemented
text,16,3,8,0.0037309403996914625,0.9990913271903992,0.12540321052074432,0.6255850791931152,1.1171027421951294,22.81904411315918,1.0,not_implemented,not_implemented
symbols,16,3,20,0.016712423413991928,0.9928763508796692,0.05221892520785332,0.25367867946624756,1.1788169145584106,20.4606990814209,1.0,not_implemented,not_implemented
symbols,16,3,12,0.009898639284074306,0.9965011477470398,0.08513365685939789,0.41912710666656494,1.148589015007019,24.313392639160156,1.0,not_implemented,not_implemented
symbols,16,3,28,0.18644729256629944,0.8364464044570923,0.03889210894703865,0.19984914362430573,1.1606358289718628,3.5708184242248535,1.0,not_implemented,not_implemented
symbols,16,3,19,0.0188935287296772,0.9907228350639343,0.0541987344622612,0.2694041132926941,1.1521769762039185,19.77756690979004,1.0,not_implemented,not_implemented
code,16,9,11,0.0011612499365583062,0.9997172355651855,0.09104473143815994,0.4546658396720886,1.035235047340393,19.96232032775879,1.0,not_implemented,not_implemented
code,16,9,10,0.005706792697310448,0.9984405636787415,0.10052408277988434,0.500890851020813,1.0708180665969849,21.06546974182129,1.0,not_implemented,not_implemented
code,16,9,18,0.0037095241714268923,0.9987748265266418,0.05598381534218788,0.27877679467201233,1.0610815286636353,18.439119338989258,1.0,not_implemented,not_implemented
code,16,9,18,0.004129454493522644,0.9986269474029541,0.056247223168611526,0.2788262367248535,1.1292154788970947,18.983966827392578,1.0,not_implemented,not_implemented
math,16,9,19,0.0045806341804564,0.9983819723129272,0.05327975004911423,0.26427167654037476,1.1193087100982666,20.664730072021484,1.0,not_implemented,not_implemented
math,16,9,12,0.0030650049448013306,0.9991073608398438,0.0837196335196495,0.4174395799636841,1.0824249982833862,18.53533172607422,1.0,not_implemented,not_implemented
math,16,9,11,0.008409561589360237,0.9973405003547668,0.09153124690055847,0.45649537444114685,1.0132635831832886,14.763388633728027,1.0,not_implemented,not_implemented
math,16,9,15,0.012512046843767166,0.9953145384788513,0.0682491809129715,0.33658280968666077,1.1338485479354858,23.1830997467041,1.0,not_implemented,not_implemented
text,16,9,10,0.004556605126708746,0.9985809326171875,0.100474514067173,0.5008713603019714,0.9668928980827332,17.252832412719727,1.0,not_implemented,not_implemented
text,16,9,11,0.00595382833853364,0.9980809688568115,0.09139220416545868,0.45569515228271484,1.017266035079956,15.526750564575195,1.0,not_implemented,not_implemented
text,16,9,7,0.007091769017279148,0.9980757832527161,0.14332029223442078,0.7152155637741089,0.9973490834236145,20.49436378479004,1.0,not_implemented,not_implemented
text,16,9,8,0.0014619382563978434,0.9996691942214966,0.12514913082122803,0.6252468228340149,0.999822735786438,17.63826560974121,1.0,not_implemented,not_implemented
symbols,16,9,20,0.009695527143776417,0.9963504672050476,0.05115685984492302,0.25174078345298767,1.1489803791046143,19.257200241088867,1.0,not_implemented,not_implemented
symbols,16,9,12,0.010661526583135128,0.9956633448600769,0.08636686205863953,0.4177277982234955,1.1074683666229248,19.282691955566406,1.0,not_implemented,not_implemented
symbols,16,9,28,0.04648755490779877,0.9770523905754089,0.038366541266441345,0.1880864053964615,1.0922244787216187,14.053285598754883,1.0,not_implemented,not_implemented
symbols,16,9,19,0.008258935995399952,0.9969498515129089,0.05339706689119339,0.2652914822101593,1.1103261709213257,19.32187271118164,1.0,not_implemented,not_implemented
code,3,3,11,0.15776720643043518,0.9186255931854248,0.10884837806224823,0.49228635430336,0.19847214221954346,1.3455681800842285,1.0,not_implemented,not_implemented
code,3,3,10,0.16291244328022003,0.9196549654006958,0.11150945723056793,0.5346604585647583,0.26330235600471497,1.7481316328048706,1.0,not_implemented,not_implemented
code,3,3,18,0.24070432782173157,0.8554556369781494,0.07322721183300018,0.34853193163871765,0.3823258578777313,2.3376431465148926,1.0,not_implemented,not_implemented
code,3,3,18,0.25724777579307556,0.8330713510513306,0.0744219496846199,0.353419691324234,0.42486926913261414,2.1612277030944824,1.0,not_implemented,not_implemented
math,3,3,19,0.20331954956054688,0.8787687420845032,0.0671524703502655,0.3045409619808197,0.4972084164619446,3.4212868213653564,1.0,not_implemented,not_implemented
math,3,3,12,0.20353356003761292,0.8840760588645935,0.10564737021923065,0.483480304479599,0.3530057668685913,1.9760125875473022,1.0,not_implemented,not_implemented
math,3,3,11,0.18662747740745544,0.9039823412895203,0.10632719844579697,0.5074347853660583,0.3107539415359497,1.9205825328826904,1.0,not_implemented,not_implemented
math,3,3,15,0.20107212662696838,0.8839071989059448,0.08084198087453842,0.38318249583244324,0.5830594897270203,3.708306312561035,1.0,not_implemented,not_implemented
text,3,3,10,0.19416294991970062,0.8981161117553711,0.1343402862548828,0.553518533706665,0.3269343674182892,2.1939809322357178,1.0,not_implemented,not_implemented
text,3,3,11,0.17451731860637665,0.8994331359863281,0.1129811629652977,0.5228548049926758,0.23533684015274048,1.3510528802871704,1.0,not_implemented,not_implemented
text,3,3,7,0.16321620345115662,0.9248839020729065,0.16789978742599487,0.7569428086280823,0.22070524096488953,1.40009605884552,1.0,not_implemented,not_implemented
text,3,3,8,0.1950611174106598,0.9022277593612671,0.154224693775177,0.6911739110946655,0.365234911441803,2.030226945877075,1.0,not_implemented,not_implemented
symbols,3,3,20,0.25618109107017517,0.8334882855415344,0.06901560723781586,0.3115626573562622,0.6273927688598633,3.276502847671509,1.0,not_implemented,not_implemented
symbols,3,3,12,0.14827461540699005,0.926559329032898,0.09189477562904358,0.44637763500213623,0.39939138293266296,3.1618192195892334,1.0,not_implemented,not_implemented
symbols,3,3,28,0.26303592324256897,0.8180326819419861,0.043674759566783905,0.22362305223941803,0.7824282646179199,3.8581063747406006,1.0,not_implemented,not_implemented
symbols,3,3,19,0.33870819211006165,0.7633273601531982,0.0753387063741684,0.35723453760147095,0.7389243841171265,2.5965113639831543,1.0,not_implemented,not_implemented
code,7,2,11,0.24571993947029114,0.849855363368988,0.12600427865982056,0.5453457832336426,0.24266858398914337,0.7162790894508362,1.0,not_implemented,not_implemented
code,7,2,10,0.3092900216579437,0.7907333970069885,0.13990424573421478,0.6044166684150696,0.3753235340118408,0.9599262475967407,1.0,not_implemented,not_implemented
code,7,2,18,0.2787909209728241,0.7196303009986877,0.10918544232845306,0.5130442380905151,0.5511928200721741,0.9893189072608948,1.0,not_implemented,not_implemented
code,7,2,18,0.2931848466396332,0.7229211330413818,0.10247325152158737,0.5024657845497131,0.5299328565597534,1.03437340259552,1.0,not_implemented,not_implemented
math,7,2,19,0.42068347334861755,0.4994029104709625,0.09458530694246292,0.5982258915901184,0.9700331091880798,1.0234017372131348,1.0,not_implemented,not_implemented
math,7,2,12,0.3400762975215912,0.6946089267730713,0.13833686709403992,0.6743494272232056,0.6017569303512573,0.9896880984306335,1.0,not_implemented,not_implemented
math,7,2,11,0.32831743359565735,0.7660743594169617,0.15318745374679565,0.6068287491798401,0.4094306230545044,0.9661167860031128,1.0,not_implemented,not_implemented
math,7,2,15,0.3889479637145996,0.5477281212806702,0.12712855637073517,0.7067036032676697,0.8650498390197754,0.9843049645423889,1.0,not_implemented,not_implemented
text,7,2,10,0.31958046555519104,0.7612957954406738,0.17048215866088867,0.6889144778251648,0.4442192018032074,1.0186138153076172,1.0,not_implemented,not_implemented
text,7,2,11,0.24911721050739288,0.8444688320159912,0.12521381676197052,0.572581946849823,0.27011269330978394,0.7752907276153564,1.0,not_implemented,not_implemented
text,7,2,7,0.3141237199306488,0.8103710412979126,0.20691142976284027,0.7730494141578674,0.3367268443107605,0.9001197814941406,1.0,not_implemented,not_implemented
text,7,2,8,0.2582224905490875,0.8547114133834839,0.18444125354290009,0.6928704977035522,0.23157913982868195,0.7062602043151855,1.0,not_implemented,not_implemented
symbols,7,2,20,0.4537578523159027,0.532381534576416,0.10750708729028702,0.5211942791938782,0.8899403214454651,1.1787382364273071,1.0,not_implemented,not_implemented
symbols,7,2,12,0.3554183840751648,0.7323209643363953,0.13828037679195404,0.6071645021438599,0.4592067301273346,0.980040431022644,1.0,not_implemented,not_implemented
symbols,7,2,28,0.45658862590789795,0.4451095163822174,0.059628117829561234,0.5895413160324097,1.1030912399291992,1.0914268493652344,1.0,not_implemented,not_implemented
symbols,7,2,19,0.3615914583206177,0.5812215805053711,0.11312251538038254,0.5875295400619507,0.7962217926979065,0.9894453883171082,1.0,not_implemented,not_implemented
code,4,5,11,0.3598625063896179,0.6844949126243591,0.15368355810642242,0.6527084112167358,0.39849627017974854,0.8420407772064209,1.0,not_implemented,not_implemented
code,4,5,10,0.41509467363357544,0.6083381175994873,0.17746677994728088,0.7045438885688782,0.48968979716300964,0.837568998336792,1.0,not_implemented,not_implemented
code,4,5,18,0.30767539143562317,0.7059485912322998,0.1378331333398819,0.497138649225235,0.35509830713272095,0.8438480496406555,1.0,not_implemented,not_implemented
code,4,5,18,0.2838508188724518,0.6859127283096313,0.12499938905239105,0.49256446957588196,0.3494718372821808,0.6758962869644165,1.0,not_implemented,not_implemented
math,4,5,19,0.3226039409637451,0.6345668435096741,0.12466491013765335,0.5585899353027344,0.5283389091491699,0.6816280484199524,1.0,not_implemented,not_implemented
math,4,5,12,0.33536380529403687,0.6783367395401001,0.179363414645195,0.6199067831039429,0.3925188183784485,0.7579196095466614,1.0,not_implemented,not_implemented
math,4,5,11,0.37994274497032166,0.5721323490142822,0.1943584382534027,0.7189611196517944,0.5075117349624634,0.7335672378540039,1.0,not_implemented,not_implemented
math,4,5,15,0.3022839426994324,0.6531746983528137,0.12296754866838455,0.610699474811554,0.4380456209182739,0.6636744141578674,1.0,not_implemented,not_implemented
text,4,5,10,0.33233642578125,0.6776332259178162,0.19372625648975372,0.7560921907424927,0.5305100679397583,0.9994401335716248,1.0,not_implemented,not_implemented
text,4,5,11,0.41059061884880066,0.600034236907959,0.17338795959949493,0.6909982562065125,0.428112268447876,0.7567275166511536,1.0,not_implemented,not_implemented
text,4,5,7,0.353308767080307,0.7328660488128662,0.22817213833332062,0.8085537552833557,0.34669288992881775,0.8052608966827393,1.0,not_implemented,not_implemented
text,4,5,8,0.3382508158683777,0.7629260420799255,0.22467806935310364,0.7056760787963867,0.25019291043281555,0.7521618008613586,1.0,not_implemented,not_implemented
symbols,4,5,20,0.3548486828804016,0.5836246013641357,0.1336759626865387,0.5732886791229248,0.6064723134040833,0.8076022267341614,1.0,not_implemented,not_implemented
symbols,4,5,12,0.23902671039104462,0.8201841115951538,0.1544611155986786,0.5232381820678711,0.24367018043994904,0.8116857409477234,1.0,not_implemented,not_implemented
symbols,4,5,28,0.3373273015022278,0.5231634974479675,0.07741191238164902,0.5640738010406494,0.7633944153785706,0.8332498669624329,1.0,not_implemented,not_implemented
symbols,4,5,19,0.3031280040740967,0.6645904183387756,0.14887094497680664,0.5447507500648499,0.424881249666214,0.7227718234062195,1.0,not_implemented,not_implemented
