suite,layer,head,T,heatmap_entropy,heatmap_bos_mass,heatmap_self_mass,heatmap_local4_mass,qk_content_only_A_rel,qk_content_only_Y_rel,head_ablation_Y_rel,sae_baseline,transformerlens_baseline
code,16,1,11,0.00027896836400032043,0.9999398589134216,0.09092315286397934,0.4545621871948242,0.977448582649231,20.03911781311035,1.0,not_implemented,not_implemented
code,16,1,10,0.0018701114458963275,0.9995326995849609,0.10011646896600723,0.5003344416618347,1.1125741004943848,22.829545974731445,1.0,not_implemented,not_implemented
code,16,1,18,0.0006918451981619,0.99980229139328,0.055611949414014816,0.2779165804386139,1.0906084775924683,20.95724868774414,1.0,not_implemented,not_implemented
code,16,1,18,0.00036641760380007327,0.9999046325683594,0.05558212473988533,0.27781614661216736,1.0564533472061157,19.516857147216797,1.0,not_implemented,not_implemented
math,16,1,19,0.0005498933605849743,0.999843418598175,0.05266326293349266,0.263205885887146,1.1049599647521973,24.3094539642334,1.0,not_implemented,not_implemented
math,16,1,12,0.00046850251965224743,0.9998792409896851,0.08334999531507492,0.41675901412963867,1.0768319368362427,19.734928131103516,1.0,not_implemented,not_implemented
math,16,1,11,0.0017967952881008387,0.9995183348655701,0.09095277637243271,0.4547640383243561,0.9876098036766052,19.143220901489258,1.0,not_implemented,not_implemented
math,16,1,15,0.0004365229106042534,0.9998858571052551,0.06671639531850815,0.3334279954433441,1.030760645866394,24.706687927246094,1.0,not_implemented,not_implemented
text,16,1,10,0.000506392796523869,0.9998893737792969,0.10002317279577255,0.5000802874565125,1.0438790321350098,22.54113006591797,1.0,not_implemented,not_implemented
text,16,1,11,0.000553232675883919,0.999865710735321,0.09093214571475983,0.4546353220939636,1.0296087265014648,19.35405158996582,1.0,not_implemented,not_implemented
text,16,1,7,0.0020307889208197594,0.9995580315589905,0.14295326173305511,0.7145565152168274,1.0763713121414185,20.464021682739258,1.0,not_implemented,not_implemented
text,16,1,8,0.0005138341221027076,0.9998971819877625,0.12502115964889526,0.6250863075256348,1.048716425895691,21.403629302978516,1.0,not_implemented,not_implemented
symbols,16,1,20,0.00039897151873447,0.9998905062675476,0.050012122839689255,0.2500203251838684,1.131463885307312,19.87548828125,1.0,not_implemented,not_implemented
symbols,16,1,12,0.0007222727872431278,0.9998239874839783,0.08338548243045807,0.41674599051475525,1.163519024848938,26.193622589111328,1.0,not_implemented,not_implemented
symbols,16,1,28,0.0011283535277470946,0.9996447563171387,0.035743869841098785,0.17871911823749542,1.1309642791748047,24.29364013671875,1.0,not_implemented,not_implemented
symbols,16,1,19,0.0006503945332951844,0.9998107552528381,0.05265035107731819,0.2632339596748352,1.129338026046753,20.444705963134766,1.0,not_implemented,not_implemented
code,11,7,11,1.5614734820701415e-06,0.9999998807907104,0.09090923517942429,0.4545455873012543,1.1059249639511108,18.150949478149414,1.0,not_implemented,not_implemented
code,11,7,10,8.846301398079959e-07,0.9999999403953552,0.10000000149011612,0.5000001192092896,0.9600870013237,15.963540077209473,1.0,not_implemented,not_implemented
code,11,7,18,4.713397629529936e-06,0.9999991655349731,0.05555577576160431,0.2777782380580902,1.1707651615142822,20.170391082763672,1.0,not_implemented,not_implemented
code,11,7,18,7.509138413297478e-06,0.9999985098838806,0.055555716156959534,0.27777814865112305,1.1658436059951782,19.507761001586914,1.0,not_implemented,not_implemented
math,11,7,19,6.208171726029832e-06,0.9999986886978149,0.05263222008943558,0.26315855979919434,1.2398964166641235,20.841800689697266,1.0,not_implemented,not_implemented
math,11,7,12,2.6043933303299127e-06,0.9999996423721313,0.08333348482847214,0.4166668653488159,1.1494183540344238,19.416187286376953,1.0,not_implemented,not_implemented
math,11,7,11,1.2701217201538384e-05,0.9999979734420776,0.09090983867645264,0.4545459747314453,1.1492615938186646,15.528160095214844,1.0,not_implemented,not_implemented
math,11,7,15,3.609325858633383e-06,0.9999994039535522,0.06666697561740875,0.33333349227905273,1.1948579549789429,18.791780471801758,1.0,not_implemented,not_implemented
text,11,7,10,1.0203352758253459e-06,0.9999999403953552,0.10000002384185791,0.5,1.0542980432510376,18.14836311340332,1.0,not_implemented,not_implemented
text,11,7,11,7.780549822200555e-06,0.9999986290931702,0.09090914577245712,0.4545466899871826,1.1570208072662354,20.931255340576172,1.0,not_implemented,not_implemented
