patch,layer,group,class_id,class_label,n,base_acc,patch_acc,acc_drop,pred_logit_drop,feature_id
feature_channel_zero,input,part_deta,4,label_H4q,256,0.78125,0.55078125,0.23046875,4.6870951652526855,11
feature_channel_zero,input,part_pt_log,4,label_H4q,256,0.78125,0.05078125,0.73046875,4.255558013916016,0
feature_channel_zero,input,part_dphi,4,label_H4q,256,0.78125,0.578125,0.203125,4.181578636169434,12
feature_channel_zero,input,part_deltaR,4,label_H4q,256,0.78125,0.55078125,0.23046875,3.7827839851379395,4
feature_channel_zero,input,part_logerel,4,label_H4q,256,0.78125,0.796875,-0.015625,3.3856825828552246,3
feature_channel_zero,input,part_logptrel,4,label_H4q,256,0.78125,0.6640625,0.1171875,3.3068552017211914,2
feature_channel_zero,input,part_charge,4,label_H4q,256,0.78125,0.39453125,0.38671875,1.5075609683990479,5
feature_channel_zero,input,part_isPhoton,4,label_H4q,256,0.78125,0.55859375,0.22265625,1.457369089126587,8
feature_channel_zero,input,part_isChargedHadron,4,label_H4q,256,0.78125,0.62890625,0.15234375,1.4189138412475586,6
feature_channel_zero,input,part_isNeutralHadron,4,label_H4q,256,0.78125,0.74609375,0.03515625,0.8579487800598145,7
feature_channel_zero,input,part_e_log,4,label_H4q,256,0.78125,0.73828125,0.04296875,0.227743461728096,1
feature_channel_zero,input,part_isElectron,4,label_H4q,256,0.78125,0.78515625,-0.00390625,-0.007892691530287266,9
feature_channel_zero,input,part_isMuon,4,label_H4q,256,0.78125,0.78125,0.0,-0.0021417695097625256,10
feature_channel_zero,input,part_logerel,1,label_Hbb,256,0.6484375,0.48046875,0.16796875,6.051860332489014,3
feature_channel_zero,input,part_deta,1,label_Hbb,256,0.6484375,0.58984375,0.05859375,5.3536553382873535,11
feature_channel_zero,input,part_logptrel,1,label_Hbb,256,0.6484375,0.125,0.5234375,5.029202461242676,2
feature_channel_zero,input,part_deltaR,1,label_Hbb,256,0.6484375,0.44140625,0.20703125,3.9249768257141113,4
feature_channel_zero,input,part_dphi,1,label_Hbb,256,0.6484375,0.58203125,0.06640625,3.84521484375,12
feature_channel_zero,input,part_pt_log,1,label_Hbb,256,0.6484375,0.1328125,0.515625,3.1610608100891113,0
feature_channel_zero,input,part_isPhoton,1,label_Hbb,256,0.6484375,0.3671875,0.28125,1.5808098316192627,8
feature_channel_zero,input,part_isChargedHadron,1,label_Hbb,256,0.6484375,0.68359375,-0.03515625,1.2707518339157104,6
feature_channel_zero,input,part_charge,1,label_Hbb,256,0.6484375,0.44921875,0.19921875,0.8600665330886841,5
feature_channel_zero,input,part_isNeutralHadron,1,label_Hbb,256,0.6484375,0.60546875,0.04296875,0.7490712404251099,7
feature_channel_zero,input,part_e_log,1,label_Hbb,256,0.6484375,0.6171875,0.03125,0.3623327314853668,1
feature_channel_zero,input,part_isElectron,1,label_Hbb,256,0.6484375,0.6015625,0.046875,-0.05075833946466446,9
feature_channel_zero,input,part_isMuon,1,label_Hbb,256,0.6484375,0.578125,0.0703125,0.01652212254703045,10
feature_channel_zero,input,part_logerel,2,label_Hcc,256,0.58203125,0.07421875,0.5078125,6.913928031921387,3
feature_channel_zero,input,part_deta,2,label_Hcc,256,0.58203125,0.28125,0.30078125,5.485363483428955,11
feature_channel_zero,input,part_logptrel,2,label_Hcc,256,0.58203125,0.0859375,0.49609375,5.138510704040527,2
feature_channel_zero,input,part_pt_log,2,label_Hcc,256,0.58203125,0.0234375,0.55859375,4.207234859466553,0
feature_channel_zero,input,part_dphi,2,label_Hcc,256,0.58203125,0.359375,0.22265625,3.651404857635498,12
feature_channel_zero,input,part_deltaR,2,label_Hcc,256,0.58203125,0.35546875,0.2265625,3.368144989013672,4
feature_channel_zero,input,part_isChargedHadron,2,label_Hcc,256,0.58203125,0.17578125,0.40625,2.2497119903564453,6
feature_channel_zero,input,part_isPhoton,2,label_Hcc,256,0.58203125,0.28515625,0.296875,1.646491289138794,8
feature_channel_zero,input,part_isNeutralHadron,2,label_Hcc,256,0.58203125,0.3515625,0.23046875,1.308668851852417,7
feature_channel_zero,input,part_charge,2,label_Hcc,256,0.58203125,0.30078125,0.28125,1.3084564208984375,5
feature_channel_zero,input,part_e_log,2,label_Hcc,256,0.58203125,0.46875,0.11328125,0.3945314884185791,1
feature_channel_zero,input,part_isElectron,2,label_Hcc,256,0.58203125,0.57421875,0.0078125,0.10284292697906494,9
feature_channel_zero,input,part_isMuon,2,label_Hcc,256,0.58203125,0.5703125,0.01171875,0.04265210032463074,10
feature_channel_zero,input,part_deta,3,label_Hgg,256,0.69140625,0.05859375,0.6328125,5.850365161895752,11
feature_channel_zero,input,part_dphi,3,label_Hgg,256,0.69140625,0.02734375,0.6640625,4.811249256134033,12
feature_channel_zero,input,part_deltaR,3,label_Hgg,256,0.69140625,0.5390625,0.15234375,4.532727241516113,4
feature_channel_zero,input,part_pt_log,3,label_Hgg,256,0.69140625,0.0078125,0.68359375,3.0316076278686523,0
feature_channel_zero,input,part_logerel,3,label_Hgg,256,0.69140625,0.65234375,0.0390625,2.985786199569702,3
feature_channel_zero,input,part_logptrel,3,label_Hgg,256,0.69140625,0.5234375,0.16796875,2.6095328330993652,2
feature_channel_zero,input,part_isChargedHadron,3,label_Hgg,256,0.69140625,0.32421875,0.3671875,1.5825328826904297,6
feature_channel_zero,input,part_isPhoton,3,label_Hgg,256,0.69140625,0.61328125,0.078125,1.5689952373504639,8
feature_channel_zero,input,part_charge,3,label_Hgg,256,0.69140625,0.80078125,-0.109375,1.00469970703125,5
feature_channel_zero,input,part_isNeutralHadron,3,label_Hgg,256,0.69140625,0.546875,0.14453125,0.9485577344894409,7
