particle_role,head_id,class_label,A_flow,B_flow,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,auto_formulation
hard_hadron,L0_ch32:64,label_Hqql,179.53701764438358,138.75047028738967,56.303106954132595,-40.78654735699391,82.44736333325707,0,40.78654735699391,3362.7432890511727,PATH: hard_hadron -> L0_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-40.7865; B-C=82.4474; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L1_ch0:32,label_Hqql,292.0515508506083,262.14968782721684,506.64805200044503,-29.901863023391456,-244.4983641732282,0,29.901863023391456,7310.956594951151,PATH: photon_neighbor -> L1_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-29.9019; B-C=-244.4984; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch64:96,label_Hqql,116.14292959414169,88.23946783154685,-73.76402955937502,-27.903461762594844,162.00349739092186,0,27.903461762594844,4520.458394854222,PATH: hard_hadron -> L1_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-27.9035; B-C=162.0035; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L1_ch32:64,label_Hqql,68.50050704193691,43.8928205683629,-10.206815898003857,-24.607686473574013,54.09963646636676,0,24.607686473574013,1331.2668924986847,PATH: hadron_neighbor -> L1_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-24.6077; B-C=54.0996; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L1_ch96:128,label_Hqql,332.14564543880886,309.62603133174207,278.91024918170694,-22.519614107066786,30.715782150035125,0,22.519614107066786,691.7075610155212,PATH: particle0_best_lepton -> L1_ch96:128 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-22.5196; B-C=30.7158; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L0_ch32:64,label_Hqql,190.2114888764445,171.4859610638067,75.68068500691341,-18.72552781263778,95.8052760568933,0,18.72552781263778,1794.004361400796,PATH: hadron_neighbor -> L0_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-18.7255; B-C=95.8053; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch32:64,label_Hqql,70.38928466318006,56.04723976426144,-10.677992168798404,-14.342044898918623,66.72523193305985,0,14.342044898918623,956.976272274703,PATH: hard_hadron -> L1_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-14.3420; B-C=66.7252; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L1_ch32:64,label_Hqql,66.24635270142932,57.04303435712075,-11.640482272996632,-9.203318344308563,68.68351663011738,0,9.203318344308563,632.1162685535816,PATH: photon_neighbor -> L1_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-9.2033; B-C=68.6835; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch96:128,label_Hqql,315.73506384016207,307.3778525220771,215.50497113489183,-8.357211318084978,91.87288138718526,0,8.357211318084978,767.8010841540633,PATH: hard_hadron -> L1_ch96:128 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-8.3572; B-C=91.8729; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch160:192,label_Hqql,2.4495087360230343,-5.161104655329041,-4.140937305180542,-7.610613391352075,-1.0201673501484985,0,7.610613391352075,7.764099296460324,PATH: best_lepton -> L2_ch160:192 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-7.6106; B-C=-1.0202; NEXT_PROBE: inspect particle geometry/source blocks.
