module_name,module_type,input_shape,output_shape,params_count,decoder_kind,reconstruction_error,accepted_exact,fail_reason,tensor_path,primitive_fit_rel_err,primitive_fit_kind,uses_target_mined_atoms,uses_shared_mined_atoms,interpretation_trusted,honesty_note,extra_json
mod.embed.embed.1,Linear,[128x8x13],128x8x128,1792,EXACT_CONSTANT_MATRIX,6.659028173316983e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_1.pt,0.10291833430528641,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"SVD is compression/pattern fit, not human primitive interpretation.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 12, ""rec_err"": 0.10291833430528641, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [10.561466217041016, 9.52822208404541, 8.729522705078125, 8.427630424499512, 6.93887996673584, 6.275947093963623, 6.067927837371826, 5.823875904083252, 5.01933479309082, 3.852959632873535, 3.7120091915130615, 3.2318224906921387, 2.474799633026123]}, ""W_shape"": [128, 13], ""W_aug_shape"": [128, 14]}"
mod.embed.embed.4,Linear,[128x8x128],128x8x512,66048,EXACT_CONSTANT_MATRIX,7.357026987619975e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_4.pt,0.5217824578285217,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"SVD is compression/pattern fit, not human primitive interpretation.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 12, ""rec_err"": 0.5217824578285217, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [31.872041702270508, 29.80423927307129, 27.74774742126465, 26.28135108947754, 23.710996627807617, 22.345502853393555, 21.608631134033203, 21.100387573242188, 20.48282814025879, 18.30121612548828, 17.629680633544922, 16.68429946899414, 16.007389068603516, 14.284167289733887, 13.676260948181152, 12.183629989624023]}, ""W_shape"": [512, 128], ""W_aug_shape"": [512, 129]}"
mod.embed.embed.7,Linear,[128x8x512],128x8x128,65664,EXACT_CONSTANT_MATRIX,6.811891495317468e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_embed_embed_7.pt,0.6829969882965088,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"SVD is compression/pattern fit, not human primitive interpretation.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 12, ""rec_err"": 0.6829969882965088, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [25.618213653564453, 22.350799560546875, 21.205549240112305, 20.641225814819336, 19.5504207611084, 18.503150939941406, 18.381732940673828, 17.770950317382812, 17.251052856445312, 16.932573318481445, 16.0467586517334, 14.79616641998291, 14.758074760437012, 14.19400691986084, 14.137242317199707, 13.863916397094727]}, ""W_shape"": [128, 512], ""W_aug_shape"": [128, 513]}"
mod.blocks.0.fc1,Linear,[128x8x128],128x8x512,66048,EXACT_CONSTANT_MATRIX,9.311797555255907e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_blocks_0_fc1.pt,0.7707744836807251,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"SVD is compression/pattern fit, not human primitive interpretation.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 12, ""rec_err"": 0.7707744836807251, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [31.630245208740234, 25.259153366088867, 23.624481201171875, 21.401535034179688, 20.813190460205078, 19.76531219482422, 19.14541244506836, 18.790916442871094, 18.39497947692871, 18.08161163330078, 17.626089096069336, 17.548261642456055, 16.902002334594727, 16.594106674194336, 16.23445701599121, 15.82492446899414]}, ""W_shape"": [512, 128], ""W_aug_shape"": [512, 129]}"
mod.blocks.0.fc2,Linear,[128x8x512],128x8x128,65664,EXACT_CONSTANT_MATRIX,1.2687488037954608e-07,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_blocks_0_fc2.pt,0.82787024974823,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"SVD is compression/pattern fit, not human primitive interpretation.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 12, ""rec_err"": 0.82787024974823, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [20.213987350463867, 18.107120513916016, 17.6610107421875, 16.652042388916016, 15.83516788482666, 15.712837219238281, 15.347978591918945, 14.80482292175293, 14.359992980957031, 14.109902381896973, 14.084028244018555, 13.557628631591797, 13.356727600097656, 13.16154670715332, 12.8568115234375, 12.66503620147705]}, ""W_shape"": [128, 512], ""W_aug_shape"": [128, 513]}"
mod.blocks.1.fc1,Linear,[128x8x128],128x8x512,66048,EXACT_CONSTANT_MATRIX,1.0815636386496408e-07,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_blocks_1_fc1.pt,0.7872896194458008,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"SVD is compression/pattern fit, not human primitive interpretation.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 12, ""rec_err"": 0.7872896194458008, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [31.530075073242188, 25.866130828857422, 22.25756072998047, 21.311275482177734, 20.889842987060547, 19.86945343017578, 19.07691192626953, 18.86815643310547, 18.56388282775879, 18.0581111907959, 17.55016326904297, 17.012496948242188, 16.396196365356445, 16.28353500366211, 16.011659622192383, 15.78797721862793]}, ""W_shape"": [512, 128], ""W_aug_shape"": [512, 129]}"
mod.blocks.1.fc2,Linear,[128x8x512],128x8x128,65664,EXACT_CONSTANT_MATRIX,1.206899611361223e-07,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_blocks_1_fc2.pt,0.838494062423706,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"SVD is compression/pattern fit, not human primitive interpretation.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 12, ""rec_err"": 0.838494062423706, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [19.044036865234375, 18.61309814453125, 16.935199737548828, 16.656906127929688, 16.359464645385742, 16.06999969482422, 15.943780899047852, 15.703699111938477, 15.366411209106445, 14.89245319366455, 14.471914291381836, 14.33796501159668, 14.25676155090332, 13.997876167297363, 13.844733238220215, 13.512981414794922]}, ""W_shape"": [128, 512], ""W_aug_shape"": [128, 513]}"
mod.blocks.2.fc1,Linear,[128x8x128],128x8x512,66048,EXACT_CONSTANT_MATRIX,1.0719793408497935e-07,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_blocks_2_fc1.pt,0.7662627100944519,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"SVD is compression/pattern fit, not human primitive interpretation.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 12, ""rec_err"": 0.7662627100944519, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [35.15961837768555, 28.886661529541016, 26.61164665222168, 24.907072067260742, 21.96961212158203, 20.821552276611328, 20.50482749938965, 20.02412223815918, 18.73836898803711, 18.32335662841797, 18.24901008605957, 17.3621883392334, 16.927637100219727, 16.426326751708984, 16.2933349609375, 16.093036651611328]}, ""W_shape"": [512, 128], ""W_aug_shape"": [512, 129]}"
mod.blocks.2.fc2,Linear,[128x8x512],128x8x128,65664,EXACT_CONSTANT_MATRIX,1.224548782374768e-07,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_blocks_2_fc2.pt,0.8437349796295166,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"SVD is compression/pattern fit, not human primitive interpretation.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 12, ""rec_err"": 0.8437349796295166, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [18.897930145263672, 17.6916561126709, 16.93805503845215, 16.443288803100586, 16.10186195373535, 15.629132270812988, 15.403117179870605, 15.038246154785156, 14.668087005615234, 14.40189266204834, 14.235870361328125, 14.11374282836914, 13.748290061950684, 13.62945556640625, 13.354835510253906, 13.209982872009277]}, ""W_shape"": [128, 512], ""W_aug_shape"": [128, 513]}"
mod.blocks.3.fc1,Linear,[128x8x128],128x8x512,66048,EXACT_CONSTANT_MATRIX,1.1092285490121867e-07,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/linear/mod_blocks_3_fc1.pt,0.7946984171867371,APPROX_PATTERN_FIT_RECTANGULAR_SVD,False,False,False,"SVD is compression/pattern fit, not human primitive interpretation.","{""fit"": {""enabled"": true, ""fit_kind"": ""APPROX_PATTERN_FIT_RECTANGULAR_SVD"", ""rank"": 12, ""rec_err"": 0.7946984171867371, ""functional_err"": NaN, ""selected_terms"": [], ""uses_target_mined_atoms"": false, ""interpretation_trusted"": false, ""honesty_note"": ""SVD is compression/pattern fit, not human primitive interpretation."", ""singular_values_top"": [33.1858024597168, 25.03116798400879, 23.14107894897461, 22.23674964904785, 20.89017677307129, 20.037029266357422, 19.923614501953125, 19.808856964111328, 18.71489906311035, 18.382017135620117, 18.02912139892578, 17.36696434020996, 17.1032657623291, 16.90607261657715, 16.665390014648438, 16.4144229888916]}, ""W_shape"": [512, 128], ""W_aug_shape"": [512, 129]}"
