file,tree,branches_n,branches_sample,label_branches_found,score_branches_found,score_prefix,n,accuracy
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,Events;1,31,label_QCD;score_label_QCD;label_Hbb;score_label_Hbb;label_Hcc;score_label_Hcc;label_Hgg;score_label_Hgg;label_H4q;score_label_H4q;label_Hqql;score_label_Hqql;label_Zqq;score_label_Zqq;label_Wqq;score_label_Wqq;label_Tbqq;score_label_Tbqq;label_Tbl;score_label_Tbl;_label_;jet_pt;jet_eta;jet_phi;jet_energy;jet_nparticles;jet_sdmass;jet_tau1;jet_tau2;jet_tau3,10,10,score_,500000,0.000378
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,Events;1,31,label_QCD;score_label_QCD;label_Hbb;score_label_Hbb;label_Hcc;score_label_Hcc;label_Hgg;score_label_Hgg;label_H4q;score_label_H4q;label_Hqql;score_label_Hqql;label_Zqq;score_label_Zqq;label_Wqq;score_label_Wqq;label_Tbqq;score_label_Tbqq;label_Tbl;score_label_Tbl;_label_;jet_pt;jet_eta;jet_phi;jet_energy;jet_nparticles;jet_sdmass;jet_tau1;jet_tau2;jet_tau3,10,10,score_,500000,0.037204
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,Events;1,31,label_QCD;score_label_QCD;label_Hbb;score_label_Hbb;label_Hcc;score_label_Hcc;label_Hgg;score_label_Hgg;label_H4q;score_label_H4q;label_Hqql;score_label_Hqql;label_Zqq;score_label_Zqq;label_Wqq;score_label_Wqq;label_Tbqq;score_label_Tbqq;label_Tbl;score_label_Tbl;_label_;jet_pt;jet_eta;jet_phi;jet_energy;jet_nparticles;jet_sdmass;jet_tau1;jet_tau2;jet_tau3,10,10,score_,500000,0.0
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,Events;1,31,label_QCD;score_label_QCD;label_Hbb;score_label_Hbb;label_Hcc;score_label_Hcc;label_Hgg;score_label_Hgg;label_H4q;score_label_H4q;label_Hqql;score_label_Hqql;label_Zqq;score_label_Zqq;label_Wqq;score_label_Wqq;label_Tbqq;score_label_Tbqq;label_Tbl;score_label_Tbl;_label_;jet_pt;jet_eta;jet_phi;jet_energy;jet_nparticles;jet_sdmass;jet_tau1;jet_tau2;jet_tau3,10,10,score_,500000,0.255976
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,Events;1,31,label_QCD;score_label_QCD;label_Hbb;score_label_Hbb;label_Hcc;score_label_Hcc;label_Hgg;score_label_Hgg;label_H4q;score_label_H4q;label_Hqql;score_label_Hqql;label_Zqq;score_label_Zqq;label_Wqq;score_label_Wqq;label_Tbqq;score_label_Tbqq;label_Tbl;score_label_Tbl;_label_;jet_pt;jet_eta;jet_phi;jet_energy;jet_nparticles;jet_sdmass;jet_tau1;jet_tau2;jet_tau3,10,10,score_,500000,0.000174
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,Events;1,31,label_QCD;score_label_QCD;label_Hbb;score_label_Hbb;label_Hcc;score_label_Hcc;label_Hgg;score_label_Hgg;label_H4q;score_label_H4q;label_Hqql;score_label_Hqql;label_Zqq;score_label_Zqq;label_Wqq;score_label_Wqq;label_Tbqq;score_label_Tbqq;label_Tbl;score_label_Tbl;_label_;jet_pt;jet_eta;jet_phi;jet_energy;jet_nparticles;jet_sdmass;jet_tau1;jet_tau2;jet_tau3,10,10,score_,500000,0.0
reports/latest/part_weaver_predict_smoke_v3_TTBarLep.root,Events;1,31,label_QCD;score_label_QCD;label_Hbb;score_label_Hbb;label_Hcc;score_label_Hcc;label_Hgg;score_label_Hgg;label_H4q;score_label_H4q;label_Hqql;score_label_Hqql;label_Zqq;score_label_Zqq;label_Wqq;score_label_Wqq;label_Tbqq;score_label_Tbqq;label_Tbl;score_label_Tbl;_label_;jet_pt;jet_eta;jet_phi;jet_energy;jet_nparticles;jet_sdmass;jet_tau1;jet_tau2;jet_tau3,10,10,score_,500000,0.145936
reports/latest/part_weaver_predict_smoke_v3_WToQQ.root,Events;1,31,label_QCD;score_label_QCD;label_Hbb;score_label_Hbb;label_Hcc;score_label_Hcc;label_Hgg;score_label_Hgg;label_H4q;score_label_H4q;label_Hqql;score_label_Hqql;label_Zqq;score_label_Zqq;label_Wqq;score_label_Wqq;label_Tbqq;score_label_Tbqq;label_Tbl;score_label_Tbl;_label_;jet_pt;jet_eta;jet_phi;jet_energy;jet_nparticles;jet_sdmass;jet_tau1;jet_tau2;jet_tau3,10,10,score_,500000,0.0001
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,Events;1,31,label_QCD;score_label_QCD;label_Hbb;score_label_Hbb;label_Hcc;score_label_Hcc;label_Hgg;score_label_Hgg;label_H4q;score_label_H4q;label_Hqql;score_label_Hqql;label_Zqq;score_label_Zqq;label_Wqq;score_label_Wqq;label_Tbqq;score_label_Tbqq;label_Tbl;score_label_Tbl;_label_;jet_pt;jet_eta;jet_phi;jet_energy;jet_nparticles;jet_sdmass;jet_tau1;jet_tau2;jet_tau3,10,10,score_,500000,0.71229
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,Events;1,31,label_QCD;score_label_QCD;label_Hbb;score_label_Hbb;label_Hcc;score_label_Hcc;label_Hgg;score_label_Hgg;label_H4q;score_label_H4q;label_Hqql;score_label_Hqql;label_Zqq;score_label_Zqq;label_Wqq;score_label_Wqq;label_Tbqq;score_label_Tbqq;label_Tbl;score_label_Tbl;_label_;jet_pt;jet_eta;jet_phi;jet_energy;jet_nparticles;jet_sdmass;jet_tau1;jet_tau2;jet_tau3,10,10,score_,500000,0.078674
