n,surrogate_true_acc,particlenet_true_acc,surrogate_agreement_with_particlenet,surrogate_tbl_rate,particlenet_tbl_rate,split
2340,0.6299145299145299,1.0,0.6299145299145299,0.6128205128205129,0.5008547008547009,correct_test
299,0.45484949832775917,0.0,0.5451505016722408,0.3879598662207358,0.5150501672240803,confused_eval
8098,0.614596196591751,0.9630773030377872,0.6179303531736231,0.6111385527290689,0.5041985675475426,all_hqql_tbl
5459,0.6167796299688587,1.0,0.6167796299688587,0.6226415094339622,0.5050375526653234,train_correct
3870,0.5010335917312662,1.0,0.5010335917312662,0.49896640826873384,0.0,Hqql_correct
154,0.564935064935065,0.0,0.43506493506493504,0.43506493506493504,1.0,Hqql_to_Tbl
3929,0.7386103334181726,1.0,0.7386103334181726,0.7386103334181726,1.0,Tbl_correct
145,0.33793103448275863,0.0,0.6620689655172414,0.33793103448275863,0.0,Tbl_to_Hqql
