particle_role,head_id,class_label,A_n,A_flow,B_n,B_flow,C_n,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,diagnosis
hardest_hadron,L1_ch48:64,label_Tbl,2,20.889037291076193,1,-30.44543683122538,17,5.124662323494062,-51.33447412230157,-35.57009915471944,1.4037280540344599,0.0,1825.9723345856462,target_like_trigger_candidate
other_lepton,L0_ch8:16,label_Tbl,1,63.057553051652576,1,5.349757680583025,8,36.923897945602846,-57.70779537106955,-31.57414026501982,1.7715830687031162,0.0,1822.0740254312116,target_like_trigger_candidate
hadron_neighbor,L0_ch16:24,label_Tbl,74,30.76894255136538,18,65.2557924261175,227,15.132031470347451,34.48684987475211,50.123760955770045,0.674575759490554,0.0,1728.6106192396028,anomalous_third_topology_candidate
particle0,L1_ch32:48,label_Hqql,0,0.0,1,38.498135350162556,8,-4.884928862534991,38.498135350162556,43.38306421269755,0.0,0.0,1670.1670779652236,anomalous_third_topology_candidate
other_lepton,L1_ch80:96,label_Hqql,1,93.72842926278281,0,0.0,4,-17.591211735230445,-93.72842926278281,17.591211735230445,0.0,93.72842926278281,1648.7966447721817,source_evidence_loss_candidate
photon_neighbor,L0_ch8:16,label_Hqql,39,45.50670421623547,20,5.365808953392144,156,-34.2308518794343,-40.14089526284332,39.596660832826444,0.0,40.14089526284332,1589.4454152488167,source_evidence_loss_candidate
particle0_best_lepton,L1_ch48:64,label_Hqql,2,26.1883201220337,0,0.0,5,-59.50979309561153,-26.1883201220337,59.50979309561153,0.0,26.1883201220337,1558.4615119838656,source_evidence_loss_candidate
particle0_best_lepton,L1_ch96:112,label_Hqql,4,76.64210021758288,0,0.0,28,19.01952096639341,-76.64210021758288,-19.01952096639341,0.0,76.64210021758288,1457.6960319967427,source_evidence_loss_candidate
particle0,L1_ch48:64,label_Tbl,0,0.0,1,-37.83660288169267,10,-0.588998987011746,-37.83660288169267,-37.24760389468092,0.9892542023254584,0.0,1409.3227968576314,target_like_trigger_candidate
best_lepton,L0_ch8:16,label_Tbl,1,36.627391799531324,0,0.0,8,38.11176960221559,-36.627391799531324,-38.11176960221559,0.9364800460845543,0.0,1395.9347173938183,anomalous_third_topology_candidate
nearest_hadron_to_best_lepton,L0_ch48:56,label_Hqql,1,62.5000304566056,0,0.0,11,22.17097840376329,-62.5000304566056,-22.17097840376329,0.0,62.5000304566056,1385.6868254879505,source_evidence_loss_candidate
nearest_hadron_to_best_lepton,L1_ch80:96,label_Hqql,1,85.29324600471227,0,0.0,11,-16.032588629122447,-85.29324600471227,16.032588629122447,0.0,85.29324600471227,1367.4715260360936,source_evidence_loss_candidate
hardest_hadron,L0_ch16:24,label_Tbl,0,0.0,1,56.115103017144065,5,31.881225816143616,56.115103017144065,24.23387720100045,2.2238002733452022,0.0,1359.886515638959,target_like_trigger_candidate
best_lepton,L0_ch40:48,label_Tbl,1,40.638665523246345,0,0.0,8,33.43193907565714,-40.638665523246345,-33.43193907565714,1.1802607292592844,0.0,1358.6293898891802,target_like_trigger_candidate
particle0_best_lepton,L1_ch80:96,label_Hqql,1,31.139396651072502,1,52.23167957587793,21,-12.021956841961215,21.09228292480543,64.25363641783915,0.0,0.0,1355.255878272645,anomalous_third_topology_candidate
second_lepton,L0_ch40:48,label_Tbl,0,0.0,1,-19.672208005659286,19,48.281233891435306,-19.672208005659286,-67.95344189709459,0.2852969694394355,0.0,1336.7942437001273,anomalous_third_topology_candidate
hadron_neighbor,L1_ch80:96,label_Tbl,44,82.47967278969803,14,131.89605637684693,158,105.278624285636,49.4163835871489,26.61743209121093,1.7893185515562595,0.0,1315.3372343241663,target_like_trigger_candidate
nearest_hadron_to_best_lepton,L0_ch0:8,label_Hqql,2,57.21907118926424,1,37.270741971533425,9,-25.829349556253653,-19.948329217730816,63.10009152778708,0.0,19.948329217730816,1258.7413994652436,source_evidence_loss_candidate
