objective,module,module_type,tensor,analysis_group,n,mean_score,mean_abs_score,mean_act_norm,mean_grad_norm
signed_hqql_tbl,mod.fc.0,Linear,output,C_Tbl_correct,16,1.1018944550305605,1.7682049684226513,11.228345155715942,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,C_Tbl_correct,16,1.1018944550305605,1.7682049684226513,11.228345155715942,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,input,C_Tbl_correct,16,1.1437057703733444,1.5122024938464165,3.8576442152261734,0.6178315281867981
signed_hqql_tbl,mod.fc,Sequential,input,C_Tbl_correct,16,1.1437057703733444,1.5122024938464165,3.8576442152261734,0.6178315281867981
signed_hqql_tbl,mod.fc.0,Linear,output,A_Hqql_correct,16,0.8212405797094107,1.4481914602220058,12.390792787075043,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,A_Hqql_correct,16,0.8212405797094107,1.4481914602220058,12.390792787075043,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,input,A_Hqql_correct,16,0.7794292084872723,1.1927624270319939,3.8858632892370224,0.6178315281867981
signed_hqql_tbl,mod.fc,Sequential,input,A_Hqql_correct,16,0.7794292084872723,1.1927624270319939,3.8858632892370224,0.6178315281867981
signed_hqql_tbl,mod.fc.0,Linear,output,D_Tbl_to_Hqql,16,0.27242913097143173,1.6202554143965244,11.697727024555206,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,D_Tbl_to_Hqql,16,0.27242913097143173,1.6202554143965244,11.697727024555206,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,output,B_Hqql_to_Tbl,16,0.2274877205491066,1.8340985774993896,11.500989973545074,0.3535533845424652
signed_hqql_tbl,mod.fc,Sequential,output,B_Hqql_to_Tbl,16,0.2274877205491066,1.8340985774993896,11.500989973545074,0.3535533845424652
B_tbl_minus_hqql,mod.fc.0,Linear,output,B_Hqql_to_Tbl,16,0.2274877279996872,1.8340985253453255,11.500989854335785,0.3535533845424652
B_tbl_minus_hqql,mod.fc,Sequential,output,B_Hqql_to_Tbl,16,0.2274877279996872,1.8340985253453255,11.500989854335785,0.3535533845424652
signed_hqql_tbl,mod.fc.0,Linear,input,B_Hqql_to_Tbl,16,0.2692991066724062,1.0649565495550632,3.3927332907915115,0.6178315281867981
signed_hqql_tbl,mod.fc,Sequential,input,B_Hqql_to_Tbl,16,0.2692991066724062,1.0649565495550632,3.3927332907915115,0.6178315281867981
B_tbl_minus_hqql,mod.fc.0,Linear,input,B_Hqql_to_Tbl,16,0.2692991029471159,1.0649565383791924,3.3927332013845444,0.6178315281867981
B_tbl_minus_hqql,mod.fc,Sequential,input,B_Hqql_to_Tbl,16,0.2692991029471159,1.0649565383791924,3.3927332013845444,0.6178315281867981
signed_hqql_tbl,mod.fc.0,Linear,input,D_Tbl_to_Hqql,16,0.2306178044527769,1.0879640877246857,3.5350440442562103,0.6178315281867981
signed_hqql_tbl,mod.fc,Sequential,input,D_Tbl_to_Hqql,16,0.2306178044527769,1.0879640877246857,3.5350440442562103,0.6178315281867981
