control,class_id,class_label,n,base_acc,ctrl_acc,acc_drop,flip_rate,delta_base_pred_logit_mean
remove_top1,0,label_QCD,256,0.69921875,0.671875,0.02734375,0.1640625,-0.8377634286880493
remove_top1,1,label_Hbb,256,0.6484375,0.56640625,0.08203125,0.19921875,-1.5067298412322998
remove_top1,2,label_Hcc,256,0.58203125,0.4140625,0.16796875,0.3046875,-1.7257604598999023
remove_top1,3,label_Hgg,256,0.69140625,0.6953125,-0.00390625,0.16015625,-0.6431570649147034
remove_top1,4,label_H4q,256,0.78125,0.8046875,-0.0234375,0.15234375,-0.7586678266525269
remove_top1,5,label_Hqql,256,0.95703125,0.28125,0.67578125,0.71875,-10.713247299194336
remove_top1,6,label_Zqq,256,0.609375,0.4453125,0.1640625,0.33984375,-1.7065379619598389
remove_top1,7,label_Wqq,256,0.73046875,0.66796875,0.0625,0.25,-1.8404970169067383
remove_top1,8,label_Tbqq,256,0.90625,0.8828125,0.0234375,0.078125,-1.273313045501709
remove_top1,9,label_Tbl,256,0.96875,0.203125,0.765625,0.79296875,-14.63930606842041
keep_top1,0,label_QCD,256,0.69921875,0.45703125,0.2421875,0.59375,-21.53574562072754
keep_top1,1,label_Hbb,256,0.6484375,0.0,0.6484375,0.97265625,-37.81224822998047
keep_top1,2,label_Hcc,256,0.58203125,0.0078125,0.57421875,0.96484375,-35.935977935791016
keep_top1,3,label_Hgg,256,0.69140625,0.0,0.69140625,0.9609375,-33.2751350402832
keep_top1,4,label_H4q,256,0.78125,0.109375,0.671875,0.90234375,-33.04622268676758
keep_top1,5,label_Hqql,256,0.95703125,0.03125,0.92578125,0.95703125,-19.403974533081055
keep_top1,6,label_Zqq,256,0.609375,0.17578125,0.43359375,0.8046875,-24.77276611328125
keep_top1,7,label_Wqq,256,0.73046875,0.359375,0.37109375,0.65234375,-22.041614532470703
keep_top1,8,label_Tbqq,256,0.90625,0.015625,0.890625,0.98046875,-36.900516510009766
keep_top1,9,label_Tbl,256,0.96875,0.87109375,0.09765625,0.15234375,-0.3821558952331543
random_remove1,0,label_QCD,256,0.69921875,0.703125,-0.00390625,0.03125,-0.005378127098083496
random_remove1,1,label_Hbb,256,0.6484375,0.625,0.0234375,0.078125,-0.13090525567531586
random_remove1,2,label_Hcc,256,0.58203125,0.57421875,0.0078125,0.1171875,-0.09289145469665527
random_remove1,3,label_Hgg,256,0.69140625,0.68359375,0.0078125,0.046875,-0.03361143171787262
random_remove1,4,label_H4q,256,0.78125,0.796875,-0.015625,0.05859375,-0.03177618980407715
random_remove1,5,label_Hqql,256,0.95703125,0.9140625,0.04296875,0.05078125,-0.5667760372161865
random_remove1,6,label_Zqq,256,0.609375,0.5703125,0.0390625,0.08203125,-0.11486969888210297
random_remove1,7,label_Wqq,256,0.73046875,0.75390625,-0.0234375,0.08203125,-0.14043250679969788
random_remove1,8,label_Tbqq,256,0.90625,0.90625,0.0,0.015625,-0.10831594467163086
random_remove1,9,label_Tbl,256,0.96875,0.921875,0.046875,0.046875,-0.9742286205291748
remove_top2,0,label_QCD,256,0.69921875,0.59375,0.10546875,0.28515625,-2.4311978816986084
remove_top2,1,label_Hbb,256,0.6484375,0.45703125,0.19140625,0.41015625,-3.356110095977783
remove_top2,2,label_Hcc,256,0.58203125,0.25390625,0.328125,0.5390625,-3.7820887565612793
remove_top2,3,label_Hgg,256,0.69140625,0.68359375,0.0078125,0.21484375,-1.435968279838562
remove_top2,4,label_H4q,256,0.78125,0.80078125,-0.01953125,0.1875,-1.5885916948318481
remove_top2,5,label_Hqql,256,0.95703125,0.1484375,0.80859375,0.85546875,-14.706323623657227
remove_top2,6,label_Zqq,256,0.609375,0.2578125,0.3515625,0.625,-4.111015319824219
remove_top2,7,label_Wqq,256,0.73046875,0.45703125,0.2734375,0.47265625,-4.173199653625488
remove_top2,8,label_Tbqq,256,0.90625,0.83984375,0.06640625,0.140625,-2.5627729892730713
remove_top2,9,label_Tbl,256,0.96875,0.07421875,0.89453125,0.93359375,-17.383644104003906
keep_top2,0,label_QCD,256,0.69921875,0.63671875,0.0625,0.48046875,-13.179068565368652
keep_top2,1,label_Hbb,256,0.6484375,0.0078125,0.640625,0.9609375,-24.887300491333008
keep_top2,2,label_Hcc,256,0.58203125,0.0,0.58203125,0.97265625,-22.6617488861084
keep_top2,3,label_Hgg,256,0.69140625,0.0,0.69140625,0.94921875,-22.00316047668457
keep_top2,4,label_H4q,256,0.78125,0.22265625,0.55859375,0.8125,-19.496963500976562
keep_top2,5,label_Hqql,256,0.95703125,0.6640625,0.29296875,0.3515625,-5.366921424865723
keep_top2,6,label_Zqq,256,0.609375,0.0859375,0.5234375,0.80859375,-15.28018856048584
keep_top2,7,label_Wqq,256,0.73046875,0.26953125,0.4609375,0.69921875,-14.859904289245605
keep_top2,8,label_Tbqq,256,0.90625,0.015625,0.890625,0.984375,-28.77861976623535
keep_top2,9,label_Tbl,256,0.96875,0.52734375,0.44140625,0.45703125,-1.4629836082458496
random_remove2,0,label_QCD,256,0.69921875,0.69140625,0.0078125,0.06640625,-0.03835654258728027
random_remove2,1,label_Hbb,256,0.6484375,0.55859375,0.08984375,0.1484375,-0.31882354617118835
random_remove2,2,label_Hcc,256,0.58203125,0.5390625,0.04296875,0.1640625,-0.36745280027389526
random_remove2,3,label_Hgg,256,0.69140625,0.66796875,0.0234375,0.046875,-0.06039780378341675
random_remove2,4,label_H4q,256,0.78125,0.8046875,-0.0234375,0.06640625,-0.021295368671417236
random_remove2,5,label_Hqql,256,0.95703125,0.8828125,0.07421875,0.08203125,-1.2212045192718506
random_remove2,6,label_Zqq,256,0.609375,0.53125,0.078125,0.14453125,-0.2650606632232666
random_remove2,7,label_Wqq,256,0.73046875,0.73046875,0.0,0.109375,-0.2526644766330719
random_remove2,8,label_Tbqq,256,0.90625,0.89453125,0.01171875,0.0234375,-0.17651057243347168
random_remove2,9,label_Tbl,256,0.96875,0.89453125,0.07421875,0.08203125,-1.0989317893981934
remove_top4,0,label_QCD,256,0.69921875,0.56640625,0.1328125,0.36328125,-4.324078559875488
remove_top4,1,label_Hbb,256,0.6484375,0.3359375,0.3125,0.55859375,-6.123702526092529
