feature,abs_weight
best_lepton_iso_pt_ratio,0.3051612129272906
missing_pt_proxy,0.2581596783165035
particle0_iso_pt_ratio,0.1625038334316618
leading_iso_pt_ratio,0.1625038334316618
deltaR_p0_lepton,0.1449083678618472
deltaR_lead_lepton,0.1449083678618472
particle0_knn_pt_sum,0.13862068471556938
particle0_is_lepton,0.13528850016327115
leading_is_lepton,0.13528850016327115
particle0_knn_charged_hadron_frac,0.13159810989423504
particle0_is_muon,0.11614088931927719
particle0_knn_photon_frac,0.06998441523145456
particle0_knn_neutral_hadron_frac,0.06864822765930406
particle0_knn_electron_frac,0.045257219290323766
particle0_charge,0.03953764041374144
particle0_pt,0.019527041415439764
particle0_is_electron,0.014888542597517889
particle0_knn_muon_frac,0.004842044763204624
