source,target,kind,weight,formula,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,-0.0805784800031688,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.15559062641113997,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.05426796025130898,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.22311047930270433,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.08437456120736897,,,signed_hqql_tbl,A_Hqql_correct,0.09030076279304922,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,0.07095670042326674,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.12252605124376714,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,0.07095669663976878,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.12252605170942843,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,0.0585707655409351,,,signed_hqql_tbl,C_Tbl_correct,0.11124277417548001,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.026096562694874592,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.23407683381810784,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.0363822236249689,,,signed_hqql_tbl,C_Tbl_correct,0.17615260276943445,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,0.05378002327051945,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.10191066563129425,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,0.05378001305507496,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.1019106563180685,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.021984671911923215,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.22175772860646248,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,0.049502208588819485,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.10808028851170093,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,0.049502195630338974,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.10808027547318488,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,0.05312766126007773,,,signed_hqql_tbl,C_Tbl_correct,0.09033120470121503,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.03257416485575959,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.15866781631484628,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.03257415286498144,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.15866781445220113,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.03253273823065683,,,signed_hqql_tbl,C_Tbl_correct,0.14814321440644562,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,0.04152657015947625,,,signed_hqql_tbl,C_Tbl_correct,0.09996840171515942,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.045070485677570105,,,signed_hqql_tbl,A_Hqql_correct,0.0734317353926599,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,0.0241873498307541,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.15667136991396546,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,0.024187343573430553,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.1566713717766106,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.005267705942969769,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.2004448724910617,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.005267703498248011,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.20044487994164228,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,0.01412572429399006,,,signed_hqql_tbl,A_Hqql_correct,0.14683493576012552,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,-0.012450484442524612,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.12382018170319498,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,0.004233727930113673,,,signed_hqql_tbl,C_Tbl_correct,0.13195354398339987,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.005181897868169472,,,signed_hqql_tbl,C_Tbl_correct,0.12073898292146623,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,0.0043420886067906395,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.11916033620946109,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,0.004342080283095129,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.11916035320609808,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.019444002071395516,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.05118149193003774,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,-0.006045862915925682,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.054415289661847055,,,,,
attention_pair:mod.cls_blocks.0.attn.h6|neutral_hadron<-neutral_hadron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-0.1499946489930153,,,,,,0.0,down,0,0.09804458916187286,
attention_pair:mod.cls_blocks.0.attn.h4|neutral_hadron<-neutral_hadron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-0.20741359889507294,,,,,,0.0,down,0,0.0587992537766695,
attention_pair:mod.cls_blocks.0.attn.h4|charged_hadron<-CLS,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-3.203749656677246e-07,,,,,,0.0,down,0,1.6763806343078613e-07,
attention_pair:mod.cls_blocks.0.attn.h4|CLS<-CLS,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-3.203749656677246e-07,,,,,,0.0,down,0,1.6763806343078613e-07,
attention_pair:mod.cls_blocks.0.attn.h4|photon<-CLS,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-3.203749656677246e-07,,,,,,0.0,down,0,1.6763806343078613e-07,
attention_pair:mod.cls_blocks.0.attn.h6|charged_hadron<-CLS,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-3.203749656677246e-07,,,,,,0.0,down,0,1.6763806343078613e-07,
attention_pair:mod.cls_blocks.0.attn.h6|CLS<-CLS,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-3.203749656677246e-07,,,,,,0.0,down,0,1.6763806343078613e-07,
attention_pair:mod.cls_blocks.0.attn.h6|photon<-CLS,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-3.203749656677246e-07,,,,,,0.0,down,0,1.6763806343078613e-07,
attention_pair:mod.cls_blocks.0.attn.h6|neutral_hadron<-neutral_hadron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,0.12699728459119797,,,,,,0.0,up,0,-0.053463274613022804,
residual_role:mod.cls_blocks.0|neutral_hadron|C_Tbl_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.18343140681584677,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.1|neutral_hadron|C_Tbl_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.17988738417625427,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.1|muon|A_Hqql_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.15471649169921875,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.1|CLS|C_Tbl_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.1459988139104098,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.0|CLS|C_Tbl_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.14379420853219926,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.1|charged_hadron|C_Tbl_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.14055077193511856,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.0|charged_hadron|C_Tbl_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.13637785241007805,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.1|photon|C_Tbl_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.13284048065543175,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.0|photon|C_Tbl_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.13075311109423637,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.0|charged_hadron|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.0,role_to_residual,0.12434547660606247,,,signed_hqql_tbl,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.0|charged_hadron|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.0,role_to_residual,0.12434545478650502,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,,,,,,
residual_role:mod.blocks.1|muon|D_Tbl_to_Hqql,residual_block:mod.blocks.1,role_to_residual,-0.1238789688795805,,,signed_hqql_tbl,D_Tbl_to_Hqql,,,,,,
residual_role:mod.blocks.3|muon|D_Tbl_to_Hqql,residual_block:mod.blocks.3,role_to_residual,-0.12179457768797874,,,signed_hqql_tbl,D_Tbl_to_Hqql,,,,,,
