class_pair,true_label,pred_label,count,true_total,confusion_rate,baseline_rate,delta_vs_baseline,mean_pred_confidence,score,status
label_Zqq->label_Wqq,label_Zqq,label_Wqq,866,4096,0.21142578125,0.2236328125,-0.01220703125,0.6431001656222013,1.4303036508525266,ALERT
label_Wqq->label_Zqq,label_Wqq,label_Zqq,591,4096,0.144287109375,0.146484375,-0.002197265625,0.5849039518540684,0.9210577200235467,ALERT
label_Hcc->label_Hbb,label_Hcc,label_Hbb,475,4096,0.115966796875,0.1162109375,-0.000244140625,0.6093530496170646,0.7149837599511535,ALERT
label_Hbb->label_Hcc,label_Hbb,label_Hcc,474,4096,0.11572265625,0.1240234375,-0.00830078125,0.5931748668918629,0.7132351604278369,ALERT
label_Hgg->label_H4q,label_Hgg,label_H4q,438,4096,0.10693359375,0.107421875,-0.00048828125,0.6069282917263301,0.6506373884098938,ALERT
label_Hbb->label_Hgg,label_Hbb,label_Hgg,375,4096,0.091552734375,0.0859375,0.005615234375,0.5781837134758632,0.5990224435476588,ALERT
label_H4q->label_Hgg,label_H4q,label_Hgg,357,4096,0.087158203125,0.095703125,-0.008544921875,0.5419822254267728,0.5125366885119751,ALERT
label_Hcc->label_Hgg,label_Hcc,label_Hgg,327,4096,0.079833984375,0.0810546875,-0.001220703125,0.5407443068898782,0.4624793578959021,ALERT
label_Hcc->label_Zqq,label_Hcc,label_Zqq,248,4096,0.060546875,0.0478515625,0.0126953125,0.5693584589227554,0.4610176558406366,ALERT
label_QCD->label_Hgg,label_QCD,label_Hgg,281,4096,0.068603515625,0.06640625,0.002197265625,0.5607526164992425,0.4090273161459009,ALERT
label_Hcc->label_H4q,label_Hcc,label_H4q,265,4096,0.064697265625,0.0771484375,-0.012451171875,0.5784126435248357,0.3612369438054566,ALERT
label_Hgg->label_Hbb,label_Hgg,label_Hbb,248,4096,0.060546875,0.05859375,0.001953125,0.5505340437014257,0.3535957808406366,ALERT
label_Hgg->label_Hcc,label_Hgg,label_Hcc,256,4096,0.0625,0.064453125,-0.001953125,0.537053911422845,0.34681725530595126,ALERT
label_Wqq->label_QCD,label_Wqq,label_QCD,247,4096,0.060302734375,0.060546875,-0.000244140625,0.5985653505392885,0.3324748291754762,ALERT
label_Zqq->label_QCD,label_Zqq,label_QCD,212,4096,0.0517578125,0.048828125,0.0029296875,0.5681507156564379,0.3067856296705074,ALERT
label_QCD->label_Wqq,label_QCD,label_Wqq,206,4096,0.05029296875,0.05078125,-0.00048828125,0.5410710045145554,0.2681982596222329,ALERT
label_QCD->label_Zqq,label_QCD,label_Zqq,178,4096,0.04345703125,0.048828125,-0.00537109375,0.4960815529809909,0.2254283870702281,WATCH
label_Hqql->label_Tbl,label_Hqql,label_Tbl,154,4096,0.03759765625,0.0341796875,0.00341796875,0.7353155880005329,0.2238006513685459,WATCH
label_QCD->label_Tbqq,label_QCD,label_Tbqq,155,4096,0.037841796875,0.03515625,0.002685546875,0.5990175192394565,0.21795109402433552,WATCH
label_Hbb->label_Zqq,label_Hbb,label_Zqq,167,4096,0.040771484375,0.0439453125,-0.003173828125,0.5801729137847523,0.20891161732430277,WATCH
