module,head,channels,objective,grad,abs_grad,positive_grad,negative_grad
mod.cls_blocks.0.attn,6,96:112,signed_Hqql_Tbl_margin,0.15601428132504225,0.15601428132504225,0.15601428132504225,0.0
mod.cls_blocks.0.attn,3,48:64,signed_Hqql_Tbl_margin,-0.1546848900616169,0.1546848900616169,0.0,-0.1546848900616169
mod.cls_blocks.0.attn,2,32:48,signed_Hqql_Tbl_margin,0.08998933946713805,0.08998933946713805,0.08998933946713805,0.0
mod.blocks.0.attn,4,64:80,signed_Hqql_Tbl_margin,0.06412542989710346,0.06412542989710346,0.06412542989710346,0.0
mod.cls_blocks.0.attn,0,0:16,signed_Hqql_Tbl_margin,-0.05297669116407633,0.05297669116407633,0.0,-0.05297669116407633
mod.cls_blocks.0.attn,1,16:32,signed_Hqql_Tbl_margin,-0.04713611677289009,0.04713611677289009,0.0,-0.04713611677289009
mod.blocks.0.attn,2,32:48,signed_Hqql_Tbl_margin,-0.04437393264379352,0.04437393264379352,0.0,-0.04437393264379352
mod.blocks.2.attn,1,16:32,signed_Hqql_Tbl_margin,-0.0406106369337067,0.0406106369337067,0.0,-0.0406106369337067
mod.blocks.3.attn,5,80:96,signed_Hqql_Tbl_margin,0.039971290389075875,0.039971290389075875,0.039971290389075875,0.0
mod.blocks.4.attn,4,64:80,signed_Hqql_Tbl_margin,0.03624523666803725,0.03624523666803725,0.03624523666803725,0.0
mod.blocks.1.attn,2,32:48,signed_Hqql_Tbl_margin,-0.033228852378670126,0.033228852378670126,0.0,-0.033228852378670126
mod.blocks.5.attn,4,64:80,signed_Hqql_Tbl_margin,0.03289270959794521,0.03289270959794521,0.03289270959794521,0.0
mod.blocks.7.attn,5,80:96,signed_Hqql_Tbl_margin,0.032470749341882765,0.032470749341882765,0.032470749341882765,0.0
mod.blocks.6.attn,3,48:64,signed_Hqql_Tbl_margin,-0.03196004536584951,0.03196004536584951,0.0,-0.03196004536584951
mod.blocks.1.attn,6,96:112,signed_Hqql_Tbl_margin,0.029858649475499988,0.029858649475499988,0.029858649475499988,0.0
mod.blocks.3.attn,2,32:48,signed_Hqql_Tbl_margin,-0.02978340777917765,0.02978340777917765,0.0,-0.02978340777917765
mod.blocks.5.attn,3,48:64,signed_Hqql_Tbl_margin,-0.028846398898167536,0.028846398898167536,0.0,-0.028846398898167536
mod.blocks.4.attn,6,96:112,signed_Hqql_Tbl_margin,0.02747510586050339,0.02747510586050339,0.02747510586050339,0.0
mod.blocks.2.attn,2,32:48,signed_Hqql_Tbl_margin,-0.027365859219571576,0.027365859219571576,0.0,-0.027365859219571576
mod.blocks.0.attn,1,16:32,signed_Hqql_Tbl_margin,-0.02705048120697029,0.02705048120697029,0.0,-0.02705048120697029
mod.blocks.7.attn,1,16:32,signed_Hqql_Tbl_margin,-0.026622435136232525,0.026622435136232525,0.0,-0.026622435136232525
mod.blocks.4.attn,5,80:96,signed_Hqql_Tbl_margin,0.02520301763433963,0.02520301763433963,0.02520301763433963,0.0
mod.blocks.7.attn,4,64:80,signed_Hqql_Tbl_margin,-0.024952219624537975,0.024952219624537975,0.0,-0.024952219624537975
mod.blocks.4.attn,0,0:16,signed_Hqql_Tbl_margin,-0.024586033716332167,0.024586033716332167,0.0,-0.024586033716332167
mod.blocks.2.attn,5,80:96,signed_Hqql_Tbl_margin,0.024112666171276942,0.024112666171276942,0.024112666171276942,0.0
mod.blocks.4.attn,1,16:32,signed_Hqql_Tbl_margin,-0.024050429463386536,0.024050429463386536,0.0,-0.024050429463386536
mod.blocks.4.attn,2,32:48,signed_Hqql_Tbl_margin,-0.023234280932229012,0.023234280932229012,0.0,-0.023234280932229012
mod.blocks.4.attn,7,112:128,signed_Hqql_Tbl_margin,-0.022931538376724347,0.022931538376724347,0.0,-0.022931538376724347
mod.blocks.3.attn,4,64:80,signed_Hqql_Tbl_margin,0.021929002657998353,0.021929002657998353,0.021929002657998353,0.0
mod.blocks.3.attn,1,16:32,signed_Hqql_Tbl_margin,-0.02045024003018625,0.02045024003018625,0.0,-0.02045024003018625
mod.blocks.2.attn,4,64:80,signed_Hqql_Tbl_margin,0.018525111372582614,0.018525111372582614,0.018525111372582614,0.0
mod.blocks.6.attn,0,0:16,signed_Hqql_Tbl_margin,0.01811663684202358,0.01811663684202358,0.01811663684202358,0.0
mod.blocks.6.attn,6,96:112,signed_Hqql_Tbl_margin,0.01783709364826791,0.01783709364826791,0.01783709364826791,0.0
mod.blocks.6.attn,5,80:96,signed_Hqql_Tbl_margin,-0.017699001589789987,0.017699001589789987,0.0,-0.017699001589789987
mod.blocks.3.attn,3,48:64,signed_Hqql_Tbl_margin,-0.017031058232532814,0.017031058232532814,0.0,-0.017031058232532814
mod.blocks.3.attn,0,0:16,signed_Hqql_Tbl_margin,-0.015169467282248661,0.015169467282248661,0.0,-0.015169467282248661
mod.cls_blocks.1.attn,2,32:48,signed_Hqql_Tbl_margin,-0.015021661820355803,0.015021661820355803,0.0,-0.015021661820355803
mod.blocks.7.attn,0,0:16,signed_Hqql_Tbl_margin,0.014376140898093581,0.014376140898093581,0.014376140898093581,0.0
mod.blocks.1.attn,4,64:80,signed_Hqql_Tbl_margin,0.01392635569209233,0.01392635569209233,0.01392635569209233,0.0
mod.blocks.0.attn,6,96:112,signed_Hqql_Tbl_margin,0.013679756200872362,0.013679756200872362,0.013679756200872362,0.0
