head_id,pair_role,objective,B_mean_A,B_write_dot_grad,B_abs_write_dot_grad,B_value_norm,B_context_grad_norm,B_minus_A_write,B_minus_C_write,write_support_score,B_AxGrad,B_minus_A_AxGrad,B_minus_C_AxGrad,attention_support_score,module,head,head_grad_signed,head_grad_signed_abs,head_grad_pred_logit,head_grad_pred_logit_abs,compiled_rule_count,exact_pair_rule_count,compiled_routes,bundle_evidence_count,bundle_best_B_delta_margin,bundle_best_B_delta_tbl_pred,evidence_score,diagnosis,mechanism_summary
mod.cls_blocks.0.attn.h4,muon<-muon,B_tbl_minus_hqql,0.11143379601148459,-0.46636576377428496,0.4669568813764132,135.0915521474985,0.03344157868279861,-0.46636576377428496,-0.46636576377428496,0.8162878660055308,-0.46636576377428496,-0.46636576377428496,-0.46636576377428496,0.6995486456614275,mod.cls_blocks.0.attn,4,0.5458961151889525,0.5458961151889525,0.3922942689387128,0.3922942689387128,0,0,,0,,,1.0697966739479363,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h4 uses muon<-muon; natural A×grad=-0.4664, value/write=-0.4664 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h4,electron<-electron,B_tbl_minus_hqql,0.09652671714623769,-0.4598289628823598,0.4601349592208862,115.827490234375,0.03271647021174431,-0.4598289628823598,-0.4598289628823598,0.8047771841287613,-0.4598289628823598,-0.4598289628823598,-0.4598289628823598,0.6897434443235397,mod.cls_blocks.0.attn,4,0.5458961151889525,0.5458961151889525,0.3922942689387128,0.3922942689387128,0,0,,0,,,1.0564379509004842,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h4 uses electron<-electron; natural A×grad=-0.4598, value/write=-0.4598 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h4,CLS<-electron,B_tbl_minus_hqql,0.08572173021024182,-0.32885736463192317,0.3322130757760966,88.26425543285552,0.03156200885063126,-0.32885736463192317,-0.32885736463192317,0.5763393158919089,-0.32885736463192317,-0.32885736463192317,-0.32885736463192317,0.49328604694788475,mod.cls_blocks.0.attn,4,0.5458961151889525,0.5458961151889525,0.3922942689387128,0.3922942689387128,0,0,,0,,,0.7975444692052579,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h4 uses CLS<-electron; natural A×grad=-0.3289, value/write=-0.3289 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h4,CLS<-muon,B_tbl_minus_hqql,0.08607690528567348,-0.2885415757801162,0.2932347515293042,91.37031609671456,0.039416736257927756,-0.2885415757801162,-0.2885415757801162,0.5061210515525003,-0.2885415757801162,-0.2885415757801162,-0.2885415757801162,0.4328123636701743,mod.cls_blocks.0.attn,4,0.5458961151889525,0.5458961151889525,0.3922942689387128,0.3922942689387128,0,0,,0,,,0.7182503561066585,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h4 uses CLS<-muon; natural A×grad=-0.2885, value/write=-0.2885 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h6,muon<-muon,B_tbl_minus_hqql,0.09713100011532123,-0.20236307611832252,0.20236307611832252,91.24127666766827,0.028067707585600708,-0.20236307611832252,-0.20236307611832252,0.35413538320706445,-0.20236307611832252,-0.20236307611832252,-0.20236307611832252,0.3035446141774838,mod.cls_blocks.0.attn,6,0.1323856714880094,0.1323856714880094,0.1314595407457091,0.1314595407457091,0,0,,0,,,0.4378225701086474,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h6 uses muon<-muon; natural A×grad=-0.2024, value/write=-0.2024 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h3,charged_hadron<-charged_hadron,B_tbl_minus_hqql,0.062007080940973194,-0.012816871205965677,0.01427088642404193,2.0707149505615234,0.002564548115645136,-0.012816871205965677,-0.012816871205965677,0.022793028414958998,-0.012816871205965677,-0.012816871205965677,-0.012816871205965677,0.019225306808948517,mod.cls_blocks.0.attn,3,-1.6205883321817964,1.6205883321817964,-3.5945737808942795,3.5945737808942795,0,0,,0,,,0.4322348406754567,weak_or_distributed,"mod.cls_blocks.0.attn.h3 uses charged_hadron<-charged_hadron; natural A×grad=-0.0128, value/write=-0.0128 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h3,charged_hadron<-neutral_hadron,B_tbl_minus_hqql,0.04910462647676468,-0.009890806768089533,0.014176812767982484,8.463274383544922,0.010771102085709573,-0.009890806768089533,-0.009890806768089533,0.01838041334412992,-0.009890806768089533,-0.009890806768089533,-0.009890806768089533,0.0148362101521343,mod.cls_blocks.0.attn,3,-1.6205883321817964,1.6205883321817964,-3.5945737808942795,3.5945737808942795,0,0,,0,,,0.4292147025815211,weak_or_distributed,"mod.cls_blocks.0.attn.h3 uses charged_hadron<-neutral_hadron; natural A×grad=-0.0099, value/write=-0.0099 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h6,electron<-electron,B_tbl_minus_hqql,0.08638449509938557,-0.19590908500055473,0.19668227049211662,78.06939951578777,0.02662032867471377,-0.19590908500055473,-0.19590908500055473,0.34303419512386124,-0.19590908500055473,-0.19590908500055473,-0.19590908500055473,0.2938636275008321,mod.cls_blocks.0.attn,6,0.1323856714880094,0.1323856714880094,0.1314595407457091,0.1314595407457091,0,0,,0,,,0.42568777336467367,B_Tbl_resist_or_protective_read_write,"mod.cls_blocks.0.attn.h6 uses electron<-electron; natural A×grad=-0.1959, value/write=-0.1959 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h3,photon<-charged_hadron,B_tbl_minus_hqql,0.06203759538716283,-0.008623190609545544,0.010446269065141678,2.3343223374465416,0.0036096351927724377,-0.008623190609545544,-0.008623190609545544,0.015546353180603736,-0.008623190609545544,-0.008623190609545544,-0.008623190609545544,0.012934785914318316,mod.cls_blocks.0.attn,3,-1.6205883321817964,1.6205883321817964,-3.5945737808942795,3.5945737808942795,0,0,,0,,,0.4242165427201363,weak_or_distributed,"mod.cls_blocks.0.attn.h3 uses photon<-charged_hadron; natural A×grad=-0.0086, value/write=-0.0086 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h3,charged_hadron<-photon,B_tbl_minus_hqql,0.038089869277817864,-0.0069367594883910245,0.008147228309618575,5.029903411865234,0.007693644346935409,-0.0069367594883910245,-0.0069367594883910245,0.012441946309991181,-0.0069367594883910245,-0.0069367594883910245,-0.0069367594883910245,0.010405139232586538,mod.cls_blocks.0.attn,3,-1.6205883321817964,1.6205883321817964,-3.5945737808942795,3.5945737808942795,0,0,,0,,,0.42023107084345873,weak_or_distributed,"mod.cls_blocks.0.attn.h3 uses charged_hadron<-photon; natural A×grad=-0.0069, value/write=-0.0069 so it resists Tbl / protective. Routes: "
