test,n,success_to_Hqql_rate,flip_rate,mean_delta_margin
G1_compact_knn_injection,11,0.09090909090909091,0.18181818181818182,0.3546347292986783
G1_control_same_pid_pt,11,0.18181818181818182,0.18181818181818182,-0.6000592058355158
G2_control_random_removal,6,0.0,0.0,-0.057662566502889
G2_second_lepton_removal,6,0.16666666666666666,0.16666666666666666,0.5771226634581884
G3_compact_knn_plus_second_lepton_removal,6,0.16666666666666666,0.16666666666666666,0.5943231632312139
