event_idx,group,particle_role,pid,particle_idx,head_id,layer,class_label,particle_to_head_weight,head_to_class_weight,flow_weight
14711,B_confused_highiso,photon_neighbor,photon,69,L0_ch0:8,L0,label_Tbl,17.45891761779785,2.1916842460632324,38.26443469624337
14711,B_confused_highiso,hadron_neighbor,charged_hadron,56,L0_ch0:8,L0,label_Hqql,16.93699836730957,0.12546095252037048,2.1249319479986184
14711,B_confused_highiso,hadron_neighbor,charged_hadron,56,L0_ch0:8,L0,label_Tbl,16.93699836730957,2.1916842460632324,37.120552497231074
15288,B_confused_highiso,nearest_hadron_to_best_lepton,charged_hadron,31,L0_ch0:8,L0,label_Hqql,15.490837097167969,2.4059863090515137,37.270741971533425
15288,B_confused_highiso,nearest_hadron_to_best_lepton,charged_hadron,31,L0_ch0:8,L0,label_Tbl,15.490837097167969,1.684184193611145,26.089422984855446
15288,B_confused_highiso,photon_neighbor,photon,39,L0_ch0:8,L0,label_Hqql,15.474868774414062,2.4059863090515137,37.23232240560901
15288,B_confused_highiso,photon_neighbor,photon,39,L0_ch0:8,L0,label_Tbl,15.474868774414062,1.684184193611145,26.062529388074836
15288,B_confused_highiso,hadron_neighbor,charged_hadron,35,L0_ch0:8,L0,label_Hqql,14.832395553588867,2.4059863090515137,35.68654063237136
15288,B_confused_highiso,hadron_neighbor,charged_hadron,35,L0_ch0:8,L0,label_Tbl,14.832395553588867,1.684184193611145,24.9804861447426
15528,B_confused_highiso,photon_neighbor,photon,51,L0_ch0:8,L0,label_Hqql,26.423295974731445,1.3392024040222168,35.386141491550916
15528,B_confused_highiso,photon_neighbor,photon,51,L0_ch0:8,L0,label_Tbl,26.423295974731445,0.7641386985778809,20.191062998269445
15528,B_confused_highiso,photon_neighbor,photon,41,L0_ch0:8,L0,label_Hqql,23.31452178955078,1.3392024040222168,31.222863629194762
15528,B_confused_highiso,photon_neighbor,photon,41,L0_ch0:8,L0,label_Tbl,23.31452178955078,0.7641386985778809,17.81552833823298
15528,B_confused_highiso,photon_neighbor,photon,37,L0_ch0:8,L0,label_Hqql,21.186655044555664,1.3392024040222168,28.373219368858372
15528,B_confused_highiso,photon_neighbor,photon,37,L0_ch0:8,L0,label_Tbl,21.186655044555664,0.7641386985778809,16.18954301296526
15658,B_confused_highiso,photon_neighbor,photon,64,L0_ch0:8,L0,label_Hqql,17.225122451782227,-0.2851453721523285,-4.911663951882872
15658,B_confused_highiso,photon_neighbor,photon,64,L0_ch0:8,L0,label_Tbl,17.225122451782227,1.418269157409668,24.429859905967533
15658,B_confused_highiso,hadron_neighbor,charged_hadron,72,L0_ch0:8,L0,label_Hqql,15.927111625671387,-0.2851453721523285,-4.541542171813745
15658,B_confused_highiso,hadron_neighbor,charged_hadron,72,L0_ch0:8,L0,label_Tbl,15.927111625671387,1.418269157409668,22.588931185310685
15658,B_confused_highiso,hadron_neighbor,charged_hadron,71,L0_ch0:8,L0,label_Hqql,15.923137664794922,-0.2851453721523285,-4.540409015260707
15658,B_confused_highiso,hadron_neighbor,charged_hadron,71,L0_ch0:8,L0,label_Tbl,15.923137664794922,1.418269157409668,22.583295039166842
15893,B_confused_highiso,photon_neighbor,photon,43,L0_ch0:8,L0,label_Hqql,19.095050811767578,-0.04526114463806152,-0.8642638566625465
15893,B_confused_highiso,photon_neighbor,photon,43,L0_ch0:8,L0,label_Tbl,19.095050811767578,1.8060052394866943,34.4857618143169
15893,B_confused_highiso,hadron_neighbor,charged_hadron,37,L0_ch0:8,L0,label_Hqql,16.20047950744629,-0.04526114463806152,-0.7332522461924782
15893,B_confused_highiso,hadron_neighbor,charged_hadron,37,L0_ch0:8,L0,label_Tbl,16.20047950744629,1.8060052394866943,29.25815087264482
15893,B_confused_highiso,hadron_neighbor,charged_hadron,34,L0_ch0:8,L0,label_Hqql,15.208545684814453,-0.04526114463806152,-0.6883561859749534
15893,B_confused_highiso,hadron_neighbor,charged_hadron,34,L0_ch0:8,L0,label_Tbl,15.208545684814453,1.8060052394866943,27.466713191747658
20480,C_Tbl_correct,photon_neighbor,photon,12,L0_ch0:8,L0,label_Hqql,24.50938606262207,-3.3546533584594727,-82.22049426875492
20480,C_Tbl_correct,photon_neighbor,photon,12,L0_ch0:8,L0,label_Tbl,24.50938606262207,2.885216236114502,70.71487860507568
20480,C_Tbl_correct,photon_neighbor,photon,16,L0_ch0:8,L0,label_Hqql,23.798782348632812,-3.3546533584594727,-79.83666513308708
20480,C_Tbl_correct,photon_neighbor,photon,16,L0_ch0:8,L0,label_Tbl,23.798782348632812,2.885216236114502,68.66463323203061
20480,C_Tbl_correct,photon_neighbor,photon,14,L0_ch0:8,L0,label_Hqql,21.09307861328125,-3.3546533584594727,-70.75996701029362
20480,C_Tbl_correct,photon_neighbor,photon,14,L0_ch0:8,L0,label_Tbl,21.09307861328125,2.885216236114502,60.858092884678626
20481,C_Tbl_correct,photon_neighbor,photon,25,L0_ch0:8,L0,label_Hqql,18.29190444946289,2.0634994506835938,37.74533478342346
