module_name,call_index,module_type,captured_input_shape,captured_output_shape,replay_output_shape,replay_rel_err,accepted,fail_reason,mha_rel_err,pair_bias_norm,attn_mask_source,attn_mask_dtype,key_padding_mask_source,key_padding_mask_dtype,normalized_attn_mask_kind,attention_probs_shape
mod.blocks.7.post_attn_norm,0,LayerNorm,[128x32x128],128x32x128,128x32x128,8.211344493247452e-08,True,,,,,,,,,
mod.blocks.7.dropout,0,Dropout,[128x32x128],128x32x128,128x32x128,0.0,True,,,,,,,,,
mod.blocks.7.pre_fc_norm,0,LayerNorm,[128x32x128],128x32x128,128x32x128,8.86082816009548e-08,True,,,,,,,,,
mod.blocks.7.fc1,0,Linear,[128x32x128],128x32x512,128x32x512,1.0447902099031126e-07,True,,,,,,,,,
mod.blocks.7.act,0,GELU,[128x32x512],128x32x512,128x32x512,1.2456384013148636e-07,True,,,,,,,,,
mod.blocks.7.act_dropout,0,Dropout,[128x32x512],128x32x512,128x32x512,0.0,True,,,,,,,,,
mod.blocks.7.post_fc_norm,0,LayerNorm,[128x32x512],128x32x512,128x32x512,8.69955627536001e-08,True,,,,,,,,,
mod.blocks.7.fc2,0,Linear,[128x32x512],128x32x128,128x32x128,3.6651380241892184e-07,True,,,,,,,,,
mod.blocks.7,0,Block,[128x32x128],128x32x128,128x32x128,1.1747286521313072e-07,True,,,,,,,,,
mod.cls_blocks.0.pre_attn_norm,0,LayerNorm,[129x32x128],129x32x128,129x32x128,9.027177583220691e-08,True,,,,,,,,,
mod.cls_blocks.0.attn,0,MultiheadAttention,"[1x32x128,129x32x128,129x32x128]","[1x32x128,32x1x129]",1x32x128,2.217952754790531e-07,True,,2.217952754790531e-07,0.0,none,none,kwargs,torch.bool,none,"(32, 8, 1, 129)"
mod.cls_blocks.0.post_attn_norm,0,LayerNorm,[1x32x128],1x32x128,1x32x128,9.336439887874803e-08,True,,,,,,,,,
mod.cls_blocks.0.dropout,0,Dropout,[1x32x128],1x32x128,1x32x128,0.0,True,,,,,,,,,
mod.cls_blocks.0.pre_fc_norm,0,LayerNorm,[1x32x128],1x32x128,1x32x128,7.882574948325782e-08,True,,,,,,,,,
mod.cls_blocks.0.fc1,0,Linear,[1x32x128],1x32x512,1x32x512,1.581904598424444e-07,True,,,,,,,,,
mod.cls_blocks.0.act,0,GELU,[1x32x512],1x32x512,1x32x512,1.101484503607253e-08,True,,,,,,,,,
mod.cls_blocks.0.act_dropout,0,Dropout,[1x32x512],1x32x512,1x32x512,0.0,True,,,,,,,,,
mod.cls_blocks.0.post_fc_norm,0,LayerNorm,[1x32x512],1x32x512,1x32x512,1.0388524174231861e-07,True,,,,,,,,,
mod.cls_blocks.0.fc2,0,Linear,[1x32x512],1x32x128,1x32x128,2.7797756274594576e-07,True,,,,,,,,,
mod.cls_blocks.0,0,Block,[128x32x128],1x32x128,1x32x128,3.579325493774377e-07,True,,,,,,,,,
mod.cls_blocks.1.pre_attn_norm,0,LayerNorm,[129x32x128],129x32x128,129x32x128,8.864967782074018e-08,True,,,,,,,,,
mod.cls_blocks.1.attn,0,MultiheadAttention,"[1x32x128,129x32x128,129x32x128]","[1x32x128,32x1x129]",1x32x128,1.3091424477806868e-07,True,,1.3091424477806868e-07,0.0,none,none,kwargs,torch.bool,none,"(32, 8, 1, 129)"
mod.cls_blocks.1.post_attn_norm,0,LayerNorm,[1x32x128],1x32x128,1x32x128,8.82340316366026e-08,True,,,,,,,,,
mod.cls_blocks.1.dropout,0,Dropout,[1x32x128],1x32x128,1x32x128,0.0,True,,,,,,,,,
mod.cls_blocks.1.pre_fc_norm,0,LayerNorm,[1x32x128],1x32x128,1x32x128,8.145074303911315e-08,True,,,,,,,,,
mod.cls_blocks.1.fc1,0,Linear,[1x32x128],1x32x512,1x32x512,1.61693620270853e-07,True,,,,,,,,,
mod.cls_blocks.1.act,0,GELU,[1x32x512],1x32x512,1x32x512,3.2804482685833136e-08,True,,,,,,,,,
mod.cls_blocks.1.act_dropout,0,Dropout,[1x32x512],1x32x512,1x32x512,0.0,True,,,,,,,,,
mod.cls_blocks.1.post_fc_norm,0,LayerNorm,[1x32x512],1x32x512,1x32x512,9.225468033946527e-08,True,,,,,,,,,
mod.cls_blocks.1.fc2,0,Linear,[1x32x512],1x32x128,1x32x128,2.0279223633679067e-07,True,,,,,,,,,
mod.cls_blocks.1,0,Block,[128x32x128],1x32x128,1x32x128,1.1067669447584194e-07,True,,,,,,,,,
mod.norm,0,LayerNorm,[1x32x128],1x32x128,1x32x128,8.912281401762812e-08,True,,,,,,,,,
mod.fc.0,0,Linear,[32x128],32x10,32x10,1.705600283230524e-07,True,,,,,,,,,
mod.fc,0,Sequential,[32x128],32x10,32x10,1.705600283230524e-07,True,,,,,,,,,
mod,0,ParticleTransformer,[32x13x128],32x10,32x10,7.362770588770218e-07,True,,,,,,,,,
