T_mean,T_max,gate_act_near_zero_frac_mean,gate_act_near_zero_frac_max,gate_act_norm_mean,gate_act_norm_max,gate_only_Y_rel_mean,gate_only_Y_rel_max,gate_pos_frac_mean,gate_pos_frac_max,gate_pre_norm_mean,gate_pre_norm_max,hidden_near_zero_frac_mean,hidden_near_zero_frac_max,hidden_norm_mean,hidden_norm_max,layer_mean,layer_max,mlp_rec_rel_mean,mlp_rec_rel_max,no_gate_Y_rel_mean,no_gate_Y_rel_max,out_norm_mean,out_norm_max,prompt_id_mean,prompt_id_max,up_norm_mean,up_norm_max,zero_Y_rel_mean,zero_Y_rel_max,layer,nseq
13.020833333333334,20.0,0.0037030576155909025,0.004271747078746557,57.55185651779175,72.82194519042969,1.8725692679484685,2.020777940750122,0.4007771424949169,0.47457510232925415,149.38647429148355,182.1077880859375,0.062462466303259134,0.0846354141831398,24.32583824793498,29.59716796875,0.0,0.0,0.0,0.0,2.602494955062866,2.79306960105896,19.879795511563618,24.458168029785156,23.5,47.0,73.4886302947998,89.8213119506836,1.0,1.0,0,48
13.020833333333334,20.0,0.0024464952293783426,0.0028577304910868406,56.25004903475443,68.00366973876953,2.314275582631429,2.527473211288452,0.23104902481039366,0.27337583899497986,187.8195654551188,234.35939025878906,0.036738210978607334,0.041301168501377106,24.52493683497111,32.76300811767578,1.0,1.0,0.0,0.0,3.9448815683523812,4.542494297027588,13.819201012452444,18.777069091796875,23.5,47.0,90.42397530873616,110.67181396484375,1.0,1.0,1,48
13.020833333333334,20.0,0.0019736710116073177,0.002364309271797538,77.2833366394043,88.58179473876953,1.0126644497116406,1.0151472091674805,0.21242438877622286,0.24493494629859924,227.8879852294922,282.1590881347656,0.025893057929351926,0.03125,1590.0496266682942,1890.9993896484375,2.0,2.0,0.0,0.0,0.9361770935356617,0.9444051384925842,738.748903910319,878.7494506835938,23.5,47.0,142.93609539667764,168.49221801757812,1.0,1.0,2,48
13.020833333333334,20.0,0.0031523405050393194,0.0041412124410271645,73.81308817863464,108.64435577392578,1.0340219661593437,1.0350911617279053,0.17875634071727595,0.2800421416759491,434.38176282246906,460.98394775390625,0.023583254621674616,0.030153509229421616,1202.8442103068035,1214.79638671875,3.0,3.0,0.0,0.0,0.9563385422031084,0.9580160975456238,863.5204022725424,871.868896484375,23.5,47.0,156.43903573354086,179.76971435546875,1.0,1.0,3,48
13.020833333333334,20.0,0.0015446829978221406,0.002035361947491765,64.03220876057942,79.24494934082031,1.866777017712593,2.043431043624878,0.17183407489210367,0.2016584426164627,266.17405637105304,321.5874328613281,0.019332229431408148,0.02151142619550228,36.52116016546885,47.418846130371094,4.0,4.0,0.0,0.0,4.114858478307724,4.580968379974365,21.150800506273907,27.693584442138672,23.5,47.0,125.8903579711914,160.1148681640625,1.0,1.0,4,48
13.020833333333334,20.0,0.0008569766735793868,0.0012952303513884544,64.95699373881023,79.61331176757812,1.3736678039034207,1.4793668985366821,0.09796728535244863,0.11303827166557312,462.9356606801351,617.0701904296875,0.013906941981986165,0.015604441054165363,66.47341005007426,74.90354919433594,5.0,5.0,0.0,0.0,2.8220783124367395,3.358036756515503,35.29839952786764,40.138038635253906,23.5,47.0,141.30426025390625,175.61602783203125,1.0,1.0,5,48
13.020833333333334,20.0,0.0013647297091665678,0.0018877092516049743,67.31933403015137,83.43824005126953,1.8884233261148136,2.070374011993408,0.15981083425382772,0.19948039948940277,257.4456106821696,327.6154479980469,0.01763879160474365,0.020353619009256363,37.794001499811806,52.372283935546875,6.0,6.0,0.0,0.0,4.463257233301799,4.87821626663208,21.54196498791377,30.066017150878906,23.5,47.0,128.52476914723715,170.04498291015625,1.0,1.0,6,48
13.020833333333334,20.0,0.0015892363492942725,0.0021244517993181944,66.44053864479065,82.7442626953125,1.9278578932086627,2.099203109741211,0.18137878241638342,0.21549789607524872,248.92794259389242,316.0824890136719,0.019210631765114766,0.023540297523140907,35.920387069384255,52.384254455566406,7.0,7.0,0.0,0.0,4.64012395342191,5.122409820556641,21.244302312533062,31.203022003173828,23.5,47.0,130.67120504379272,174.17283630371094,1.0,1.0,7,48
13.020833333333334,20.0,0.0017861463566077873,0.0021458675619214773,63.008979161580406,80.42717742919922,2.0458858410517373,2.1812899112701416,0.20560695603489876,0.23067432641983032,238.1331901550293,304.7532958984375,0.021662762699027855,0.024722451344132423,31.730325897534687,45.9920654296875,8.0,8.0,0.0,0.0,5.489336043596268,6.298117160797119,18.702006717522938,26.79947280883789,23.5,47.0,122.43165254592896,161.66563415527344,1.0,1.0,8,48
13.020833333333334,20.0,0.0020162923004439413,0.0023745889775455,61.87066753705343,77.2479019165039,1.961261662344138,2.168694257736206,0.22067074105143547,0.24566543102264404,207.26047865549722,263.72589111328125,0.024232787429355085,0.029255757108330727,31.452763160069782,43.98375701904297,9.0,9.0,0.0,0.0,4.516391495863597,5.0309739112854,19.94267002741496,27.484506607055664,23.5,47.0,122.50987958908081,163.92984008789062,1.0,1.0,9,48
