feature,protected_mean,confused_mean,diff_protected_minus_confused,ratio_protected_over_confused,std_effect,direction,protected_n,confused_n
confidence,0.8904492948204279,0.8126977140253241,0.0777515807951038,1.0956709725616505,0.6325951331769443,protected_higher_veto_candidate,32,11
leading_iso_pt_ratio,0.3132298762483123,0.334290033358261,-0.02106015710994874,0.9370003441760444,-0.6109011861165626,confused_higher_trigger_candidate,32,11
particle0_iso_pt_ratio,0.3132298762483123,0.334290033358261,-0.02106015710994874,0.9370003441760444,-0.6109011861165626,confused_higher_trigger_candidate,32,11
best_lepton_charge,0.0625,-0.45454545454545453,0.5170454545454546,-0.13750000250250002,0.5303444436857833,protected_higher_veto_candidate,32,11
best_lepton_is_electron,0.46875,0.7272727272727273,-0.2585227272727273,0.6445312504887696,-0.5303444431417977,confused_higher_trigger_candidate,32,11
best_lepton_is_muon,0.53125,0.2727272727272727,0.2585227272727273,1.9479166631909721,0.5303444431417977,protected_higher_veto_candidate,32,11
leading_charge,0.125,-0.36363636363636365,0.48863636363636365,-0.3437500036953125,0.5052445868702048,protected_higher_veto_candidate,32,11
particle0_charge,0.125,-0.36363636363636365,0.48863636363636365,-0.3437500036953125,0.5052445868702048,protected_higher_veto_candidate,32,11
best_lepton_knn_muon_frac,0.060546875,0.03409090909090909,0.02645596590909091,1.7760416439027786,0.4721969930015212,protected_higher_veto_candidate,32,11
leading_is_muon,0.5,0.2727272727272727,0.2272727272727273,1.8333333302777777,0.4657431728932028,protected_higher_veto_candidate,32,11
particle0_is_muon,0.5,0.2727272727272727,0.2272727272727273,1.8333333302777777,0.4657431728932028,protected_higher_veto_candidate,32,11
particle0_knn_muon_frac,0.05859375,0.03409090909090909,0.02450284090909091,1.7187499789166674,0.43341284120376317,protected_higher_veto_candidate,32,11
leading_knn_muon_frac,0.05859375,0.03409090909090909,0.02450284090909091,1.7187499789166674,0.43341284120376317,protected_higher_veto_candidate,32,11
leading_is_photon,0.0,0.09090909090909091,-0.09090909090909091,1.0999999879000001e-08,-0.4264014307112209,confused_higher_trigger_candidate,32,11
particle0_is_photon,0.0,0.09090909090909091,-0.09090909090909091,1.0999999879000001e-08,-0.4264014307112209,confused_higher_trigger_candidate,32,11
deltaR_p0_lepton,0.003105306406382624,0.06058722962982508,-0.057481923223442456,0.05125349639027707,-0.4032497897558436,confused_higher_trigger_candidate,32,11
deltaR_lead_lepton,0.003105306406382624,0.06058722962982508,-0.057481923223442456,0.05125349639027707,-0.4032497897558436,confused_higher_trigger_candidate,32,11
best_lepton_pt_rank,0.03125,0.2727272727272727,-0.2414772727272727,0.1145833365798611,-0.37053308897533344,confused_higher_trigger_candidate,32,11
best_lepton_knn_electron_frac,0.0625,0.08522727272727272,-0.02272727272727272,0.7333333364622222,-0.3362957442205546,confused_higher_trigger_candidate,32,11
leading_is_electron,0.46875,0.6363636363636364,-0.16761363636363635,0.736607143271046,-0.3314043984707612,confused_higher_trigger_candidate,32,11
particle0_is_electron,0.46875,0.6363636363636364,-0.16761363636363635,0.736607143271046,-0.3314043984707612,confused_higher_trigger_candidate,32,11
best_lepton_knn_pt_sum,604.1571011543274,525.4551058682529,78.70199528607452,1.1497787240184467,0.3104341018027211,protected_higher_veto_candidate,32,11
leading_is_charged_hadron,0.03125,0.0,0.03125,999.0,0.24999999800000003,protected_higher_veto_candidate,32,11
particle0_is_charged_hadron,0.03125,0.0,0.03125,999.0,0.24999999800000003,protected_higher_veto_candidate,32,11
leading_is_lepton,0.96875,0.9090909090909091,0.05965909090909094,1.0656249999278125,0.24139525620589994,protected_higher_veto_candidate,32,11
particle0_is_lepton,0.96875,0.9090909090909091,0.05965909090909094,1.0656249999278125,0.24139525620589994,protected_higher_veto_candidate,32,11
best_lepton_knn_neutral_hadron_frac,0.072265625,0.09659090909090909,-0.02432528409090909,0.7481617673131488,-0.2386704131288055,confused_higher_trigger_candidate,32,11
best_lepton_knn_photon_frac,0.435546875,0.39204545454545453,0.04350142045454547,1.1109601446445074,0.22202001750063616,protected_higher_veto_candidate,32,11
particle0_pt,268.5530626773834,292.22073849764735,-23.667675820263923,0.9190075422372068,-0.2171621300289482,confused_higher_trigger_candidate,32,11
leading_pt,268.5530626773834,292.22073849764735,-23.667675820263923,0.9190075422372068,-0.2171621300289482,confused_higher_trigger_candidate,32,11
particle0_knn_electron_frac,0.0625,0.07386363636363637,-0.011363636363636367,0.8461538482366863,-0.16435779317085,confused_higher_trigger_candidate,32,11
leading_knn_electron_frac,0.0625,0.07386363636363637,-0.011363636363636367,0.8461538482366863,-0.16435779317085,confused_higher_trigger_candidate,32,11
missing_pt_proxy,659.8966109304573,641.0472195232552,18.84939140720212,1.029404060782279,0.14851337647283494,protected_higher_veto_candidate,32,11
best_lepton_iso_pt_ratio,0.3084723822663929,0.316577923731934,-0.0081055414655411,0.9743963781669093,-0.13726654113566686,confused_higher_trigger_candidate,32,11
best_lepton_knn_charged_hadron_frac,0.369140625,0.39204545454545453,-0.02290482954545453,0.9415760871055451,-0.1261463912350297,confused_higher_trigger_candidate,32,11
best_lepton_pt,265.6564962863922,251.69314817948774,13.963348106904476,1.055477664798771,0.12106455965759966,protected_higher_veto_candidate,32,11
particle0_knn_neutral_hadron_frac,0.072265625,0.07954545454545454,-0.007279829545454544,0.908482144007653,-0.07179602394731766,confused_higher_trigger_candidate,32,11
leading_knn_neutral_hadron_frac,0.072265625,0.07954545454545454,-0.007279829545454544,0.908482144007653,-0.07179602394731766,confused_higher_trigger_candidate,32,11
