objective,module,tensor,analysis_group,dim,n,mean_contrib,mean_abs_contrib,mean_activation,mean_grad
B_tbl_minus_hqql,mod.fc.0,input,B_Hqql_to_Tbl,18,14,0.11072924733161926,0.14169670375330107,-0.6293608493038586,-0.17593920230865479
B_tbl_minus_hqql,mod.fc,input,B_Hqql_to_Tbl,18,14,0.11072924733161926,0.14169670375330107,-0.6293608493038586,-0.17593920230865479
signed_hqql_tbl,mod.fc.0,output,A_Hqql_correct,6,16,0.05401621339842677,0.3332407381385565,-0.21606485359370708,-0.25
signed_hqql_tbl,mod.fc,output,A_Hqql_correct,6,16,0.05401621339842677,0.3332407381385565,-0.21606485359370708,-0.25
signed_hqql_tbl,mod.fc.0,input,D_Tbl_to_Hqql,66,16,-0.09626957448199391,0.10508517734706402,-0.49147325614467263,0.19587957859039307
signed_hqql_tbl,mod.fc,input,D_Tbl_to_Hqql,66,16,-0.09626957448199391,0.10508517734706402,-0.49147325614467263,0.19587957859039307
B_tbl_minus_hqql,mod.fc.0,input,B_Hqql_to_Tbl,57,16,-0.0906369082222227,0.11141438005142845,0.5104303250554949,-0.17756959795951843
B_tbl_minus_hqql,mod.fc,input,B_Hqql_to_Tbl,57,16,-0.0906369082222227,0.11141438005142845,0.5104303250554949,-0.17756959795951843
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,57,16,-0.09063690842594951,0.11141437315382063,0.5104303241241723,-0.17756959795951843
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,57,16,-0.09063690842594951,0.11141437315382063,0.5104303241241723,-0.17756959795951843
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,10,16,0.08922081289347261,0.10341365274507552,-0.40053436951711774,-0.22275444865226746
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,10,16,0.08922081289347261,0.10341365274507552,-0.40053436951711774,-0.22275444865226746
signed_hqql_tbl,mod.fc.0,input,D_Tbl_to_Hqql,18,16,-0.08733277709688991,0.10252520791254938,-0.49638042924925685,0.17593920230865479
signed_hqql_tbl,mod.fc,input,D_Tbl_to_Hqql,18,16,-0.08733277709688991,0.10252520791254938,-0.49638042924925685,0.17593920230865479
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,66,15,-0.07604014361277223,0.09318298588817318,-0.3881984146932761,0.19587957859039307
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,66,15,-0.07604014361277223,0.09318298588817318,-0.3881984146932761,0.19587957859039307
B_tbl_minus_hqql,mod.fc.0,input,B_Hqql_to_Tbl,10,15,0.07194229774177074,0.10552390106022358,0.3229668294390043,0.22275444865226746
B_tbl_minus_hqql,mod.fc,input,B_Hqql_to_Tbl,10,15,0.07194229774177074,0.10552390106022358,0.3229668294390043,0.22275444865226746
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,10,15,0.07194229749341806,0.10552389435470104,0.3229668294390043,0.22275444865226746
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,10,15,0.07194229749341806,0.10552389435470104,0.3229668294390043,0.22275444865226746
B_tbl_minus_hqql,mod.fc.0,input,B_Hqql_to_Tbl,66,16,0.07345249661011621,0.07345249661011621,-0.37498803110793233,-0.19587957859039307
B_tbl_minus_hqql,mod.fc,input,B_Hqql_to_Tbl,66,16,0.07345249661011621,0.07345249661011621,-0.37498803110793233,-0.19587957859039307
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,66,16,0.0734524960280396,0.0734524960280396,-0.3749880292452872,-0.19587957859039307
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,66,16,0.0734524960280396,0.0734524960280396,-0.3749880292452872,-0.19587957859039307
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,3,16,0.06823836674448103,0.0956199272768572,0.4459528522565961,0.15301699936389923
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,3,16,0.06823836674448103,0.0956199272768572,0.4459528522565961,0.15301699936389923
signed_hqql_tbl,mod.fc.0,input,D_Tbl_to_Hqql,103,15,-0.028801626091202102,0.28707672146459423,-0.09017353604237238,0.3194022476673126
signed_hqql_tbl,mod.fc,input,D_Tbl_to_Hqql,103,15,-0.028801626091202102,0.28707672146459423,-0.09017353604237238,0.3194022476673126
signed_hqql_tbl,mod.fc.0,input,C_Tbl_correct,2,14,0.069140250761328,0.08023304748348892,0.3547243820503354,0.1949125975370407
signed_hqql_tbl,mod.fc,input,C_Tbl_correct,2,14,0.069140250761328,0.08023304748348892,0.3547243820503354,0.1949125975370407
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,18,16,-0.06545131700113416,0.09454104164615273,-0.37201098818331957,0.17593920230865479
