control_family,repeats,acc_mean,acc_drop_mean,flip_rate_mean,delta_base_pred_logit_mean
random_remove1,3,0.7428385416666666,0.014583309491475424,0.062369791169961296,-0.20613598823547363
random_remove2,3,0.723437488079071,0.033984363079071045,0.09648437301317851,-0.3855799436569214
random_remove4,3,0.6842447717984518,0.07317707935969035,0.1785156230131785,-0.913512342919906
random_remove8,3,0.5850260456403097,0.17239580551783243,0.3125,-2.4033203522364297
random_remove16,3,0.3828125,0.3746093511581421,0.5643229087193807,-6.8758136828740435
