pred_label,n_pred,head_event_score_mean,head_event_score_p90,acc_within_pred
label_QCD,241,39.09855651855469,47.68414306640625,0.7427386045455933
label_Hbb,243,38.17246627807617,44.66594314575195,0.6831275224685669
label_Hcc,220,38.0123405456543,46.54130554199219,0.6772726774215698
label_Hgg,280,36.255149841308594,42.10802459716797,0.6321428418159485
label_H4q,274,35.59914779663086,41.29991912841797,0.7299270033836365
label_Hqql,255,34.25352478027344,39.8266716003418,0.960784375667572
label_Zqq,251,37.13972091674805,44.54621887207031,0.6215139627456665
label_Wqq,270,36.02656936645508,41.785343170166016,0.6925925612449646
label_Tbqq,273,38.75522232055664,54.3849983215332,0.8498168587684631
label_Tbl,253,37.88166427612305,49.48307418823242,0.9802371859550476
