module_name,param_name,shape,numel,requires_grad
mod.blocks.3.fc1,weight,512x128,65536,True
mod.blocks.3.fc1,bias,512,512,True
mod.blocks.3.post_fc_norm,weight,512,512,True
mod.blocks.3.post_fc_norm,bias,512,512,True
mod.blocks.3.fc2,weight,128x512,65536,True
mod.blocks.3.fc2,bias,128,128,True
mod.blocks.4,c_attn,8,8,True
mod.blocks.4,w_resid,128,128,True
mod.blocks.4.pre_attn_norm,weight,128,128,True
mod.blocks.4.pre_attn_norm,bias,128,128,True
mod.blocks.4.attn,in_proj_weight,384x128,49152,True
mod.blocks.4.attn,in_proj_bias,384,384,True
mod.blocks.4.attn.out_proj,weight,128x128,16384,True
mod.blocks.4.attn.out_proj,bias,128,128,True
mod.blocks.4.post_attn_norm,weight,128,128,True
mod.blocks.4.post_attn_norm,bias,128,128,True
mod.blocks.4.pre_fc_norm,weight,128,128,True
mod.blocks.4.pre_fc_norm,bias,128,128,True
mod.blocks.4.fc1,weight,512x128,65536,True
mod.blocks.4.fc1,bias,512,512,True
mod.blocks.4.post_fc_norm,weight,512,512,True
mod.blocks.4.post_fc_norm,bias,512,512,True
mod.blocks.4.fc2,weight,128x512,65536,True
mod.blocks.4.fc2,bias,128,128,True
mod.blocks.5,c_attn,8,8,True
mod.blocks.5,w_resid,128,128,True
mod.blocks.5.pre_attn_norm,weight,128,128,True
mod.blocks.5.pre_attn_norm,bias,128,128,True
mod.blocks.5.attn,in_proj_weight,384x128,49152,True
mod.blocks.5.attn,in_proj_bias,384,384,True
mod.blocks.5.attn.out_proj,weight,128x128,16384,True
mod.blocks.5.attn.out_proj,bias,128,128,True
mod.blocks.5.post_attn_norm,weight,128,128,True
mod.blocks.5.post_attn_norm,bias,128,128,True
mod.blocks.5.pre_fc_norm,weight,128,128,True
mod.blocks.5.pre_fc_norm,bias,128,128,True
mod.blocks.5.fc1,weight,512x128,65536,True
mod.blocks.5.fc1,bias,512,512,True
mod.blocks.5.post_fc_norm,weight,512,512,True
mod.blocks.5.post_fc_norm,bias,512,512,True
mod.blocks.5.fc2,weight,128x512,65536,True
mod.blocks.5.fc2,bias,128,128,True
mod.blocks.6,c_attn,8,8,True
mod.blocks.6,w_resid,128,128,True
mod.blocks.6.pre_attn_norm,weight,128,128,True
mod.blocks.6.pre_attn_norm,bias,128,128,True
mod.blocks.6.attn,in_proj_weight,384x128,49152,True
mod.blocks.6.attn,in_proj_bias,384,384,True
mod.blocks.6.attn.out_proj,weight,128x128,16384,True
mod.blocks.6.attn.out_proj,bias,128,128,True
mod.blocks.6.post_attn_norm,weight,128,128,True
mod.blocks.6.post_attn_norm,bias,128,128,True
mod.blocks.6.pre_fc_norm,weight,128,128,True
mod.blocks.6.pre_fc_norm,bias,128,128,True
mod.blocks.6.fc1,weight,512x128,65536,True
mod.blocks.6.fc1,bias,512,512,True
mod.blocks.6.post_fc_norm,weight,512,512,True
mod.blocks.6.post_fc_norm,bias,512,512,True
mod.blocks.6.fc2,weight,128x512,65536,True
mod.blocks.6.fc2,bias,128,128,True
mod.blocks.7,c_attn,8,8,True
mod.blocks.7,w_resid,128,128,True
mod.blocks.7.pre_attn_norm,weight,128,128,True
mod.blocks.7.pre_attn_norm,bias,128,128,True
mod.blocks.7.attn,in_proj_weight,384x128,49152,True
mod.blocks.7.attn,in_proj_bias,384,384,True
mod.blocks.7.attn.out_proj,weight,128x128,16384,True
