source,target,kind,weight,formula,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.05946455028606579,,,signed_hqql_tbl,C_Tbl_correct,0.19552900036796927,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,0.07143672416714253,,,signed_hqql_tbl,C_Tbl_correct,0.13590362039394677,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,0.06486127607058734,,,signed_hqql_tbl,A_Hqql_correct,0.13108954892959446,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.03448885399120627,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.22332898201420903,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.07113151502562687,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.07113151502562687,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.0711315140069928,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.0711315140069928,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.06705127679742873,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.0840845110360533,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.06705126829911023,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.08408450020942837,,,,,
residual_cls:mod.cls_blocks.0,classifier:mod.fc,residual_to_classifier,0.06747956178151071,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.07460148970130831,,,,,
residual_particle:mod.blocks.7,classifier:mod.fc,residual_to_classifier,0.0397078838723246,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.17808542167767882,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.011999962531263009,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.24472062033601105,,,,,
residual_particle:mod.blocks.1,classifier:mod.fc,residual_to_classifier,-0.011999960464891046,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.2447206163778901,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,-0.0304440432228148,,,signed_hqql_tbl,C_Tbl_correct,0.15691109630279243,,,,,
