objective,module,tensor,analysis_group,dim,n,mean_contrib,mean_abs_contrib,mean_activation,mean_grad
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,79,16,-0.16047532280208543,0.2077258817735128,0.7595002218149602,-0.21129068732261658
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,79,16,-0.16047532280208543,0.2077258817735128,0.7595002218149602,-0.21129068732261658
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,10,16,0.16407976392656565,0.16795502952300012,0.636795349419117,0.25766482949256897
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,10,16,0.16407976392656565,0.16795502952300012,0.636795349419117,0.25766482949256897
B_tbl_minus_hqql,mod.fc.0,input,B_Hqql_to_Tbl,10,16,0.16407975961919874,0.1679550235858187,0.6367953326553106,0.25766482949256897
B_tbl_minus_hqql,mod.fc,input,B_Hqql_to_Tbl,10,16,0.16407975961919874,0.1679550235858187,0.6367953326553106,0.25766482949256897
signed_hqql_tbl,mod.fc.0,input,D_Tbl_to_Hqql,8,15,-0.11283379184703032,0.2371088046580553,-0.31143748164176943,0.36229997873306274
signed_hqql_tbl,mod.fc,input,D_Tbl_to_Hqql,8,15,-0.11283379184703032,0.2371088046580553,-0.31143748164176943,0.36229997873306274
signed_hqql_tbl,mod.fc.0,input,C_Tbl_correct,3,16,0.10725321609061211,0.11725874652620405,0.8829674376174808,0.12146905064582825
signed_hqql_tbl,mod.fc,input,C_Tbl_correct,3,16,0.10725321609061211,0.11725874652620405,0.8829674376174808,0.12146905064582825
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,3,14,0.10658009297081403,0.10658009297081403,0.8774259071797132,0.12146905064582825
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,3,14,0.10658009297081403,0.10658009297081403,0.8774259071797132,0.12146905064582825
B_tbl_minus_hqql,mod.fc.0,input,B_Hqql_to_Tbl,3,14,0.10658009054272302,0.10658009054272302,0.8774258888193539,0.12146905064582825
B_tbl_minus_hqql,mod.fc,input,B_Hqql_to_Tbl,3,14,0.10658009054272302,0.10658009054272302,0.8774258888193539,0.12146905064582825
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,10,16,0.1032036206452176,0.11962078197393566,-0.40053436951711774,-0.25766482949256897
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,10,16,0.1032036206452176,0.11962078197393566,-0.40053436951711774,-0.25766482949256897
signed_hqql_tbl,mod.fc.0,input,D_Tbl_to_Hqql,57,16,0.09406482020858675,0.10057544347364455,0.2959564020857215,0.3178333640098572
signed_hqql_tbl,mod.fc,input,D_Tbl_to_Hqql,57,16,0.09406482020858675,0.10057544347364455,0.2959564020857215,0.3178333640098572
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,103,16,0.08589562302222475,0.10846449615200981,1.3719653440639377,0.06260772049427032
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,103,16,0.08589562302222475,0.10846449615200981,1.3719653440639377,0.06260772049427032
signed_hqql_tbl,mod.fc.0,input,D_Tbl_to_Hqql,3,16,-0.08574476779904217,0.09070311824325472,0.7058980646543205,-0.12146905064582825
signed_hqql_tbl,mod.fc,input,D_Tbl_to_Hqql,3,16,-0.08574476779904217,0.09070311824325472,0.7058980646543205,-0.12146905064582825
signed_hqql_tbl,mod.fc.0,input,D_Tbl_to_Hqql,121,16,0.05851468408945948,0.1065642269095406,-0.22512169182300568,-0.25992467999458313
signed_hqql_tbl,mod.fc,input,D_Tbl_to_Hqql,121,16,0.05851468408945948,0.1065642269095406,-0.22512169182300568,-0.25992467999458313
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,3,16,-0.054169469396583736,0.07590569613967091,0.4459528522565961,-0.12146905064582825
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,3,16,-0.054169469396583736,0.07590569613967091,0.4459528522565961,-0.12146905064582825
signed_hqql_tbl,mod.fc.0,input,D_Tbl_to_Hqql,10,16,-0.04989647364709526,0.08597125776577741,0.1936487538041547,-0.25766482949256897
signed_hqql_tbl,mod.fc,input,D_Tbl_to_Hqql,10,16,-0.04989647364709526,0.08597125776577741,0.1936487538041547,-0.25766482949256897
signed_hqql_tbl,mod.fc.0,input,D_Tbl_to_Hqql,103,16,0.05233885004417971,0.055970924731809646,0.8359807636588812,0.06260772049427032
signed_hqql_tbl,mod.fc,input,D_Tbl_to_Hqql,103,16,0.05233885004417971,0.055970924731809646,0.8359807636588812,0.06260772049427032
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,103,15,-0.051210398537417254,0.053127981660266714,0.817956613500913,-0.06260772049427032
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,103,15,-0.051210398537417254,0.053127981660266714,0.817956613500913,-0.06260772049427032
B_tbl_minus_hqql,mod.fc.0,input,B_Hqql_to_Tbl,103,15,-0.051210393818716206,0.053127977934976416,0.8179565380016963,-0.06260772049427032
B_tbl_minus_hqql,mod.fc,input,B_Hqql_to_Tbl,103,15,-0.051210393818716206,0.053127977934976416,0.8179565380016963,-0.06260772049427032
B_tbl_minus_hqql,mod.fc.0,input,B_Hqql_to_Tbl,57,14,0.040136395288365226,0.10770920823727335,-0.12628125559006417,-0.3178333640098572
B_tbl_minus_hqql,mod.fc,input,B_Hqql_to_Tbl,57,14,0.040136395288365226,0.10770920823727335,-0.12628125559006417,-0.3178333640098572
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,57,14,0.04013638278203351,0.10770919253783566,-0.126281219667622,-0.3178333640098572
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,57,14,0.04013638278203351,0.10770919253783566,-0.126281219667622,-0.3178333640098572
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,45,14,0.04655930546245405,0.05833305724497352,-0.25810554517166956,-0.18038862943649292
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,45,14,0.04655930546245405,0.05833305724497352,-0.25810554517166956,-0.18038862943649292
B_tbl_minus_hqql,mod.fc.0,input,B_Hqql_to_Tbl,121,16,0.0370464306906797,0.0942389988922514,0.1425275586079806,0.25992467999458313
B_tbl_minus_hqql,mod.fc,input,B_Hqql_to_Tbl,121,16,0.0370464306906797,0.0942389988922514,0.1425275586079806,0.25992467999458313
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,121,16,0.03704641797230579,0.09423900270485319,0.14252750808373094,0.25992467999458313
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,121,16,0.03704641797230579,0.09423900270485319,0.14252750808373094,0.25992467999458313
signed_hqql_tbl,mod.fc.0,input,C_Tbl_correct,76,16,0.03979096200782806,0.06215046101715416,-0.27919012191705406,-0.14252281188964844
signed_hqql_tbl,mod.fc,input,C_Tbl_correct,76,16,0.03979096200782806,0.06215046101715416,-0.27919012191705406,-0.14252281188964844
signed_hqql_tbl,mod.fc.0,input,C_Tbl_correct,79,15,0.02209051176905632,0.14685400699575743,-0.10455033679803212,-0.21129068732261658
signed_hqql_tbl,mod.fc,input,C_Tbl_correct,79,15,0.02209051176905632,0.14685400699575743,-0.10455033679803212,-0.21129068732261658
signed_hqql_tbl,mod.fc.0,input,D_Tbl_to_Hqql,76,16,-0.03154850483406335,0.06531861063558608,-0.2213575835339725,0.14252281188964844
signed_hqql_tbl,mod.fc,input,D_Tbl_to_Hqql,76,16,-0.03154850483406335,0.06531861063558608,-0.2213575835339725,0.14252281188964844
signed_hqql_tbl,mod.fc.0,input,C_Tbl_correct,45,15,0.032209423805276555,0.036200598378976184,0.1785557302335898,0.18038862943649292
signed_hqql_tbl,mod.fc,input,C_Tbl_correct,45,15,0.032209423805276555,0.036200598378976184,0.1785557302335898,0.18038862943649292
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,76,15,0.017049936639765898,0.06237162419905265,-0.11962952713171641,-0.14252281188964844
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,76,15,0.017049936639765898,0.06237162419905265,-0.11962952713171641,-0.14252281188964844
B_tbl_minus_hqql,mod.fc.0,input,B_Hqql_to_Tbl,76,15,0.0170499287545681,0.06237161705891291,-0.11962947100400925,-0.14252281188964844
B_tbl_minus_hqql,mod.fc,input,B_Hqql_to_Tbl,76,15,0.0170499287545681,0.06237161705891291,-0.11962947100400925,-0.14252281188964844
signed_hqql_tbl,mod.fc.0,input,D_Tbl_to_Hqql,45,14,0.02243815635197929,0.02747448779908674,-0.12438786242689405,-0.18038862943649292
signed_hqql_tbl,mod.fc,input,D_Tbl_to_Hqql,45,14,0.02243815635197929,0.02747448779908674,-0.12438786242689405,-0.18038862943649292
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,2,13,0.02026965984931359,0.022901830908197623,0.21268655015872076,0.09530296921730042
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,2,13,0.02026965984931359,0.022901830908197623,0.21268655015872076,0.09530296921730042
B_tbl_minus_hqql,mod.fc.0,input,B_Hqql_to_Tbl,2,13,0.02026965734190666,0.022901827970949504,0.21268651978327677,0.09530296921730042
B_tbl_minus_hqql,mod.fc,input,B_Hqql_to_Tbl,2,13,0.02026965734190666,0.022901827970949504,0.21268651978327677,0.09530296921730042
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,123,2,0.01975224446505308,0.01975224446505308,-0.5177063345909119,-0.038153376430273056
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,123,2,0.01975224446505308,0.01975224446505308,-0.5177063345909119,-0.038153376430273056
signed_hqql_tbl,mod.fc.0,input,C_Tbl_correct,2,13,0.017921340401069477,0.023963931625565656,0.18804598198487207,0.09530296921730042
signed_hqql_tbl,mod.fc,input,C_Tbl_correct,2,13,0.017921340401069477,0.023963931625565656,0.18804598198487207,0.09530296921730042
signed_hqql_tbl,mod.fc.0,input,D_Tbl_to_Hqql,2,12,-0.01789280977876236,0.021226904238574207,0.18774661297599474,-0.09530296921730042
signed_hqql_tbl,mod.fc,input,D_Tbl_to_Hqql,2,12,-0.01789280977876236,0.021226904238574207,0.18774661297599474,-0.09530296921730042
signed_hqql_tbl,mod.fc.0,input,A_Hqql_correct,76,15,0.006451624445617199,0.07708151632299026,0.045267311731974284,0.14252281188964844
signed_hqql_tbl,mod.fc,input,A_Hqql_correct,76,15,0.006451624445617199,0.07708151632299026,0.045267311731974284,0.14252281188964844
signed_hqql_tbl,mod.fc.0,input,B_Hqql_to_Tbl,82,13,0.016475404182878826,0.016475404182878826,0.31248534528108746,0.05272376537322998
signed_hqql_tbl,mod.fc,input,B_Hqql_to_Tbl,82,13,0.016475404182878826,0.016475404182878826,0.31248534528108746,0.05272376537322998
