group,particle_role,n,mean_deltaR_to_best_lepton,in_best_lepton_knn_rate,mean_best_lepton_knn_rank,mean_particle_pt,l2_same_particle_top3_rate,mean_l1_activation_norm,mean_l2_activation_norm_if_top3
A_protected_highiso,hadron_neighbor,44,0.406993018463254,0.06818181818181818,93.22727272727273,3.7869319597428497,0.0,35.65003091638739,0.0
A_protected_highiso,hard_hadron,5,0.19813086688518525,0.2,82.2,18.058610820770262,0.0,27.40600166320801,0.0
A_protected_highiso,nearest_hadron_to_best_lepton,1,0.07841476798057556,1.0,3.0,4.082335948944092,0.0,33.774986267089844,0.0
B_confused_highiso,hadron_neighbor,14,0.6909209005534649,0.14285714285714285,86.14285714285714,4.600339663880212,0.0,41.97663852146694,0.0
B_confused_highiso,hard_hadron,7,0.2316103886280741,0.14285714285714285,86.71428571428571,10.580045836312431,0.0,32.29794066292899,0.0
C_Tbl_correct,hadron_neighbor,158,0.6452954164411449,0.0189873417721519,97.34810126582279,5.049879157090489,0.0189873417721519,40.81491361690473,0.02365392069273357
C_Tbl_correct,hard_hadron,24,0.3598030960808198,0.0,99.0,25.2012016971906,0.041666666666666664,28.69043469429016,0.10969386498133342
C_Tbl_correct,hardest_hadron,4,0.25785948149859905,0.0,99.0,54.89694356918335,0.0,31.85262966156006,0.0
C_Tbl_correct,nearest_hadron_to_best_lepton,11,0.19587177884849635,0.8181818181818182,24.09090909090909,9.569652324373072,0.0,34.488046646118164,0.0
