record_id,role_guess,read_flow,write_flow,primitive_slot_flow,primitive_family_flow,primitive_origin_flow,slot_transition_flow,primitive_transition_flow,slot_composition_flow,target_kind,primitive_count
mod.blocks.0.attn.h1.attention_vo,attention_value_write,tokens->values,residual_write,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> PrefixMean -> MinedResidualBlockMean8 -> ShiftLeft8 -> BlockAvg32 -> ShiftLeft4 -> ShiftLeft2,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> toeplitz -> prefix -> block_mined -> shift -> block -> shift -> shift,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> mined_from_target -> base -> base -> base -> base,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->PrefixMean -> PrefixMean->MinedResidualBlockMean8 -> MinedResidualBlockMean8->ShiftLeft8 -> ShiftLeft8->BlockAvg32 -> BlockAvg32->ShiftLeft4 -> ShiftLeft4->ShiftLeft2,+86.03*MinedResidualSVD0 + +73.62*MinedResidualSVD1 + +55.97*MinedResidualSVD2 + +54.14*MinedResidualSVD3 + +13.61*MinedResidualBlockMean4 + +6.442*MinedResidualToeplitzAvg + +3.045*PrefixMean + -1.633*MinedResidualBlockMean8 + +1.423*ShiftLeft8 + -1.714*BlockAvg32 + +1.328*ShiftLeft4 + +0.9354*ShiftLeft2,attention_vo,12
mod.blocks.0.attn.h2.attention_qk,attention_read_score,tokens->score,attention_weights,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> MinedResidualBlockMean32 -> MeanProject -> ShiftLeft2 -> MinedResidualBlockMean16 -> ShiftRight8 -> RampDiag,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> toeplitz -> block_mined -> global -> shift -> block_mined -> shift -> diagonal,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> base -> mined_from_target -> base -> base,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->MinedResidualBlockMean32 -> MinedResidualBlockMean32->MeanProject -> MeanProject->ShiftLeft2 -> ShiftLeft2->MinedResidualBlockMean16 -> MinedResidualBlockMean16->ShiftRight8 -> ShiftRight8->RampDiag,+15.65*MinedResidualSVD0 + +14.63*MinedResidualSVD1 + +11.65*MinedResidualSVD2 + +10.59*MinedResidualSVD3 + +1.431*MinedResidualBlockMean4 + +0.5874*MinedResidualToeplitzAvg + -0.1792*MinedResidualBlockMean32 + -0.2378*MeanProject + -0.1609*ShiftLeft2 + -0.1679*MinedResidualBlockMean16 + +0.1119*ShiftRight8 + -0.1014*RampDiag,attention_qk,12
mod.blocks.0.attn.h2.attention_vo,attention_value_write,tokens->values,residual_write,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> ShiftRight4 -> MinedResidualBlockMean8 -> MinedResidualBlockMean16 -> Identity -> Reverse -> ShiftRight8,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> toeplitz -> shift -> block_mined -> block_mined -> diagonal -> permutation -> shift,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> mined_from_target -> mined_from_target -> base -> base -> base,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->ShiftRight4 -> ShiftRight4->MinedResidualBlockMean8 -> MinedResidualBlockMean8->MinedResidualBlockMean16 -> MinedResidualBlockMean16->Identity -> Identity->Reverse -> Reverse->ShiftRight8,+96.28*MinedResidualSVD0 + +83.63*MinedResidualSVD1 + +81.08*MinedResidualSVD2 + +71.9*MinedResidualSVD3 + +18.64*MinedResidualBlockMean4 + +9.662*MinedResidualToeplitzAvg + +2.087*ShiftRight4 + -3.639*MinedResidualBlockMean8 + +2.404*MinedResidualBlockMean16 + -1.868*Identity + -1.856*Reverse + -1.261*ShiftRight8,attention_vo,12
mod.blocks.0.attn.h3.attention_qk,attention_read_score,tokens->score,attention_weights,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> BlockAvg4 -> RampDiag -> Reverse -> Laplacian1D -> MinedResidualBlockMean8 -> ShiftLeft4,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> toeplitz -> block -> diagonal -> permutation -> difference -> block_mined -> shift,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> base -> base -> base -> mined_from_target -> base,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->BlockAvg4 -> BlockAvg4->RampDiag -> RampDiag->Reverse -> Reverse->Laplacian1D -> Laplacian1D->MinedResidualBlockMean8 -> MinedResidualBlockMean8->ShiftLeft4,+4.229*MinedResidualSVD0 + +3.424*MinedResidualSVD1 + +2.876*MinedResidualSVD2 + +2.529*MinedResidualSVD3 + +0.5852*MinedResidualBlockMean4 + +0.235*MinedResidualToeplitzAvg + +0.09652*BlockAvg4 + -0.09437*RampDiag + -0.06958*Reverse + +0.06509*Laplacian1D + -0.06466*MinedResidualBlockMean8 + +0.04418*ShiftLeft4,attention_qk,12
mod.blocks.0.attn.h3.attention_vo,attention_value_write,tokens->values,residual_write,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> MinedResidualBlockMean8 -> ShiftLeft8 -> ShiftRight1 -> Reverse -> ShiftLeft2 -> BlockAvg32,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> toeplitz -> block_mined -> shift -> shift -> permutation -> shift -> block,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> base -> base -> base -> base,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->MinedResidualBlockMean8 -> MinedResidualBlockMean8->ShiftLeft8 -> ShiftLeft8->ShiftRight1 -> ShiftRight1->Reverse -> Reverse->ShiftLeft2 -> ShiftLeft2->BlockAvg32,+109.2*MinedResidualSVD0 + +82.89*MinedResidualSVD1 + +77.95*MinedResidualSVD2 + +68.87*MinedResidualSVD3 + +17.24*MinedResidualBlockMean4 + +5.224*MinedResidualToeplitzAvg + -3.546*MinedResidualBlockMean8 + +1.579*ShiftLeft8 + -2.034*ShiftRight1 + +1.474*Reverse + -1.744*ShiftLeft2 + +1.664*BlockAvg32,attention_vo,12
mod.blocks.0.attn.h4.attention_qk,attention_read_score,tokens->score,attention_weights,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> RampDiag -> PrefixMean -> ShiftRight2 -> ShiftLeft1 -> BlockAvg32 -> MinedResidualBlockMean8,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> toeplitz -> diagonal -> prefix -> shift -> shift -> block -> block_mined,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> base -> base -> base -> base -> mined_from_target,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->RampDiag -> RampDiag->PrefixMean -> PrefixMean->ShiftRight2 -> ShiftRight2->ShiftLeft1 -> ShiftLeft1->BlockAvg32 -> BlockAvg32->MinedResidualBlockMean8,+5.637*MinedResidualSVD0 + +5.018*MinedResidualSVD1 + +4.593*MinedResidualSVD2 + +4.116*MinedResidualSVD3 + +0.882*MinedResidualBlockMean4 + +0.4062*MinedResidualToeplitzAvg + -0.1223*RampDiag + -0.08943*PrefixMean + +0.1234*ShiftRight2 + +0.1056*ShiftLeft1 + -0.09403*BlockAvg32 + -0.08251*MinedResidualBlockMean8,attention_qk,12
mod.blocks.0.attn.h4.attention_vo,attention_value_write,tokens->values,residual_write,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> MinedResidualBlockMean8 -> ShiftLeft8 -> ShiftRight8 -> DistanceDecay8 -> BlockAvg16 -> DiffBackward,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> toeplitz -> block_mined -> shift -> shift -> decay -> block -> difference,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> base -> base -> base -> base,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->MinedResidualBlockMean8 -> MinedResidualBlockMean8->ShiftLeft8 -> ShiftLeft8->ShiftRight8 -> ShiftRight8->DistanceDecay8 -> DistanceDecay8->BlockAvg16 -> BlockAvg16->DiffBackward,+77.84*MinedResidualSVD0 + +60.77*MinedResidualSVD1 + +44.6*MinedResidualSVD2 + +37.8*MinedResidualSVD3 + +11.43*MinedResidualBlockMean4 + +3.901*MinedResidualToeplitzAvg + -1.923*MinedResidualBlockMean8 + -1.075*ShiftLeft8 + +0.9133*ShiftRight8 + -2.81*DistanceDecay8 + +2.568*BlockAvg16 + +0.6588*DiffBackward,attention_vo,12
mod.blocks.0.attn.h5.attention_qk,attention_read_score,tokens->score,attention_weights,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> Identity -> MinedResidualToeplitzAvg -> ShiftRight8 -> DistanceDecay8 -> RampDiag -> BlockAvg4 -> ShiftLeft4,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> diagonal -> toeplitz -> shift -> decay -> diagonal -> block -> shift,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> mined_from_target -> base -> base -> base -> base -> base,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->Identity -> Identity->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->ShiftRight8 -> ShiftRight8->DistanceDecay8 -> DistanceDecay8->RampDiag -> RampDiag->BlockAvg4 -> BlockAvg4->ShiftLeft4,+5.41*MinedResidualSVD0 + +5.112*MinedResidualSVD1 + +4.743*MinedResidualSVD2 + +4.174*MinedResidualSVD3 + +1.082*MinedResidualBlockMean4 + +0.4253*Identity + +0.387*MinedResidualToeplitzAvg + +0.1758*ShiftRight8 + -0.2712*DistanceDecay8 + +0.0716*RampDiag + +0.1361*BlockAvg4 + +0.06153*ShiftLeft4,attention_qk,12
mod.blocks.0.attn.h5.attention_vo,attention_value_write,tokens->values,residual_write,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> RampDiag -> DiffForward -> DistanceDecay4 -> BlockAvg32 -> ShiftRight8 -> ShiftRight2,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> toeplitz -> diagonal -> difference -> decay -> block -> shift -> shift,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> base -> base -> base -> base -> base,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->RampDiag -> RampDiag->DiffForward -> DiffForward->DistanceDecay4 -> DistanceDecay4->BlockAvg32 -> BlockAvg32->ShiftRight8 -> ShiftRight8->ShiftRight2,+79.33*MinedResidualSVD0 + +71.71*MinedResidualSVD1 + +65.68*MinedResidualSVD2 + +59.81*MinedResidualSVD3 + +15.55*MinedResidualBlockMean4 + +7.254*MinedResidualToeplitzAvg + +2.403*RampDiag + -2.193*DiffForward + +3.574*DistanceDecay4 + -3.276*BlockAvg32 + +1.343*ShiftRight8 + -1.405*ShiftRight2,attention_vo,12
mod.blocks.0.attn.h6.attention_qk,attention_read_score,tokens->score,attention_weights,MinedResidualSVD0 -> MinedResidualSVD1 -> MinedResidualSVD2 -> MinedResidualSVD3 -> MinedResidualBlockMean4 -> MinedResidualToeplitzAvg -> Identity -> ShiftLeft4 -> BlockAvg32 -> BlockAvg64 -> MinedResidualBlockMean16 -> BlockAvg8,low_rank -> low_rank -> low_rank -> low_rank -> block_mined -> toeplitz -> diagonal -> shift -> block -> block -> block_mined -> block,mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> mined_from_target -> base -> base -> base -> base -> mined_from_target -> base,OMP_selection_order,MinedResidualSVD0->MinedResidualSVD1 -> MinedResidualSVD1->MinedResidualSVD2 -> MinedResidualSVD2->MinedResidualSVD3 -> MinedResidualSVD3->MinedResidualBlockMean4 -> MinedResidualBlockMean4->MinedResidualToeplitzAvg -> MinedResidualToeplitzAvg->Identity -> Identity->ShiftLeft4 -> ShiftLeft4->BlockAvg32 -> BlockAvg32->BlockAvg64 -> BlockAvg64->MinedResidualBlockMean16 -> MinedResidualBlockMean16->BlockAvg8,+5.942*MinedResidualSVD0 + +5.336*MinedResidualSVD1 + +4.309*MinedResidualSVD2 + +3.766*MinedResidualSVD3 + +0.9599*MinedResidualBlockMean4 + +0.4468*MinedResidualToeplitzAvg + +0.1947*Identity + -0.1598*ShiftLeft4 + +0.2843*BlockAvg32 + -0.1667*BlockAvg64 + -0.0866*MinedResidualBlockMean16 + -0.1097*BlockAvg8,attention_qk,12
