layer,class_id,class_label,n_events,k,neighbor_dr_mean,neighbor_dr_p90,neighbor_dr_max,neighbor_pt_mean,neighbor_pt_p90,neighbor_pt_max,neighbor_energy_mean,neighbor_energy_p90,neighbor_energy_max
0,0,label_QCD,256,16,0.15764044225215912,0.40086549520492554,2.488744020462036,20.440603256225586,48.78923797607422,685.0737915039062,30.265281677246094,73.04640197753906,1230.494140625
0,1,label_Hbb,256,16,0.18486444652080536,0.3703458905220032,1.3292156457901,16.719236373901367,41.2211799621582,397.80999755859375,23.443275451660156,57.46363830566406,657.8727416992188
0,2,label_Hcc,256,16,0.1920984834432602,0.37529075145721436,1.2515400648117065,17.721851348876953,42.84614181518555,513.04150390625,25.911420822143555,63.870243072509766,872.6038208007812
0,3,label_Hgg,256,16,0.17519697546958923,0.3280593752861023,2.342151165008545,13.272008895874023,30.941593170166016,343.5223083496094,19.283212661743164,44.167869567871094,734.6737670898438
0,4,label_H4q,256,16,0.1736384928226471,0.32789182662963867,1.1367082595825195,14.738483428955078,35.457313537597656,355.2729187011719,21.957399368286133,51.15065383911133,1090.9903564453125
0,5,label_Hqql,256,16,0.16736739873886108,0.33522483706474304,2.249904155731201,22.598344802856445,49.921112060546875,776.48291015625,32.267250061035156,67.67986297607422,1872.2833251953125
0,6,label_Zqq,256,16,0.15387137234210968,0.31617122888565063,2.19145131111145,20.05330467224121,50.43202209472656,530.4706420898438,29.282899856567383,73.442138671875,1110.8665771484375
0,7,label_Wqq,256,16,0.13172033429145813,0.2509211599826813,1.7028685808181763,21.408466339111328,53.4275016784668,445.3526611328125,34.46940612792969,83.92508697509766,1013.8189086914062
0,8,label_Tbqq,256,16,0.2549628019332886,0.47850215435028076,1.7995213270187378,13.746757507324219,32.494049072265625,389.564453125,19.1785888671875,45.7110481262207,626.5618286132812
0,9,label_Tbl,256,16,0.20322974026203156,0.4249620735645294,1.7858175039291382,19.745555877685547,44.241065979003906,662.9522705078125,26.511873245239258,57.581947326660156,1786.5428466796875
1,0,label_QCD,256,16,0.1896582990884781,0.44826290011405945,2.488744020462036,14.210783958435059,31.235397338867188,685.0737915039062,20.95220375061035,46.259849548339844,1230.494140625
1,1,label_Hbb,256,16,0.20498761534690857,0.40406760573387146,0.9922600388526917,13.3334321975708,30.874088287353516,397.80999755859375,18.586349487304688,42.67007827758789,657.8727416992188
1,2,label_Hcc,256,16,0.21411538124084473,0.4076225459575653,1.2515400648117065,13.86646842956543,32.141395568847656,513.04150390625,20.3896541595459,46.45435333251953,872.6038208007812
1,3,label_Hgg,256,16,0.19373595714569092,0.3663939833641052,2.342151165008545,9.715434074401855,21.439929962158203,343.5223083496094,14.031268119812012,31.162784576416016,734.6737670898438
1,4,label_H4q,256,16,0.1999906599521637,0.373555064201355,2.217611312866211,10.877140045166016,24.749027252197266,319.2213439941406,16.06778907775879,36.089141845703125,1090.9903564453125
1,5,label_Hqql,256,16,0.19378915429115295,0.3840845227241516,2.249904155731201,14.410566329956055,30.210264205932617,776.48291015625,20.43633270263672,43.7479133605957,1252.911376953125
1,6,label_Zqq,256,16,0.18376347422599792,0.36849650740623474,2.19145131111145,14.679946899414062,33.67683410644531,530.4706420898438,21.203868865966797,47.32670974731445,867.0145263671875
1,7,label_Wqq,256,16,0.1572454273700714,0.29489603638648987,1.7028685808181763,15.857423782348633,36.526920318603516,445.3526611328125,25.145719528198242,56.94618606567383,1013.8189086914062
1,8,label_Tbqq,256,16,0.2792700231075287,0.5054097771644592,3.0573275089263916,11.12736988067627,25.206531524658203,389.564453125,15.465621948242188,35.314090728759766,538.3436279296875
1,9,label_Tbl,256,16,0.22534924745559692,0.47010356187820435,1.7858175039291382,15.445207595825195,32.84798049926758,616.752197265625,20.51479721069336,42.35732650756836,1786.5428466796875
2,0,label_QCD,256,16,0.1961461752653122,0.472834974527359,2.488744020462036,13.945009231567383,31.241270065307617,597.2748413085938,20.595211029052734,45.614505767822266,1230.494140625
2,1,label_Hbb,256,16,0.2096739113330841,0.4135621190071106,1.0507723093032837,13.402759552001953,31.52234649658203,397.80999755859375,18.710115432739258,43.697662353515625,657.8727416992188
2,2,label_Hcc,256,16,0.2204843908548355,0.4196004867553711,1.2515400648117065,13.972715377807617,33.50716781616211,513.04150390625,20.5076904296875,48.30916213989258,872.6038208007812
2,3,label_Hgg,256,16,0.19829148054122925,0.3740790784358978,2.342151165008545,9.782692909240723,21.949270248413086,343.5223083496094,14.15443229675293,31.975933074951172,734.6737670898438
2,4,label_H4q,256,16,0.20773665606975555,0.3876088857650757,2.217611312866211,10.881677627563477,25.132673263549805,319.2213439941406,16.08768081665039,36.45778274536133,1090.9903564453125
2,5,label_Hqql,256,16,0.20166780054569244,0.40928733348846436,2.249904155731201,14.18896484375,31.160419464111328,776.48291015625,20.147146224975586,44.985233306884766,1252.911376953125
2,6,label_Zqq,256,16,0.18712809681892395,0.38090211153030396,2.19145131111145,15.01737117767334,35.889488220214844,530.4706420898438,21.650020599365234,49.95488739013672,867.0145263671875
2,7,label_Wqq,256,16,0.15988779067993164,0.30061075091362,1.7028685808181763,16.370222091674805,38.47245407104492,445.3526611328125,25.98805046081543,60.33567810058594,1013.8189086914062
2,8,label_Tbqq,256,16,0.2872910797595978,0.5200139880180359,3.0573275089263916,10.918871879577637,25.12332534790039,389.564453125,15.245673179626465,35.389129638671875,538.3436279296875
2,9,label_Tbl,256,16,0.2304937094449997,0.48697200417518616,1.7858175039291382,14.891489028930664,33.08777618408203,616.752197265625,19.83255386352539,42.713382720947266,1132.95458984375
