head_id,layer,channels,output_shape,activation_mean_abs,activation_max_abs,sparsity_like,particle0_top_rate,top_activation_matches_leading_pt_rate,top_activation_class,class_activation_contrast,top_logit_corr_class,top_logit_corr,output_interpretation,semantic_axis,semantic_pseudocode
L0_ch0:8,0,0:8,"[1280, 64, 128]",3.232450008392334,24.700241088867188,0.256204217672348,0.003125,0.003125,label_Tbqq,0.3261280589633522,label_Hqql,-0.2814148652878877,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.00, particle0 0.00",Hqql/Tbl core-confusion axis,"# L0_ch0:8
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')"
L0_ch40:48,0,40:48,"[1280, 64, 128]",2.821807384490967,53.7208251953125,0.07724685966968536,0.16484375,0.16484375,label_Tbqq,0.5538260142008467,label_Tbqq,0.12917451945076389,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.16, particle0 0.16",W/Z structured-prong axis,"# L0_ch40:48
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='W/Z structured-prong axis')"
L0_ch56:64,0,56:64,"[1280, 64, 128]",2.4235427379608154,38.338497161865234,0.405038446187973,0.003125,0.003125,label_Tbqq,0.40656571918063733,label_Tbqq,0.25989459427868306,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.00, particle0 0.00",Hqql/Tbl core-confusion axis,"# L0_ch56:64
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')"
L0_ch8:16,0,8:16,"[1280, 64, 128]",1.832708716392517,44.30594253540039,0.16039352118968964,0.0078125,0.0078125,label_Tbqq,0.8413112428453235,label_Tbqq,0.2793715363385943,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.01, particle0 0.01",Hqql/Tbl core-confusion axis,"# L0_ch8:16
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')"
L0_ch16:24,0,16:24,"[1280, 64, 128]",1.7898666858673096,49.306121826171875,0.27934569120407104,0.01953125,0.01953125,label_Tbqq,1.013950082990858,label_Tbqq,0.22989370032368764,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.02, particle0 0.02",Hqql/Tbl core-confusion axis,"# L0_ch16:24
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')"
L0_ch48:56,0,48:56,"[1280, 64, 128]",1.707543134689331,36.53510665893555,0.21261902153491974,0.04609375,0.04609375,label_Tbqq,0.4500719176398382,label_Tbqq,0.19982427555319202,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.05, particle0 0.05",Hqql/Tbl core-confusion axis,"# L0_ch48:56
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')"
L0_ch24:32,0,24:32,"[1280, 64, 128]",1.334778070449829,44.60326385498047,0.2410324066877365,0.0796875,0.0796875,label_QCD,0.3859445783827038,label_H4q,-0.12252529582934492,"writes strongest output for label_QCD; top activation particle matches leading-pT 0.08, particle0 0.08",Hqql/Tbl core-confusion axis,"# L0_ch24:32
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')"
L0_ch32:40,0,32:40,"[1280, 64, 128]",1.3153489828109741,32.560489654541016,0.15707167983055115,0.11953125,0.11953125,label_QCD,0.4784753057691784,label_Hqql,-0.3182668702367536,"writes strongest output for label_QCD; top activation particle matches leading-pT 0.12, particle0 0.12",W/Z structured-prong axis,"# L0_ch32:40
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='W/Z structured-prong axis')"
L1_ch112:128,1,112:128,"[1280, 128, 128]",2.722505807876587,60.30942916870117,0.21763458847999573,0.17265625,0.17265625,label_Tbl,0.17773781882392026,label_Wqq,-0.24621571714909868,"writes strongest output for label_Tbl; top activation particle matches leading-pT 0.17, particle0 0.17",W/Z structured-prong axis,"# L1_ch112:128
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='W/Z structured-prong axis')"
L1_ch64:80,1,64:80,"[1280, 128, 128]",2.4875636100769043,68.20103454589844,0.34270134568214417,0.0,0.0,label_Tbqq,0.43320629331800653,label_Tbqq,0.27407475146604376,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.00, particle0 0.00",W/Z structured-prong axis,"# L1_ch64:80
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='W/Z structured-prong axis')"
