module_name,module_type,input_shape,output_shape,params_count,decoder_kind,reconstruction_error,accepted_exact,fail_reason,tensor_path,primitive_fit_rel_err,primitive_fit_kind,uses_target_mined_atoms,uses_shared_mined_atoms,interpretation_trusted,honesty_note,extra_json
mod.embed.input_bn,BatchNorm1d,[8x13x128],8x13x128,26,EXACT_DYNAMIC_OPERATOR,7.624907993886154e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_input_bn_batchnorm.pt,,BATCHNORM_CPU_STATE_REPLAY,False,False,True,BatchNorm replayed on CPU from copied running stats/weight/bias; no CUDA module call on CPU tensors.,"{""norm_type"": ""BatchNorm1d"", ""eps"": 1e-05, ""training_flag_used"": false, ""running_stats_available"": true}"
mod.embed.embed.0,LayerNorm,[128x8x13],128x8x13,26,EXACT_DYNAMIC_OPERATOR,9.083674967769184e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_0_layernorm.pt,,NOT_CONSTANT_MATRIX,False,False,True,"LayerNorm is exact dynamic affine per input, not global constant matrix.","{""eps"": 1e-05, ""dynamic_matrix_samples"": 64}"
mod.embed.embed.2,GELU,[128x8x128],128x8x128,0,EXACT_ELEMENTWISE_FORMULA,7.503888355131494e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_2_activation.pt,,ELEMENTWISE_FORMULA_NOT_CONSTANT_MATRIX,False,False,True,Elementwise activation is exact formula/dynamic diagonal ratio. LOCAL_JACOBIAN is not claimed unless derivatives are computed.,"{""activation_type"": ""GELU"", ""dynamic_ratio_mean"": 0.5732933878898621, ""dynamic_ratio_std"": 0.36568135023117065}"
mod.embed.embed.3,LayerNorm,[128x8x128],128x8x128,256,EXACT_DYNAMIC_OPERATOR,9.708047343792714e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_3_layernorm.pt,,NOT_CONSTANT_MATRIX,False,False,True,"LayerNorm is exact dynamic affine per input, not global constant matrix.","{""eps"": 1e-05, ""dynamic_matrix_samples"": 64}"
mod.embed.embed.5,GELU,[128x8x512],128x8x512,0,EXACT_ELEMENTWISE_FORMULA,9.15928310973868e-09,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_5_activation.pt,,ELEMENTWISE_FORMULA_NOT_CONSTANT_MATRIX,False,False,True,Elementwise activation is exact formula/dynamic diagonal ratio. LOCAL_JACOBIAN is not claimed unless derivatives are computed.,"{""activation_type"": ""GELU"", ""dynamic_ratio_mean"": 0.4293766915798187, ""dynamic_ratio_std"": 0.4705846607685089}"
mod.embed.embed.6,LayerNorm,[128x8x512],128x8x512,1024,EXACT_DYNAMIC_OPERATOR,8.34058297982665e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_6_layernorm.pt,,NOT_CONSTANT_MATRIX,False,False,True,"LayerNorm is exact dynamic affine per input, not global constant matrix.","{""eps"": 1e-05, ""dynamic_matrix_samples"": 64}"
mod.embed.embed.8,GELU,[128x8x128],128x8x128,0,EXACT_ELEMENTWISE_FORMULA,4.116841090251455e-09,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_embed_embed_8_activation.pt,,ELEMENTWISE_FORMULA_NOT_CONSTANT_MATRIX,False,False,True,Elementwise activation is exact formula/dynamic diagonal ratio. LOCAL_JACOBIAN is not claimed unless derivatives are computed.,"{""activation_type"": ""GELU"", ""dynamic_ratio_mean"": 0.251472145318985, ""dynamic_ratio_std"": 0.4242142140865326}"
mod.pair_embed.embed.0,BatchNorm1d,[8x4x8256],8x4x8256,8,EXACT_DYNAMIC_OPERATOR,7.530393020260817e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_pair_embed_embed_0_batchnorm.pt,,BATCHNORM_CPU_STATE_REPLAY,False,False,True,BatchNorm replayed on CPU from copied running stats/weight/bias; no CUDA module call on CPU tensors.,"{""norm_type"": ""BatchNorm1d"", ""eps"": 1e-05, ""training_flag_used"": false, ""running_stats_available"": true}"
mod.pair_embed.embed.2,BatchNorm1d,[8x64x8256],8x64x8256,128,EXACT_DYNAMIC_OPERATOR,7.781939359574608e-08,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_pair_embed_embed_2_batchnorm.pt,,BATCHNORM_CPU_STATE_REPLAY,False,False,True,BatchNorm replayed on CPU from copied running stats/weight/bias; no CUDA module call on CPU tensors.,"{""norm_type"": ""BatchNorm1d"", ""eps"": 1e-05, ""training_flag_used"": false, ""running_stats_available"": true}"
mod.pair_embed.embed.3,GELU,[8x64x8256],8x64x8256,0,EXACT_ELEMENTWISE_FORMULA,1.0307697095868207e-07,True,,artifacts/latest/part_full_model_matrix_coverage_v1_4_6/dynamic/mod_pair_embed_embed_3_activation.pt,,ELEMENTWISE_FORMULA_NOT_CONSTANT_MATRIX,False,False,True,Elementwise activation is exact formula/dynamic diagonal ratio. LOCAL_JACOBIAN is not claimed unless derivatives are computed.,"{""activation_type"": ""GELU"", ""dynamic_ratio_mean"": 0.3912064731121063, ""dynamic_ratio_std"": 0.29207584261894226}"
