file,label,true_n,pred_n
reports/latest/part_weaver_predict_smoke_v3_WToQQ.root,label_Zqq,0,22387
reports/latest/part_weaver_predict_smoke_v3_WToQQ.root,label_Wqq,500000,50
reports/latest/part_weaver_predict_smoke_v3_WToQQ.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_WToQQ.root,label_Tbl,0,16962
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_QCD,500000,356145
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Hbb,0,780
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Hcc,0,5571
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Hgg,0,0
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_H4q,0,2125
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Hqql,0,32875
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Zqq,0,89090
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Wqq,0,100
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_ZJetsToNuNu.root,label_Tbl,0,13314
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_QCD,0,230538
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Hbb,0,273
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Hcc,0,41568
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Hgg,0,14
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_H4q,0,5146
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Hqql,0,149492
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Zqq,500000,39337
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Wqq,0,33
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_ZToQQ.root,label_Tbl,0,33599
