query_role,n_edges,pair_graphs,label_pairs,mean_weight,mean_abs_weight,mean_score,best_weight,best_pair_tag,best_label_pair
neutral_hadron,18,5,label_H4q->label_Hgg;label_Hcc->label_Hgg;label_Hgg->label_H4q;label_Wqq->label_Zqq;label_Zqq->label_Wqq,-0.14267728762287232,0.3588882448255188,0.24163137045171526,-0.9907349310815334,rank007_Hcc_to_Hgg,label_Hcc->label_Hgg
CLS,9,3,label_Hcc->label_Hbb;label_Hcc->label_Hgg;label_Wqq->label_Zqq,0.05391706609063678,0.07289849801195993,0.011653110177980529,0.2882591336965561,rank007_Hcc_to_Hgg,label_Hcc->label_Hgg
charged_hadron,4,2,label_Hcc->label_Hgg;label_Wqq->label_Zqq,0.0647868663072586,0.07733987271785736,0.06364904856309295,0.18229255080223083,rank007_Hcc_to_Hgg,label_Hcc->label_Hgg
electron,7,1,label_Hcc->label_Hbb,-0.03964159478034292,0.1044128957603659,0.07797885100756373,-0.4486321322619915,rank003_Hcc_to_Hbb,label_Hcc->label_Hbb
