step,layer,neuron_ids,score_sum,score_max,hidden_abs_mean
0,20,"[3237, 764, 2925, 1095, 93, 408, 1756, 4045, 4595, 1942, 3722, 601, 718, 4011, 1317, 637, 2464, 4024, 3673, 2846, 3406, 3366, 3296, 407, 2849, 3303, 422, 1333, 2753, 4575, 1775, 3076]",48.693771839141846,3.3517889976501465,0.20770534873008728
0,21,"[2930, 1507, 4663, 2594, 679, 2940, 3264, 3134, 4830, 3936, 3051, 2278, 2990, 1008, 3103, 566, 652, 587, 1666, 1848, 2379, 664, 751, 426, 3398, 535, 3152, 3658, 3558, 3875, 4721, 591]",46.92819106578827,4.008584499359131,0.18403185904026031
0,22,"[1222, 1057, 82, 1082, 1944, 3286, 1336, 4017, 1904, 3035, 3358, 3911, 3064, 4453, 4862, 3027, 811, 1439, 3099, 1059, 4271, 3298, 3967, 1954, 1069, 4024, 3250, 23, 2482, 611, 435, 2215]",61.6449316740036,4.761658191680908,0.18994785845279694
0,23,"[2539, 1121, 4144, 900, 1843, 1926, 537, 2505, 1863, 4861, 3728, 4283, 891, 779, 3383, 768, 42, 4396, 2788, 2455, 4297, 4749, 4101, 3467, 246, 4391, 2964, 2345, 2607, 4452, 3159, 3424]",138.77675986289978,13.067753791809082,0.2914026379585266
1,0,"[1349, 3763, 3852, 2640, 2551, 589, 3652, 4342, 1422, 1993, 4288, 2537, 4162, 10, 229, 927, 3086, 1982, 2650, 4091, 1257, 1097, 997, 629, 4600, 2966, 2274, 3910, 2117, 4538, 2208, 1364]",10.376526281237602,2.381561279296875,0.030856555327773094
1,1,"[3861, 2314, 2874, 1578, 2662, 1996, 1567, 3384, 3938, 93, 4441, 1993, 2091, 3266, 2889, 2374, 2810, 3275, 75, 671, 3379, 392, 151, 1985, 2001, 2340, 974, 3574, 2898, 1554, 301, 1625]",12.37170895934105,2.067701578140259,0.04879336431622505
1,2,"[1630, 3122, 1319, 777, 4296, 1810, 4468, 2591, 2978, 2542, 4219, 2329, 1554, 4419, 3109, 4163, 1777, 3956, 4286, 275, 1853, 4158, 548, 2749, 2262, 488, 326, 3407, 4418, 3516, 1797, 3440]",13.668903917074203,1.1800847053527832,0.07036095857620239
1,3,"[2215, 4627, 1142, 4746, 2761, 123, 393, 2686, 4827, 4101, 1206, 2066, 902, 1519, 3222, 2673, 1265, 3781, 2011, 2425, 4290, 2373, 773, 3851, 257, 640, 2147, 2429, 2762, 2625, 3220, 3519]",11.255187332630157,1.1931902170181274,0.08195846527814865
1,4,"[1251, 4210, 1433, 4648, 1466, 358, 1248, 1749, 1777, 1587, 3530, 284, 2966, 2309, 4296, 1082, 2897, 762, 2037, 2973, 285, 3551, 2315, 4541, 1015, 2554, 623, 1002, 1351, 2826, 1156, 1872]",13.282008290290833,1.2962749004364014,0.08146215975284576
1,5,"[3906, 858, 1907, 2055, 392, 413, 2579, 4425, 1824, 135, 3807, 79, 303, 3715, 4266, 4642, 2436, 1643, 492, 3320, 1253, 3298, 2732, 3475, 1162, 4501, 2337, 4264, 2706, 4451, 3011, 2341]",14.020614862442017,0.8218579888343811,0.08919256925582886
1,6,"[3308, 494, 2223, 3412, 4811, 2043, 1321, 2765, 1760, 476, 1741, 2745, 4541, 4085, 3788, 1480, 3266, 3725, 638, 3310, 3858, 289, 3833, 1590, 2593, 414, 3813, 3250, 1893, 1811, 4345, 378]",19.14446371793747,2.7685699462890625,0.08641156554222107
1,7,"[1731, 3208, 584, 2449, 3739, 1239, 2690, 2039, 1555, 2005, 1550, 771, 3065, 3565, 1827, 4471, 1030, 281, 3429, 2572, 1338, 1040, 3849, 4661, 4303, 3303, 586, 301, 3227, 2779, 1830, 4510]",17.05584865808487,2.4970057010650635,0.09154766798019409
1,8,"[68, 2790, 109, 3440, 894, 2327, 4431, 3895, 4847, 3441, 2777, 4019, 1672, 3250, 2587, 3225, 216, 2325, 2355, 3157, 2233, 4658, 3728, 2241, 3911, 2165, 79, 634, 1389, 1101, 1788, 3917]",12.977912336587906,1.052834391593933,0.08106189221143723
1,9,"[3339, 4424, 3832, 1123, 166, 2850, 4660, 2519, 3229, 604, 2923, 3248, 2973, 336, 1052, 1855, 2092, 3652, 4168, 247, 3482, 190, 1243, 2290, 3897, 4431, 1111, 461, 3649, 3410, 607, 383]",14.786677122116089,1.3990148305892944,0.0788973793387413
1,10,"[4072, 2815, 3943, 3738, 933, 2542, 868, 1567, 1775, 2728, 926, 1513, 1801, 1370, 1848, 3999, 3799, 2782, 3850, 2484, 4736, 4117, 3174, 762, 1086, 3609, 1380, 2573, 2685, 2189, 3525, 3978]",15.80486798286438,1.3447633981704712,0.08910693973302841
1,11,"[2846, 2965, 3660, 2131, 657, 4032, 1911, 3562, 3458, 4079, 1949, 4407, 3652, 490, 3706, 664, 3599, 4809, 2922, 899, 90, 2100, 406, 1914, 1539, 315, 4305, 2506, 1139, 3252, 3038, 3787]",15.105076164007187,0.7318216562271118,0.0893879309296608
1,12,"[765, 1805, 4806, 1035, 3794, 2402, 1673, 3423, 4201, 3923, 4247, 537, 1822, 2423, 4346, 3061, 2751, 2636, 4777, 59, 4503, 4464, 1221, 3586, 2154, 937, 2715, 1292, 2024, 4493, 625, 2333]",14.873394012451172,1.0051045417785645,0.08617231994867325
1,13,"[1166, 234, 2219, 4189, 107, 2731, 275, 3474, 2618, 2923, 1757, 3358, 638, 1863, 4332, 2283, 208, 489, 1401, 3193, 2133, 1965, 15, 3211, 3588, 1633, 2534, 2813, 562, 3576, 1819, 1852]",16.967493057250977,2.129650831222534,0.08650882542133331
