bin,n,ParticleNet_rate,surrogate_prob_mean,surrogate_calibrated_rate,gap_rate
0.00-0.10,492,0.026422764227642278,0.09697005782641327,0.0,-0.026422764227642278
0.10-0.15,1442,0.024271844660194174,0.1565835651195647,0.0,-0.024271844660194174
0.15-0.20,1384,0.03395953757225433,0.24420244772464497,0.002890173410404624,-0.03106936416184971
0.20-0.30,663,0.07239819004524888,0.3847643166866654,0.1779788838612368,0.10558069381598793
0.30+,43,0.2558139534883721,0.6130290657327433,0.813953488372093,0.5581395348837209
