bin,lo,hi,n_hqql,n_hqql_to_tbl,confusion_rate,p0_lepton_rate,mean_missing_pt
0.00-0.10,0.0,0.1,492,13,0.026422764227642278,0.5,623.1096065620718
0.10-0.15,0.1,0.15,1442,35,0.024271844660194174,0.5929264909847434,611.5750087149346
0.15-0.20,0.15,0.2,1384,47,0.03395953757225433,0.778179190751445,613.7278354697285
0.20-0.30,0.2,0.3,663,48,0.07239819004524888,0.8748114630467572,626.515806885859
0.30+,0.3,999.0,43,11,0.2558139534883721,0.9534883720930233,655.0746735937312
