class_pair,feature,A_correct_n,A_to_B_n,correct_mean,confused_mean,std_effect_confused_minus_correct,direction,monotonic_ratio,rank_score,next_action
label_Hcc->label_Hgg,n_particles,630,83,35.01904761904762,53.36144578313253,1.8376595478517732,confused_higher,50.009302325581395,407.192382389475,"if top candidate, run monotonic/patch/deep probe"
label_Hbb->label_Hgg,n_particles,692,88,40.64739884393064,55.61363636363637,1.3544084315782159,confused_higher,51.14545454545454,310.936077410212,"if top candidate, run monotonic/patch/deep probe"
label_QCD->label_Hgg,pred_conf,731,68,0.8385692738434848,0.5455512487713028,-1.5728058322636884,correct_higher,28.137254901960787,187.37800639154185,"if top candidate, run monotonic/patch/deep probe"
label_Hbb->label_Hgg,p0_best_lepton_deltaR,692,88,300.42121644464044,772.0093006630512,1.0717555242074237,confused_higher,34.85427135678392,167.67416907087755,"if top candidate, run monotonic/patch/deep probe"
label_H4q->label_Hgg,n_particles,802,98,47.81920199501247,60.39795918367347,1.2492065476892398,confused_higher,28.985507246376812,166.38416823782399,"if top candidate, run monotonic/patch/deep probe"
label_Hcc->label_H4q,n_particles,630,79,35.01904761904762,47.81012658227848,1.3454230147737838,confused_higher,18.40232558139535,108.49421341833666,"if top candidate, run monotonic/patch/deep probe"
label_Hcc->label_Hgg,pred_conf,630,83,0.7469951240789323,0.5399253336061914,-1.181384291822386,correct_higher,19.09313725490196,99.9429766712983,"if top candidate, run monotonic/patch/deep probe"
label_Wqq->label_Zqq,pred_conf,755,150,0.7390687458562535,0.5884316259622574,-1.014961806385231,correct_higher,15.073529411764707,76.75964840399588,"if top candidate, run monotonic/patch/deep probe"
label_Hbb->label_Hgg,leading_pt_fraction,692,88,0.196922119793003,0.13858084152029318,-0.7683824197876189,correct_higher,20.098039215686274,69.31792170989279,"if top candidate, run monotonic/patch/deep probe"
label_Hbb->label_Hgg,best_lepton_pt,692,88,40.69140258379754,1.5804589024998925,-0.8762923172695672,correct_higher,17.292176039119806,68.01631145284276,"if top candidate, run monotonic/patch/deep probe"
label_Hcc->label_Hgg,knn_pt_mean,630,83,55.517708248562286,31.7305198979665,-1.073215786305599,correct_higher,12.393790849673202,58.93523353930326,"if top candidate, run monotonic/patch/deep probe"
