feature,bin_index,lo,hi,n,target_confusions,confusion_rate,class_pair
knn_electron_frac,1,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
knn_electron_frac,2,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
knn_electron_frac,3,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
knn_electron_frac,4,0.0,0.6666666875348816,1024,229,0.2236328125,label_Zqq->label_Wqq
knn_muon_frac,0,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
knn_muon_frac,1,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
knn_muon_frac,2,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
knn_muon_frac,3,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
knn_muon_frac,4,0.0,0.4000000069604645,1024,229,0.2236328125,label_Zqq->label_Wqq
has_lepton,0,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
has_lepton,1,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
has_lepton,2,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
has_lepton,3,0.0,1.0,784,188,0.23979591836734693,label_Zqq->label_Wqq
has_lepton,4,1.0,1.000000001,240,41,0.17083333333333334,label_Zqq->label_Wqq
best_lepton_pt,0,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
best_lepton_pt,1,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
best_lepton_pt,2,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
best_lepton_pt,3,0.0,2.557939052581787,819,194,0.23687423687423687,label_Zqq->label_Wqq
best_lepton_pt,4,2.557939052581787,294.6925354013906,205,35,0.17073170731707318,label_Zqq->label_Wqq
p0_best_lepton_deltaR,0,3.162277789670043e-05,0.4153658151626587,204,36,0.17647058823529413,label_Zqq->label_Wqq
p0_best_lepton_deltaR,1,0.4153658151626587,999.0,36,5,0.1388888888888889,label_Zqq->label_Wqq
p0_best_lepton_deltaR,2,999.0,999.0,0,0,0.0,label_Zqq->label_Wqq
p0_best_lepton_deltaR,3,999.0,999.0,0,0,0.0,label_Zqq->label_Wqq
p0_best_lepton_deltaR,4,999.0,999.000000001,784,188,0.23979591836734693,label_Zqq->label_Wqq
p0_lepton_aligned,0,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
p0_lepton_aligned,1,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
p0_lepton_aligned,2,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
p0_lepton_aligned,3,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
p0_lepton_aligned,4,0.0,1.000000001,1024,229,0.2236328125,label_Zqq->label_Wqq
best_lepton_iso_pt_ratio,0,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
best_lepton_iso_pt_ratio,1,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
best_lepton_iso_pt_ratio,2,0.0,0.0,0,0,0.0,label_Zqq->label_Wqq
best_lepton_iso_pt_ratio,3,0.0,0.014020504429936409,819,194,0.23687423687423687,label_Zqq->label_Wqq
best_lepton_iso_pt_ratio,4,0.014020504429936409,0.3763537714944611,205,35,0.17073170731707318,label_Zqq->label_Wqq
pred_conf,0,0.19506686925888062,0.5369614362716675,204,60,0.29411764705882354,label_Wqq->label_Zqq
pred_conf,1,0.5369614362716675,0.6658803820610046,205,41,0.2,label_Wqq->label_Zqq
pred_conf,2,0.6658803820610046,0.7661845088005066,205,30,0.14634146341463414,label_Wqq->label_Zqq
pred_conf,3,0.7661845088005066,0.8656373023986816,205,15,0.07317073170731707,label_Wqq->label_Zqq
pred_conf,4,0.8656373023986816,0.9972643862233886,205,4,0.01951219512195122,label_Wqq->label_Zqq
n_particles,0,10.0,24.0,175,25,0.14285714285714285,label_Wqq->label_Zqq
n_particles,1,24.0,29.0,225,32,0.14222222222222222,label_Wqq->label_Zqq
n_particles,2,29.0,34.0,214,27,0.1261682242990654,label_Wqq->label_Zqq
n_particles,3,34.0,39.0,186,26,0.13978494623655913,label_Wqq->label_Zqq
n_particles,4,39.0,89.000000001,224,40,0.17857142857142858,label_Wqq->label_Zqq
missing_pt_proxy,0,500.06804259629973,527.0931368896527,204,31,0.15196078431372548,label_Wqq->label_Zqq
missing_pt_proxy,1,527.0931368896527,565.1053162078601,205,36,0.17560975609756097,label_Wqq->label_Zqq
missing_pt_proxy,2,565.1053162078601,612.8965239748277,205,38,0.18536585365853658,label_Wqq->label_Zqq
missing_pt_proxy,3,612.8965239748277,702.0229485054101,205,23,0.11219512195121951,label_Wqq->label_Zqq
missing_pt_proxy,4,702.0229485054101,995.4665404848112,205,22,0.1073170731707317,label_Wqq->label_Zqq
p0_pt,0,34.770606994628906,95.71149444580078,204,28,0.13725490196078433,label_Wqq->label_Zqq
p0_pt,1,95.71149444580078,125.62565612792969,205,33,0.16097560975609757,label_Wqq->label_Zqq
p0_pt,2,125.62565612792969,158.17550659179688,205,24,0.11707317073170732,label_Wqq->label_Zqq
p0_pt,3,158.17550659179688,210.3502960205078,205,28,0.13658536585365855,label_Wqq->label_Zqq
p0_pt,4,210.3502960205078,605.424072266625,205,37,0.18048780487804877,label_Wqq->label_Zqq
leading_pt,0,34.770606994628906,95.71149444580078,204,28,0.13725490196078433,label_Wqq->label_Zqq
leading_pt,1,95.71149444580078,125.62565612792969,205,33,0.16097560975609757,label_Wqq->label_Zqq
leading_pt,2,125.62565612792969,158.17550659179688,205,24,0.11707317073170732,label_Wqq->label_Zqq
leading_pt,3,158.17550659179688,210.3502960205078,205,28,0.13658536585365855,label_Wqq->label_Zqq
leading_pt,4,210.3502960205078,605.424072266625,205,37,0.18048780487804877,label_Wqq->label_Zqq
leading_pt_fraction,0,0.05803747847676277,0.16146646440029144,204,31,0.15196078431372548,label_Wqq->label_Zqq
leading_pt_fraction,1,0.16146646440029144,0.2042827308177948,205,24,0.11707317073170732,label_Wqq->label_Zqq
leading_pt_fraction,2,0.2042827308177948,0.25427159667015076,205,29,0.14146341463414633,label_Wqq->label_Zqq
leading_pt_fraction,3,0.25427159667015076,0.33919963240623474,205,30,0.14634146341463414,label_Wqq->label_Zqq
leading_pt_fraction,4,0.33919963240623474,0.777919055031372,205,36,0.17560975609756097,label_Wqq->label_Zqq
p0_is_leading,0,1.0,1.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_leading,1,1.0,1.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_leading,2,1.0,1.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_leading,3,1.0,1.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_leading,4,1.0,1.000000001,1024,150,0.146484375,label_Wqq->label_Zqq
knn_pt_sum,0,94.71461486816406,510.025146484375,204,32,0.1568627450980392,label_Wqq->label_Zqq
knn_pt_sum,1,510.025146484375,694.5637817382812,205,31,0.15121951219512195,label_Wqq->label_Zqq
knn_pt_sum,2,694.5637817382812,928.5446166992188,205,27,0.13170731707317074,label_Wqq->label_Zqq
knn_pt_sum,3,928.5446166992188,1316.4736328125,205,24,0.11707317073170732,label_Wqq->label_Zqq
knn_pt_sum,4,1316.4736328125,4238.636718751,205,36,0.17560975609756097,label_Wqq->label_Zqq
knn_pt_mean,0,6.314307689666748,34.00167465209961,204,32,0.1568627450980392,label_Wqq->label_Zqq
knn_pt_mean,1,34.00167465209961,46.30425262451172,205,31,0.15121951219512195,label_Wqq->label_Zqq
knn_pt_mean,2,46.30425262451172,61.90297317504883,205,27,0.13170731707317074,label_Wqq->label_Zqq
knn_pt_mean,3,61.90297317504883,87.76490783691406,205,24,0.11707317073170732,label_Wqq->label_Zqq
knn_pt_mean,4,87.76490783691406,282.57577514748436,205,36,0.17560975609756097,label_Wqq->label_Zqq
knn_pt_max,0,34.770606994628906,95.71149444580078,204,28,0.13725490196078433,label_Wqq->label_Zqq
knn_pt_max,1,95.71149444580078,125.62565612792969,205,33,0.16097560975609757,label_Wqq->label_Zqq
knn_pt_max,2,125.62565612792969,158.17550659179688,205,24,0.11707317073170732,label_Wqq->label_Zqq
knn_pt_max,3,158.17550659179688,210.3502960205078,205,28,0.13658536585365855,label_Wqq->label_Zqq
knn_pt_max,4,210.3502960205078,605.424072266625,205,37,0.18048780487804877,label_Wqq->label_Zqq
p0_iso_pt_ratio,0,0.06570266932249069,0.10916655510663986,204,34,0.16666666666666666,label_Wqq->label_Zqq
p0_iso_pt_ratio,1,0.10916655510663986,0.1333235502243042,205,26,0.12682926829268293,label_Wqq->label_Zqq
p0_iso_pt_ratio,2,0.1333235502243042,0.15960659086704254,205,24,0.11707317073170732,label_Wqq->label_Zqq
p0_iso_pt_ratio,3,0.15960659086704254,0.19814404845237732,205,31,0.15121951219512195,label_Wqq->label_Zqq
p0_iso_pt_ratio,4,0.19814404845237732,0.41014531354768374,205,35,0.17073170731707318,label_Wqq->label_Zqq
p0_charge,0,-1.0,-1.0,0,0,0.0,label_Wqq->label_Zqq
p0_charge,1,-1.0,0.0,246,40,0.16260162601626016,label_Wqq->label_Zqq
p0_charge,2,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_charge,3,0.0,1.0,491,70,0.1425661914460285,label_Wqq->label_Zqq
p0_charge,4,1.0,1.000000001,287,40,0.13937282229965156,label_Wqq->label_Zqq
p0_is_charged_hadron,0,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_charged_hadron,1,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_charged_hadron,2,0.0,1.0,499,71,0.14228456913827656,label_Wqq->label_Zqq
p0_is_charged_hadron,3,1.0,1.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_charged_hadron,4,1.0,1.000000001,525,79,0.15047619047619049,label_Wqq->label_Zqq
p0_is_neutral_hadron,0,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_neutral_hadron,1,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_neutral_hadron,2,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_neutral_hadron,3,0.0,1.0,790,116,0.1468354430379747,label_Wqq->label_Zqq
p0_is_neutral_hadron,4,1.0,1.000000001,234,34,0.1452991452991453,label_Wqq->label_Zqq
p0_is_photon,0,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_photon,1,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_photon,2,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_photon,3,0.0,1.0,767,114,0.14863102998696218,label_Wqq->label_Zqq
p0_is_photon,4,1.0,1.000000001,257,36,0.14007782101167315,label_Wqq->label_Zqq
p0_is_electron,0,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_electron,1,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_electron,2,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_electron,3,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_electron,4,0.0,1.000000001,1024,150,0.146484375,label_Wqq->label_Zqq
p0_is_muon,0,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_muon,1,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_muon,2,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_muon,3,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_muon,4,0.0,1.000000001,1024,150,0.146484375,label_Wqq->label_Zqq
p0_is_lepton,0,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_lepton,1,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_lepton,2,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_lepton,3,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
p0_is_lepton,4,0.0,1.000000001,1024,150,0.146484375,label_Wqq->label_Zqq
leading_charge,0,-1.0,-1.0,0,0,0.0,label_Wqq->label_Zqq
leading_charge,1,-1.0,0.0,246,40,0.16260162601626016,label_Wqq->label_Zqq
leading_charge,2,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_charge,3,0.0,1.0,491,70,0.1425661914460285,label_Wqq->label_Zqq
leading_charge,4,1.0,1.000000001,287,40,0.13937282229965156,label_Wqq->label_Zqq
leading_is_charged_hadron,0,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_charged_hadron,1,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
